fluid_high,fluid_integer_conflict,fluid_partial_below_quorum,fluid_partial_never_quorum,lambda_mean,load,low_contact,max_observed,mean_quorum_gap_fluid,n_raw_rows,never_reached_quorum,quorum_fraction,quorum_majority,reward,seed,spawn_time,weight,z_fluid_capped_to_weight,z_fluid_uncapped,z_observed
False,False,False,False,7.180923714162834,load-4,False,7.0,7.0,70,False,1.0,True,2.02,2026,17.454545454545453,7,0.0,0.0,7.0
False,False,True,False,7.1809237141628355,load-5,False,9.0,5.794580357623271,172,False,0.25,False,2.34,2026,23.272727272727273,9,3.2054196423767283,3.2054196423767283,3.383720930232558
False,False,False,False,7.005657457773417,load-7,False,8.0,8.0,105,False,0.6857142857142857,True,2.18,2026,34.90909090909091,8,0.0,0.0,7.20952380952381
False,False,True,False,7.552939966342692,load-8,True,10.0,2.9044361159991823,845,False,0.03431952662721893,False,2.5,2026,40.72727272727273,10,7.095563884000818,7.095563884000818,0.5633136094674556
False,False,True,False,7.1066000932924,load-9,False,9.0,3.6895201735872885,471,False,0.1337579617834395,False,2.34,2026,46.54545454545455,9,5.3104798264127115,5.3104798264127115,1.7664543524416136
False,False,True,False,8.242610727461305,load-17,False,10.0,5.359195402299101,783,False,0.07407407407407407,False,2.5,2026,93.0909090909091,10,4.640804597700899,4.640804597700899,1.0970625798212006
False,False,True,False,8.127730321343243,load-19,True,10.0,4.003542676284563,1295,False,0.04555984555984556,False,2.5,2026,104.72727272727273,10,5.996457323715437,5.996457323715437,0.5845559845559846
False,False,True,True,8.126223103951594,load-20,True,0.0,3.975440004525802,1279,True,0.0,False,2.5,2026,110.54545454545455,10,6.024559995474198,6.024559995474198,0.0
True,False,True,False,7.005657457773417,load-3,False,10.0,1.2800820140614846,144,False,0.6458333333333334,True,2.5,2027,11.636363636363637,10,8.719917985938515,8.719917985938515,6.756944444444445
False,False,True,False,6.779992156400421,load-5,False,9.0,2.7268889866210904,366,False,0.2896174863387978,False,2.34,2027,23.272727272727273,9,6.27311101337891,6.27311101337891,3.101092896174863
False,False,False,False,6.5418557335996965,load-9,False,7.0,7.0,114,False,0.8947368421052632,True,2.02,2027,46.54545454545455,7,0.0,0.0,6.614035087719298
False,False,False,False,6.346147590140206,load-10,False,7.0,7.0,88,False,0.7727272727272727,True,2.02,2027,52.36363636363637,7,0.0,0.0,6.443181818181818
False,False,True,False,7.013996389963956,load-11,True,9.0,4.520651309763489,649,False,0.060092449922958396,False,2.34,2027,58.18181818181819,9,4.479348690236511,4.479348690236511,0.6718027734976888
False,False,True,False,7.033646706261198,load-12,True,9.0,5.148770532730483,615,False,0.05040650406504065,False,2.34,2027,64.0,9,3.8512294672695178,3.8512294672695178,0.5528455284552846
False,False,True,False,7.179799373781079,load-15,False,9.0,6.986947091883177,614,False,0.16612377850162866,False,2.34,2027,81.45454545454545,9,2.013052908116823,2.013052908116823,1.5586319218241043
False,False,True,False,7.5834655766266135,load-18,True,10.0,2.3171643332831566,1262,False,0.03407290015847861,False,2.5,2027,98.9090909090909,10,7.682835666716843,7.682835666716843,0.5816164817749604
False,False,True,False,7.18336347048027,load-19,False,9.0,7.235305697056335,632,False,0.15664556962025317,False,2.34,2027,104.72727272727273,9,1.7646943029436657,1.7646943029436657,1.5348101265822784
