bias,mae,method,n_points,r2,rmse,scenario,scenario_case,slope,theory_capped_to_weight,window
-3.622429416017055,4.0509905827995425,smith,347,0.0037261008398943307,5.006641862025674,comm_degradation,R1.5_p0,-0.022747500729813814,False,all
-3.227620272575253,3.6561814393577396,smith,347,0.00019175126752035698,4.668281952070417,comm_degradation,R1.5_p0,-0.005215757957108408,True,all
-1.5014277761665495,2.546021383163746,smith,273,0.13427490814193266,3.216364257369852,comm_degradation,R1.5_p0,0.16253164136843606,False,contact_only
-1.2094124218147615,2.254006028811958,smith,273,0.1756777477447209,2.9788616780708703,comm_degradation,R1.5_p0,0.18901415075943095,True,contact_only
-1.5565801181887626,2.6290069971134566,smith,235,0.06665196954742336,3.406947003909269,comm_degradation,R1.5_p0,0.1315802785614452,False,post_first_contact_20s
-1.3841102685633988,2.4565371474880937,smith,235,0.07470719164400053,3.2907829796004275,comm_degradation,R1.5_p0,0.14044753399269289,True,post_first_contact_20s
-1.9838870945895397,2.8353740629197723,smith,181,0.09475622535933703,3.6212614084728463,comm_degradation,R1.5_p0,0.15753061297641704,False,post_first_contact_40s
-1.8854614626329849,2.7369484309632175,smith,181,0.10054948737021696,3.5321532552186454,comm_degradation,R1.5_p0,0.16394673073928895,True,post_first_contact_40s
-3.762821279600545,4.16185505853072,smith_no_prices,86,0.07826777571962906,5.131528852456441,comm_degradation,R1.5_p0,-0.09580516254342941,False,all
-3.362839974641147,3.7618737535713227,smith_no_prices,86,0.059882860327817755,4.815156861775431,comm_degradation,R1.5_p0,-0.08410772030423111,True,all
-1.4491999667665234,2.380023184353031,smith_no_prices,61,0.06124894404260406,3.0127974599167984,comm_degradation,R1.5_p0,0.09757853132278829,False,contact_only
-1.1001567664207086,2.0309799840072165,smith_no_prices,61,0.10315503248352642,2.721050196350307,comm_degradation,R1.5_p0,0.13040400151471238,True,contact_only
-1.4440046060520484,2.365697016465515,smith_no_prices,53,0.007493353237286171,3.109902971299864,comm_degradation,R1.5_p0,0.041413321649767604,False,post_first_contact_20s
-1.291116693118883,2.21280910353235,smith_no_prices,53,0.0063551249417742595,3.05101263833374,comm_degradation,R1.5_p0,0.03810266674148797,True,post_first_contact_20s
-1.8497092269362612,2.689129717688421,smith_no_prices,40,0.010052301176784573,3.4257054562364067,comm_degradation,R1.5_p0,0.04607505047107049,False,post_first_contact_40s
-1.8070134141966505,2.6464339049488097,smith_no_prices,40,0.00997935729078292,3.4027278180638088,comm_degradation,R1.5_p0,0.04591814578349014,True,post_first_contact_40s
-3.13412589681544,3.505584243984002,smith_no_integer,93,0.15395480170787013,4.2988621203593835,comm_degradation,R1.5_p0,0.15711005583575832,False,all
-2.759431532789432,3.130889879957994,smith_no_integer,93,0.22468047997485618,3.910967043743642,comm_degradation,R1.5_p0,0.1934248759867502,True,all
-1.954692856572831,2.7020350830552786,smith_no_integer,88,0.29265788639567125,3.328177726794237,comm_degradation,R1.5_p0,0.24115307792378435,False,contact_only
-1.710764167192783,2.45810639367523,smith_no_integer,88,0.3373663066208017,3.144857493207064,comm_degradation,R1.5_p0,0.2577659158572503,True,contact_only
-1.9681641778132561,2.6605211990315407,smith_no_integer,77,0.30573252733178136,3.296154690751825,comm_degradation,R1.5_p0,0.2744137098770634,False,post_first_contact_20s
-1.8114995241938987,2.5038565454121833,smith_no_integer,77,0.3237971850028779,3.173374131867203,comm_degradation,R1.5_p0,0.2832332026427162,True,post_first_contact_20s
-2.099021788503763,2.7941275870530324,smith_no_integer,64,0.27767782935715457,3.412007804205958,comm_degradation,R1.5_p0,0.29828710333292996,False,post_first_contact_40s
-1.9951700865158253,2.6902758850650943,smith_no_integer,64,0.2941216411947505,3.3057951300217256,comm_degradation,R1.5_p0,0.3095610871518538,True,post_first_contact_40s
-3.8666301253458975,4.330946074202724,smith_effective_occupancy,85,0.048062124481916935,5.286391820322575,comm_degradation,R1.5_p0,-0.07706109389009999,False,all
-3.461787616339454,3.9261035651962803,smith_effective_occupancy,85,0.03544386655674414,4.977771288040014,comm_degradation,R1.5_p0,-0.06611399903410603,True,all
-1.052868948461691,2.526488440126402,smith_effective_occupancy,61,0.061647915919781804,3.191994861740495,comm_degradation,R1.5_p0,0.12263886726101668,False,contact_only
-0.7913463875409307,2.2649658792056413,smith_effective_occupancy,61,0.07702678786926398,3.015503553949249,comm_degradation,R1.5_p0,0.14026023618278083,True,contact_only
-1.2208184499666836,2.8221784108014076,smith_effective_occupancy,51,0.0027538067666100785,3.636799830563122,comm_degradation,R1.5_p0,0.02914622738774049,False,post_first_contact_20s
-0.9920728117348939,2.593432772569617,smith_effective_occupancy,51,0.006153734164178193,3.482675556734598,comm_degradation,R1.5_p0,0.04436868433377579,True,post_first_contact_20s
-1.937275018809597,2.9386761652243893,smith_effective_occupancy,37,0.02033897663749218,3.7725084758656195,comm_degradation,R1.5_p0,0.062440267412092444,False,post_first_contact_40s
-1.7665072559319543,2.767908402346747,smith_effective_occupancy,37,0.021616244244170746,3.6489439523361535,comm_degradation,R1.5_p0,0.0652528796349068,True,post_first_contact_40s
-2.40697774709186,3.381511445966875,smith,1348,0.11504380861795604,4.034796359629913,comm_degradation,R12_p0,0.20470825957815805,False,all
-1.6280457421764147,2.60257944105143,smith,1348,0.16995384183165563,3.3217079329832675,comm_degradation,R12_p0,0.2681762725889042,True,all
