capacity_mode,capacity_label,scenario,scenario_label,n_worlds,capacity_cv_median,false_feasible_rate,false_feasible_ci_low,false_feasible_ci_high,shortfall_kg_median_when_false,milp_certification_rate,milp_rescue_rate_among_false
homogeneous,Homogénea,uniform,Aleatorio,60,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,
low,Baja,uniform,Aleatorio,60,0.1400613590831249,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.8266077323518513,1.0,1.0
moderate,Moderada,uniform,Aleatorio,60,0.34372604941657864,0.8333333333333334,0.7196838683638547,0.9068682302080855,2.6737806434567704,1.0,1.0
high,Alta,uniform,Aleatorio,60,0.6273471489333302,0.95,0.8629948352365147,0.9828504978356043,5.533749506097988,1.0,1.0
extreme,Extrema,uniform,Aleatorio,60,1.008480886772606,0.9333333333333333,0.8407464268680283,0.9737713012754938,13.069934074451337,1.0,1.0
homogeneous,Homogénea,clustered,Agrupado,60,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,
low,Baja,clustered,Agrupado,60,0.14139734049740305,0.4666666666666667,0.34627906041438494,0.5910657297284211,0.4361816619331831,1.0,1.0
moderate,Moderada,clustered,Agrupado,60,0.3441119935771264,0.8,0.6821819419437211,0.8817149467710251,1.999994243283208,1.0,1.0
high,Alta,clustered,Agrupado,60,0.6828968315519737,0.9166666666666666,0.8193105798166558,0.9638795433982692,5.487730545584771,1.0,1.0
extreme,Extrema,clustered,Agrupado,60,0.991577573571097,0.9333333333333333,0.8407464268680283,0.9737713012754938,11.189518211830446,0.9833333333333333,0.9821428571428571
homogeneous,Homogénea,separated,Separado,60,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,
low,Baja,separated,Separado,60,0.1472653183475351,0.5,0.3773502424155577,0.6226497575844423,0.7201450909016334,1.0,1.0
moderate,Moderada,separated,Separado,60,0.3561076808873901,0.8,0.6821819419437211,0.8817149467710251,2.377347594303181,1.0,1.0
high,Alta,separated,Separado,60,0.6544375024212532,0.9166666666666666,0.8193105798166558,0.9638795433982692,5.4413016552448985,1.0,1.0
extreme,Extrema,separated,Separado,60,1.0630280335670883,0.95,0.8629948352365147,0.9828504978356043,8.275965800113056,1.0,1.0
homogeneous,Homogénea,ring,Anillo,60,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,
low,Baja,ring,Anillo,60,0.14813541315330364,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.5753469647237959,1.0,1.0
moderate,Moderada,ring,Anillo,60,0.34222290019111296,0.75,0.6276792992295218,0.8422347746994333,2.299736812553629,1.0,1.0
high,Alta,ring,Anillo,60,0.6107588358819045,0.9666666666666667,0.886362257256914,0.9908106807438021,5.549352519252129,1.0,1.0
extreme,Extrema,ring,Anillo,60,1.0058238695335622,1.0,0.93982814785791,0.9999999999999998,11.90369798271227,1.0,1.0
homogeneous,Homogénea,corridor,Pasillo,60,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,
low,Baja,corridor,Pasillo,60,0.15223317733175976,0.3,0.19898166138769108,0.42508707946914487,0.5910621536178606,1.0,1.0
moderate,Moderada,corridor,Pasillo,60,0.34666602578695727,0.7666666666666667,0.6456372962239805,0.8556043826335717,2.5967335523896464,1.0,1.0
high,Alta,corridor,Pasillo,60,0.6221799283438414,0.8666666666666667,0.7583484032350039,0.9308589051941303,4.6741053544234905,1.0,1.0
extreme,Extrema,corridor,Pasillo,60,1.0356162338537473,0.9833333333333333,0.9114487027240993,0.9970518402052136,10.580481089809334,1.0,1.0
