scenario,scenario_label,n_worlds,relative_saving_median,relative_saving_ci_low,relative_saving_ci_high,normalized_p95_cost_median,normalized_p95_cost_p05,normalized_p95_cost_p95,feasibility_rate,constraint_violations,wilcoxon_p_raw,wilcoxon_p_holm,saving_over_5pct_supported
uniform,Aleatorio,900,0.116111815914845,0.11318617700243114,0.11864599626803045,0.12382115828021335,0.04422374583486616,0.3163922829992977,1.0,0,4.9221161795574547e-135,1.9688464718229819e-134,True
clustered,Agrupado,900,0.09963038687772724,0.09734116277076985,0.1015360949667867,0.2081221825361472,0.1789673485253826,0.33255651138865094,1.0,0,1.2143205626422609e-144,6.071602813211305e-144,True
separated,Separado,900,0.011927321200988099,0.011447236692393966,0.0124338577177551,0.5591751575458168,0.5152697427596618,0.6029198214075231,1.0,0,1.0,1.0,False
ring,Anillo,900,0.0168881931197106,0.01640798129785216,0.01752324639467881,0.2574385889664583,0.24335590811901317,0.2912310382591794,1.0,0,1.0,1.0,False
corridor,Pasillo,900,0.0845911672440213,0.08237575345350157,0.0864465145921395,0.0850963972146247,0.06032031810267732,0.19242302103682712,1.0,0,6.578943712810166e-117,1.97368311384305e-116,True
