reserve_delta,failure_fraction_nominal,n_worlds,recovery_rate,recovery_ci_low,recovery_ci_high,assignment_churn_median,relative_cost_increase_median,theory_agreement_rate
0.0,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.0,0.05,300,0.0,8.673617379884035e-19,0.012642971224546034,0.2171052631578947,,1.0
0.0,0.1,300,0.0,8.673617379884035e-19,0.012642971224546034,0.3055555555555556,,1.0
0.0,0.2,300,0.0,8.673617379884035e-19,0.012642971224546034,0.40625,,1.0
0.0,0.3,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4642857142857143,,1.0
0.1,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.1,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.1182795698924731,0.06418294705100815,1.0
0.1,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.23224431818181815,0.15333519891504865,1.0
0.1,0.2,300,0.0,8.673617379884035e-19,0.012642971224546034,0.42903074825502124,,1.0
0.1,0.3,300,0.0,8.673617379884035e-19,0.012642971224546034,0.4306569343065693,,1.0
0.2,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.2,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.0701754385964912,0.04695872595419605,1.0
0.2,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.1377314814814814,0.1044706261333608,1.0
0.2,0.2,300,1.0,0.9873570287754538,0.9999999999999998,0.28580729166666663,0.25985728964020416,1.0
0.2,0.3,300,1.0,0.9873570287754538,0.9999999999999998,0.4821428571428571,0.5428127437041144,1.0
0.33,0.0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,1.0
0.33,0.05,300,1.0,0.9873570287754538,0.9999999999999998,0.0422885572139303,0.0386927617182736,1.0
0.33,0.1,300,1.0,0.9873570287754538,0.9999999999999998,0.0839160839160839,0.0818070784019031,1.0
0.33,0.2,300,1.0,0.9873570287754538,0.9999999999999998,0.17539213848268964,0.1906013519350488,1.0
0.33,0.3,300,1.0,0.9873570287754538,0.9999999999999998,0.2952755905511811,0.3525002296850357,1.0
