slot_to_robot_ratio,N,M,n_worlds,solver_ms_median,solver_ms_p05,solver_ms_p95,total_ms_median,matrix_mib_median,mission_feasible_rate
0.25,32,8,30,0.00675,0.00529,0.010365,0.49245,0.001953125,1.0
0.25,64,16,30,0.01575,0.012445,0.027564999999999992,1.09325,0.0078125,1.0
0.25,128,32,30,0.035500000000000004,0.028405,0.07397499999999993,1.8551,0.03125,1.0
0.25,256,64,30,0.19055,0.15351,0.27688999999999997,4.3662,0.125,1.0
0.25,512,128,30,0.6892499999999999,0.59526,0.9753699999999997,10.17025,0.5,1.0
0.25,1024,256,30,3.0378499999999997,2.782925,3.7469699999999997,25.63665,2.0,1.0
0.25,2048,512,30,21.2214,17.040125,26.22236,77.2343,8.0,1.0
0.5,32,16,30,0.011449999999999998,0.008945,0.017019999999999997,0.50745,0.00390625,1.0
0.5,64,32,30,0.02945,0.024045,0.042405,1.08925,0.015625,1.0
0.5,128,64,30,0.1143,0.07364,0.19060999999999997,2.4902,0.0625,1.0
0.5,256,128,30,0.47095,0.36784500000000003,0.8461599999999992,5.4413,0.25,1.0
0.5,512,256,30,2.0666,1.620365,2.6244899999999998,13.49355,1.0,1.0
0.5,1024,512,30,7.818899999999999,7.04684,9.07535,39.43345,4.0,1.0
0.5,2048,1024,30,54.8734,44.363195,59.644335,138.3862,16.0,1.0
1.0,32,32,30,0.02765,0.019360000000000002,0.03915499999999999,0.7113,0.0078125,1.0
1.0,64,64,30,0.1129,0.06203500000000001,0.193715,1.3898000000000001,0.03125,1.0
1.0,128,128,30,0.4672,0.3302,0.6177149999999998,3.1556,0.125,1.0
1.0,256,256,30,1.85095,1.315055,2.8139899999999995,8.500350000000001,0.5,1.0
1.0,512,512,30,10.8926,8.195845,16.808425,29.560850000000002,2.0,1.0
1.0,1024,1024,30,56.58185,44.303555,77.19123499999998,110.6395,8.0,1.0
1.0,2048,2048,30,314.24559999999997,246.346385,487.7633699999997,459.00834999999995,32.0,1.0
