spatial_mode,normalized_assignment_cost_p95_n,normalized_assignment_cost_p95_mean,normalized_assignment_cost_p95_median,normalized_assignment_cost_p95_p05,normalized_assignment_cost_p95_p95,greedy_to_hungarian_ratio_n,greedy_to_hungarian_ratio_mean,greedy_to_hungarian_ratio_median,greedy_to_hungarian_ratio_p05,greedy_to_hungarian_ratio_p95,mission_feasible_float_n,mission_feasible_float_mean,mission_feasible_float_median,mission_feasible_float_p05,mission_feasible_float_p95
clustered,900,0.22428353455185907,0.20666900709852093,0.1785406150336028,0.3261645955061483,900,1.11546749737984,1.1075883276783678,1.0622184071119942,1.1882499831203677,900,1.0,1.0,1.0,1.0
corridor,900,0.0985828013292396,0.0850995759748252,0.06010836134535225,0.17929881339520595,900,1.0981869790309295,1.0905571811501067,1.0322519290249874,1.190129748899349,900,1.0,1.0,1.0,1.0
ring,900,0.260843657470155,0.2575967864792914,0.2458124939809735,0.2906389663903815,900,1.0199337765772396,1.0166133185328379,1.0081633458325312,1.0480014929145844,900,1.0,1.0,1.0,1.0
separated,900,0.5587582360858321,0.5591118358410874,0.5150942076196469,0.6000391536781139,900,1.0136643368926768,1.012272213014796,1.0050258442828046,1.0288383821808893,900,1.0,1.0,1.0,1.0
uniform,20400,0.1586786183662078,0.133506193818112,0.03751072655343917,0.3652622236210046,20400,1.0974214716488946,1.0746860880507803,1.0,1.285373447880797,20400,0.5470588235294118,1.0,0.0,1.0
