query_id,window_id,source,exact_query,endpoint,status,result_count,returned_count,request_hash,error,executed_at_utc
F01,primary,crossref,multi-robot coalition formation,https://api.crossref.org/works,ok,2138410,25,80786f07bf9b7a9c80d24ebe1685fba8c499b2229c34de02083b3c73d64ec4ee,,2026-09-13T02:49:28.027971+00:00
F02,primary,crossref,heterogeneous multi-robot task allocation,https://api.crossref.org/works,ok,1854752,25,0c91817f13011ab03dea3c5c472ee1ecdc132ece890f3ef3005b6fdac1b39b32,,2026-09-13T02:49:28.060044+00:00
F03,primary,crossref,game theoretic multi-robot task allocation,https://api.crossref.org/works,ok,1906890,25,6aefe54ee49b6456f85ea8f107bca520ffe5d2141ada01d1b479a468306e7879,,2026-09-13T02:49:28.063861+00:00
F03,foundational,crossref,game theoretic multi-robot task allocation,https://api.crossref.org/works,ok,118561,25,7bfe63433577bdf0ad4359761c227e24390c20d3eab4a45c219ad846f7802d40,,2026-09-13T02:49:28.067100+00:00
F04,primary,crossref,distributed auction consensus multi-robot task allocation,https://api.crossref.org/works,ok,2085207,25,cdcbe1861d3c353c0da745d13a140c13e5c53fd3e0f24a7f790032ff578ae781,,2026-09-13T02:49:28.072936+00:00
F05,primary,crossref,multi-robot cooperative payload transport,https://api.crossref.org/works,ok,2039802,25,0a665aebf355a9e3c16dd9461fc24eb7aa0532aa11523eac93fee2b66c61e0d7,,2026-09-13T02:49:28.102745+00:00
F05,foundational,crossref,multi-robot cooperative payload transport,https://api.crossref.org/works,ok,220070,25,3c6450b0b81083c02be93a384bd9c5602384af6e70841b336186208eb7438bb1,,2026-09-13T02:49:28.108067+00:00
F06,primary,crossref,multi-robot shared load object transport,https://api.crossref.org/works,ok,2370674,25,a9ceb99bd8fb14c5ed71568f2de1eca1c66835254f1b101342c37a296f3da415,,2026-09-13T02:49:28.111472+00:00
F07,primary,crossref,multi-robot non-prehensile transport caging pushing,https://api.crossref.org/works,ok,3330548,25,284f9daf73298ccf35a7be335013bb5788c9e051398a7694f39c473e448a3c81,,2026-09-13T02:49:28.114682+00:00
F07,foundational,crossref,multi-robot non-prehensile transport caging pushing,https://api.crossref.org/works,ok,444094,25,c0c9f2941b701df72e11186b535df0bbaafcdf1b55a353a313cef441c7a642ac,,2026-09-13T02:49:28.117896+00:00
F08,primary,crossref,multi-robot wrench contact force feasibility payload,https://api.crossref.org/works,ok,1992560,25,22a1fa4d31ffa756924d5fd4baa4f8d8adf97828834d5d36679a58420db52b97,,2026-09-13T02:49:28.146909+00:00
F08,foundational,crossref,multi-robot wrench contact force feasibility payload,https://api.crossref.org/works,ok,178809,25,50e3ba8f4d5e2e4b2ad8d1161a8a6060f9c3b2f284f62619b14bddd6164b7edc,,2026-09-13T02:49:28.150324+00:00
F09,primary,crossref,distributed multi-robot formation docking cooperative transport,https://api.crossref.org/works,ok,3071191,25,bdeb63f32c8cd035565b24ea3eeeafafacea4be152966fab6186448bb5debee8,,2026-09-13T02:49:28.153455+00:00
F09,foundational,crossref,distributed multi-robot formation docking cooperative transport,https://api.crossref.org/works,ok,485638,25,d1c92df4efed5414b1d448bd64523220d55a04c797c10c9a7d5109f000fc18fd,,2026-09-13T02:49:28.157111+00:00
F10,primary,crossref,decentralized leaderless multi-robot cooperative transport,https://api.crossref.org/works,ok,2069737,25,f6d33996342f36f91a85f16d45911fd67b7a18ea16d51b4387ef86ce97c08443,,2026-09-13T02:49:28.160592+00:00
F10,foundational,crossref,decentralized leaderless multi-robot cooperative transport,https://api.crossref.org/works,ok,222329,25,b3cbd9f9cfa465eceeca66591efa057d6d0ac4de4762a851ebb5ef9b1be33f76,,2026-09-13T02:49:28.193388+00:00
F11,primary,crossref,multi-robot coordination packet loss delay switching topology,https://api.crossref.org/works,ok,2286553,25,d1cd18d760c5a1665f2252399bbb7273d3190e986ca35c17345a3ea40e2737e4,,2026-09-13T02:49:28.196949+00:00
F12,primary,crossref,multi-robot coalition failure recovery robot replacement transport,https://api.crossref.org/works,ok,2837243,25,7089bd9ea2435544a5523d92d6fede4d25094f0de173d6af285e1f5070ce64d3,,2026-09-13T02:49:28.200952+00:00
F13,primary,crossref,multi-robot traffic planning carried payload warehouse,https://api.crossref.org/works,ok,2136053,25,eec2bd7d757e00263eb7dc28a05634605a38c27ce66d9a2915ebe6b8037f4aff,,2026-09-13T02:49:28.207419+00:00
F14,primary,crossref,multiple robot coalitions congestion coordination logistics,https://api.crossref.org/works,ok,1218393,25,011b5b8d5cf504c1102b2f486ee3f0a8e4b298f0462b6d8d590a5d9ff52753bb,,2026-09-13T02:49:28.211163+00:00
F15,primary,crossref,heterogeneous robot capability heterogeneous load coalition,https://api.crossref.org/works,ok,704887,25,28cbb1dbd6d3f8f591784bd23bd9131128bb4d2f41e548cefa1ebe582cc50be4,,2026-09-13T02:49:28.243755+00:00
F16,primary,crossref,heterogeneous distributed coalition cooperative payload failure recovery,https://api.crossref.org/works,ok,1431915,25,441a9a590a503bc9b2b89f3d567ba0ac25a888590ef381793c8746519dbecc04,,2026-09-13T02:49:28.247211+00:00
F01,primary,openalex,multi-robot coalition formation,https://api.openalex.org/works,ok,6417,25,b8981d0c04ba35d3a3054280be688bb74a92fc32c0e0bb27d548a50654207c65,,2026-09-13T02:49:28.284427+00:00
F02,primary,openalex,heterogeneous multi-robot task allocation,https://api.openalex.org/works,ok,33725,25,e414069a87adf0513fc953a0e0484e2854a282460d4d93e9a7dace11d2b8396f,,2026-09-13T02:49:28.295282+00:00
F03,primary,openalex,game theoretic multi-robot task allocation,https://api.openalex.org/works,ok,17436,25,860f1a45e2f3353b6ceaacb3c3459b4334efe9a38617054bf2bc78eb387e446d,,2026-09-13T02:49:28.332162+00:00
F03,foundational,openalex,game theoretic multi-robot task allocation,https://api.openalex.org/works,ok,208,25,3daf56693f110d6584ebd5a37f2f779259f7d2a5b9d208da5a39f54f293156d1,,2026-09-13T02:49:28.344201+00:00
F04,primary,openalex,distributed auction consensus multi-robot task allocation,https://api.openalex.org/works,ok,1675,25,4568c03c48f5aa6ce6b4155a0991af5566a32b875bae724496e6c7fc249d31fa,,2026-09-13T02:49:28.379159+00:00
F05,primary,openalex,multi-robot cooperative payload transport,https://api.openalex.org/works,ok,5353,25,4c713f0df79b1d088f353b760483ae84b2aeada1a7780aa52f8decefae768db1,,2026-09-13T02:49:28.419372+00:00
F05,foundational,openalex,multi-robot cooperative payload transport,https://api.openalex.org/works,ok,115,25,446828cd6c973fec0c1b2513c03228746b874533058300ca14752f2b396b702d,,2026-09-13T02:49:28.428467+00:00
F06,primary,openalex,multi-robot shared load object transport,https://api.openalex.org/works,ok,24163,25,9c02131ef7df952a69106a4b75a50400f81eda5e4d957fa928f048753473a5d1,,2026-09-13T02:49:28.467340+00:00
F07,primary,openalex,multi-robot non-prehensile transport caging pushing,https://api.openalex.org/works,ok,35,25,271e3121cdd63e8ac776ba9741b953e12873dad9285c94a9ec2f45c04fda5afa,,2026-09-13T02:49:28.507166+00:00
F07,foundational,openalex,multi-robot non-prehensile transport caging pushing,https://api.openalex.org/works,ok,0,0,ee484de4e902abf33e2c718cdf23a541155623f9d90b6ef7b3c4e7428fe6df33,,2026-09-13T02:49:28.509375+00:00
F08,primary,openalex,multi-robot wrench contact force feasibility payload,https://api.openalex.org/works,ok,515,25,225fe88812fd50dabb5104c8f1db7700c0d55f79f91cfef704598528e9edf819,,2026-09-13T02:49:28.519031+00:00
F08,foundational,openalex,multi-robot wrench contact force feasibility payload,https://api.openalex.org/works,ok,19,19,701a0553ff2b5e2757ba85fee125320019d9d355f9a5a04627169b5893de3d40,,2026-09-13T02:49:28.553026+00:00
