scenario,scenario_label,capacity_label,n_worlds,cv_realised_median,false_positive_count,false_positive_rate,ci95_low,ci95_high,severity_median_rel_deficit,severity_n
uniform,Aleatorio,Homogénea,60,0.0,0,0.0,0.0,0.0602,,0
uniform,Aleatorio,Baja,60,0.1452,19,0.3167,0.2131,0.4423,0.0535,19
uniform,Aleatorio,Moderada,60,0.3458,48,0.8,0.6822,0.8817,0.1047,48
uniform,Aleatorio,Alta,60,0.6578,51,0.85,0.7389,0.919,0.3352,51
uniform,Aleatorio,Extrema,60,1.0172,57,0.95,0.863,0.9829,0.57,57
clustered,Agrupado,Homogénea,60,0.0,0,0.0,0.0,0.0602,,0
clustered,Agrupado,Baja,60,0.1383,25,0.4167,0.3006,0.5427,0.0622,25
clustered,Agrupado,Moderada,60,0.3365,42,0.7,0.5749,0.801,0.1751,42
clustered,Agrupado,Alta,60,0.6567,59,0.9833,0.9114,0.9971,0.3519,59
clustered,Agrupado,Extrema,60,1.02,59,0.9833,0.9114,0.9971,0.4697,59
separated,Separado,Homogénea,60,0.0,0,0.0,0.0,0.0602,,0
separated,Separado,Baja,60,0.1418,22,0.3667,0.2562,0.4932,0.0297,22
separated,Separado,Moderada,60,0.356,36,0.6,0.4737,0.7143,0.1579,36
separated,Separado,Alta,60,0.6318,54,0.9,0.7985,0.9534,0.3521,54
separated,Separado,Extrema,60,1.0203,58,0.9667,0.8864,0.9908,0.547,58
ring,Anillo,Homogénea,60,0.0,0,0.0,0.0,0.0602,,0
ring,Anillo,Baja,60,0.1534,22,0.3667,0.2562,0.4932,0.0475,22
ring,Anillo,Moderada,60,0.3222,41,0.6833,0.5577,0.7869,0.1575,41
ring,Anillo,Alta,60,0.6621,58,0.9667,0.8864,0.9908,0.2855,58
ring,Anillo,Extrema,60,1.0576,59,0.9833,0.9114,0.9971,0.558,59
corridor,Pasillo,Homogénea,60,0.0,0,0.0,0.0,0.0602,,0
corridor,Pasillo,Baja,60,0.1443,26,0.4333,0.3157,0.559,0.0321,26
corridor,Pasillo,Moderada,60,0.3417,49,0.8167,0.7008,0.8944,0.1455,49
corridor,Pasillo,Alta,60,0.6514,55,0.9167,0.8193,0.9639,0.3125,55
corridor,Pasillo,Extrema,60,0.9684,60,1.0,0.9398,1.0,0.5261,60
