claim_id,campaign,metric,method,macro,denominator_definition,n_total,n_used,estimate,ci_low,ci_high,source_csv,filter,definition,appears_in,script,git_sha
SPoneCertWorlds,,,,\SPoneCertWorlds,cert,,,1160.0,,,n4_v2/e4_family_runs.csv,,mundos con optimo MILP certificado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCommonWorlds,,,,\SPoneCommonWorlds,common,,,1133.0,,,n4_v2/e4_family_runs.csv,,"BR, 2BR y C3 factibles y oraculo certificado","N4 texto, F7",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRGapCommon,N4.E4,brecha mediana frente al MILP [%],BR,\SPoneBRGapCommon,common,1200,1133,55.6636,52.86,58.68,n4_v2/e4_family_runs.csv,oracle_certified AND todos los metodos factibles,mediana de la brecha sobre soporte comun,"N4 texto, F7A",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRGapCommonLo,,,,\SPoneBRGapCommonLo,common,,,52.865,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo inferior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRGapCommonHi,,,,\SPoneBRGapCommonHi,common,,,58.6797,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo superior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRGapOwn,,,,\SPoneBRGapOwn,cert (filas factibles de cada metodo),,,55.6636,,,n4_v2/e4_family_runs.csv,,mediana per-metodo; definicion de family_summary.csv,solo auditoria,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRInfeasPct,N4.E4,P(infactible | oraculo factible),BR,\SPoneBRInfeasPct,cert,1200,1160,2.3276,1.6,3.37,n4_v2/e4_family_runs.csv,oracle_certified,"riesgo de infactibilidad, IC de Wilson","N4 texto, F7B",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRFeasN,N4.E4,mundos factibles,BR,\SPoneBRFeasN,cert,1200,1160,1133.0,,,n4_v2/e4_family_runs.csv,oracle_certified,mundos factibles sobre el soporte certificado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRFeasRound,N4.E4,P(factible | oraculo factible) [1 dec],BR,\SPoneBRFeasRound,cert,1200,1160,97.6724,,,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), una decimal",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneBRFeasPct,N4.E4,P(factible | oraculo factible),BR,\SPoneBRFeasPct,cert,1200,1160,97.6724,96.63,98.4,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), IC de Wilson",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRGapCommon,N4.E4,brecha mediana frente al MILP [%],TwoBR,\SPoneTwoBRGapCommon,common,1200,1133,14.6264,13.64,15.79,n4_v2/e4_family_runs.csv,oracle_certified AND todos los metodos factibles,mediana de la brecha sobre soporte comun,"N4 texto, F7A",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRGapCommonLo,,,,\SPoneTwoBRGapCommonLo,common,,,13.6406,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo inferior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRGapCommonHi,,,,\SPoneTwoBRGapCommonHi,common,,,15.7865,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo superior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRGapOwn,,,,\SPoneTwoBRGapOwn,cert (filas factibles de cada metodo),,,14.7735,,,n4_v2/e4_family_runs.csv,,mediana per-metodo; definicion de family_summary.csv,solo auditoria,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRInfeasPct,N4.E4,P(infactible | oraculo factible),TwoBR,\SPoneTwoBRInfeasPct,cert,1200,1160,0.0862,0.02,0.49,n4_v2/e4_family_runs.csv,oracle_certified,"riesgo de infactibilidad, IC de Wilson","N4 texto, F7B",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRFeasN,N4.E4,mundos factibles,TwoBR,\SPoneTwoBRFeasN,cert,1200,1160,1159.0,,,n4_v2/e4_family_runs.csv,oracle_certified,mundos factibles sobre el soporte certificado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRFeasRound,N4.E4,P(factible | oraculo factible) [1 dec],TwoBR,\SPoneTwoBRFeasRound,cert,1200,1160,99.9138,,,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), una decimal",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneTwoBRFeasPct,N4.E4,P(factible | oraculo factible),TwoBR,\SPoneTwoBRFeasPct,cert,1200,1160,99.9138,99.51,99.98,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), IC de Wilson",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeGapCommon,N4.E4,brecha mediana frente al MILP [%],CThree,\SPoneCThreeGapCommon,common,1200,1133,3.1492,2.2,3.67,n4_v2/e4_family_runs.csv,oracle_certified AND todos los metodos factibles,mediana de la brecha sobre soporte comun,"N4 texto, F7A",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeGapCommonLo,,,,\SPoneCThreeGapCommonLo,common,,,2.1972,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo inferior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeGapCommonHi,,,,\SPoneCThreeGapCommonHi,common,,,3.6723,,,n4_v2/e4_family_runs.csv,,"IC 95 % bootstrap, extremo superior",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeGapOwn,,,,\SPoneCThreeGapOwn,cert (filas factibles de cada metodo),,,3.2335,,,n4_v2/e4_family_runs.csv,,mediana per-metodo; definicion de family_summary.csv,solo auditoria,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeInfeasPct,N4.E4,P(infactible | oraculo factible),CThree,\SPoneCThreeInfeasPct,cert,1200,1160,0.0,0.0,0.33,n4_v2/e4_family_runs.csv,oracle_certified,"riesgo de infactibilidad, IC de Wilson","N4 texto, F7B",scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeFeasN,N4.E4,mundos factibles,CThree,\SPoneCThreeFeasN,cert,1200,1160,1160.0,,,n4_v2/e4_family_runs.csv,oracle_certified,mundos factibles sobre el soporte certificado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeFeasRound,N4.E4,P(factible | oraculo factible) [1 dec],CThree,\SPoneCThreeFeasRound,cert,1200,1160,100.0,,,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), una decimal",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeFeasPct,N4.E4,P(factible | oraculo factible),CThree,\SPoneCThreeFeasPct,cert,1200,1160,100.0,99.67,100.0,n4_v2/e4_family_runs.csv,oracle_certified,"P(factible | oraculo factible), IC de Wilson",N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeMinusBRCommon,N4.E4,diferencia pareada de brecha [pp],C3-BR,\SPoneCThreeMinusBRCommon,common,1200,1133,-49.2105,-53.47,-45.98,n4_v2/e4_family_runs.csv,soporte comun,mediana de las diferencias pareadas C3 menos BR,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeMinusBRCommonLo,,,,\SPoneCThreeMinusBRCommonLo,common,,,-53.4658,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap pareado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneCThreeMinusBRCommonHi,,,,\SPoneCThreeMinusBRCommonHi,common,,,-45.9823,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap pareado,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaFull,,,,\SPoneDmisBytesDeltaFull,full,,,1282.5,,,n4_v2/e4_family_runs.csv,,mediana de las diferencias pareadas DMIS+TX menos CF,solo auditoria,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaFullLo,,,,\SPoneDmisBytesDeltaFullLo,full,,,1257.0,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaFullHi,,,,\SPoneDmisBytesDeltaFullHi,full,,,1317.5,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisWorldsFull,,,,\SPoneDmisWorldsFull,full,,,1200.0,,,n4_v2/e4_family_runs.csv,,pares comparados,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaCert,,,,\SPoneDmisBytesDeltaCert,cert,,,1297.0,,,n4_v2/e4_family_runs.csv,,mediana de las diferencias pareadas DMIS+TX menos CF,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaCertLo,,,,\SPoneDmisBytesDeltaCertLo,cert,,,1262.75,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
SPoneDmisBytesDeltaCertHi,,,,\SPoneDmisBytesDeltaCertHi,cert,,,1324.0,,,n4_v2/e4_family_runs.csv,,IC 95 % bootstrap,N4 texto,scripts/sp1_final_figs/canonical_metrics.py,e2e67abe
