panel,rule,fitness,gap_median_pct,feasibility_pct
A/B,BR,F0,25.218390779276135,94.04761904761905
A/B,BR,F1,59.26217760172079,96.13095238095238
A/B,BR,F2,46.588197774883156,96.72619047619048
A/B,ASR,F0,55.90448729703764,93.45238095238095
A/B,ASR,F1,53.58292257465075,94.94047619047619
A/B,ASR,F2,56.01813395683432,94.94047619047619
A/B,LLL,F0,39.61783969026099,95.53571428571429
A/B,LLL,F1,55.34421128963554,97.32142857142857
A/B,LLL,F2,55.44552378599721,97.32142857142857
A/B,2BR,F0,11.993162640040442,97.91666666666666
A/B,2BR,F1,16.922884851444564,99.40476190476191
A/B,2BR,F2,13.615318039715511,99.40476190476191
C,,F0,,
C,,F1,,
C,,F2,,
