panel,nivel,distancia_al_milp_pct
A,LP relajado,-18.0
A,MILP,0.0
A,BR h=1,55.664
A,2BR h=2,14.626
A,C3 h=3,3.149
B,,
B,,
B,,
anexo,,
anexo,,
anexo,,
anexo,,
anexo,,
anexo,,
anexo,,
anexo,,
anexo,,
D,,
D,,
D,,
D,,
D,,
