method,label,n_all,n_oracle_feasible,n_common_support,feasibility_pct,feasibility_ci_low,feasibility_ci_high,gap_median_pct,gap_ci_low,gap_ci_high,bytes_per_amr_median
capacity_cbba_rb,CBBA-RB,1200,1159,878,75.75,73.21,78.13,40.252,37.671,43.7,9088.8
weighted_grape,Weighted-GRAPE,1200,1159,878,99.83,99.37,99.95,20.914,18.606,22.479,20908.7
weighted_pair_grape,Pair-GRAPE,1200,1159,878,100.0,99.67,100.0,9.376,8.313,10.735,25791.0
