graph_regime,method,label,n_runs,n_oracle_feasible,feasibility_pct,ci_low,ci_high,bytes_per_amr_median,rounds_median,graph_connected
dense,gamma_r,corridor,,,,,,2.9054,1.688572,
medium,gamma_r,corridor,,,,,,1.6343,0.296719,
threshold,gamma_r,corridor,,,,,,0.8008,0.268212,
partitioned,gamma_r,corridor,,,,,,0.6555,0.0,
dense,gamma_r,corridor,,,,,,1.072,0.33839,
medium,gamma_r,corridor,,,,,,0.603,0.159932,
threshold,gamma_r,corridor,,,,,,0.2955,0.059936,
partitioned,gamma_r,corridor,,,,,,0.2419,0.0,
dense,gamma_r,corridor,,,,,,1.9695,1.417295,
medium,gamma_r,corridor,,,,,,1.1079,0.701847,
threshold,gamma_r,corridor,,,,,,0.5429,0.197977,
partitioned,gamma_r,corridor,,,,,,0.4444,0.0,
dense,gamma_r,corridor,,,,,,3.8382,1.893758,
medium,gamma_r,corridor,,,,,,2.159,0.791488,
threshold,gamma_r,corridor,,,,,,1.0579,0.253968,
partitioned,gamma_r,corridor,,,,,,0.866,-0.0,
dense,gamma_r,corridor,,,,,,2.4045,1.307777,
medium,gamma_r,corridor,,,,,,1.3525,0.476869,
threshold,gamma_r,corridor,,,,,,0.6627,0.190758,
partitioned,gamma_r,corridor,,,,,,0.5425,0.0,
dense,gamma_r,corridor,,,,,,2.138,1.813279,
medium,gamma_r,corridor,,,,,,1.2026,0.521693,
threshold,gamma_r,corridor,,,,,,0.5893,0.160414,
partitioned,gamma_r,corridor,,,,,,0.4824,0.0,
dense,gamma_r,corridor,,,,,,2.9514,1.894266,
medium,gamma_r,corridor,,,,,,1.6602,0.698818,
threshold,gamma_r,corridor,,,,,,0.8135,0.201028,
partitioned,gamma_r,corridor,,,,,,0.6659,0.0,
dense,gamma_r,corridor,,,,,,2.7366,0.868692,
medium,gamma_r,corridor,,,,,,1.5394,0.519628,
threshold,gamma_r,corridor,,,,,,0.7543,0.085566,
partitioned,gamma_r,corridor,,,,,,0.6175,0.0,
dense,gamma_r,corridor,,,,,,4.4067,3.335922,
medium,gamma_r,corridor,,,,,,2.4788,1.238986,
threshold,gamma_r,corridor,,,,,,1.2146,0.341611,
partitioned,gamma_r,corridor,,,,,,0.9943,-0.0,
dense,gamma_r,corridor,,,,,,4.6283,3.057059,
medium,gamma_r,corridor,,,,,,2.6034,0.735262,
threshold,gamma_r,corridor,,,,,,1.2757,0.201148,
partitioned,gamma_r,corridor,,,,,,1.0443,0.0,
dense,gamma_r,corridor,,,,,,3.3391,2.555287,
medium,gamma_r,corridor,,,,,,1.8782,0.777012,
threshold,gamma_r,corridor,,,,,,0.9203,0.168413,
partitioned,gamma_r,corridor,,,,,,0.7534,0.0,
dense,gamma_r,corridor,,,,,,6.4565,11.186393,
medium,gamma_r,corridor,,,,,,3.6318,3.858528,
threshold,gamma_r,corridor,,,,,,1.7796,0.804442,
partitioned,gamma_r,corridor,,,,,,1.4567,-0.0,
dense,gamma_r,corridor,,,,,,3.319,3.812268,
medium,gamma_r,corridor,,,,,,1.867,1.889252,
threshold,gamma_r,corridor,,,,,,0.9148,0.277111,
partitioned,gamma_r,corridor,,,,,,0.7489,0.0,
dense,gamma_r,corridor,,,,,,4.3781,6.27605,
medium,gamma_r,corridor,,,,,,2.4627,1.411731,
threshold,gamma_r,corridor,,,,,,1.2067,0.262518,
partitioned,gamma_r,corridor,,,,,,0.9878,-0.0,
dense,gamma_r,corridor,,,,,,3.1746,3.926308,
medium,gamma_r,corridor,,,,,,1.7857,0.710994,
threshold,gamma_r,corridor,,,,,,0.875,0.277043,
partitioned,gamma_r,corridor,,,,,,0.7163,-0.0,
dense,gamma_r,corridor,,,,,,4.2412,3.638611,
medium,gamma_r,corridor,,,,,,2.3857,1.370627,
threshold,gamma_r,corridor,,,,,,1.169,0.20603,
partitioned,gamma_r,corridor,,,,,,0.9569,0.0,
dense,gamma_r,corridor,,,,,,2.4615,1.543559,
medium,gamma_r,corridor,,,,,,1.3846,0.583151,
threshold,gamma_r,corridor,,,,,,0.6785,0.141946,
partitioned,gamma_r,corridor,,,,,,0.5554,0.0,
dense,gamma_r,corridor,,,,,,1.8323,1.252366,
medium,gamma_r,corridor,,,,,,1.0307,0.440259,
threshold,gamma_r,corridor,,,,,,0.505,0.10188,
partitioned,gamma_r,corridor,,,,,,0.4134,-0.0,
dense,gamma_r,corridor,,,,,,2.3224,1.912796,
medium,gamma_r,corridor,,,,,,1.3064,0.576415,
threshold,gamma_r,corridor,,,,,,0.6401,0.184393,
partitioned,gamma_r,corridor,,,,,,0.524,-0.0,
dense,gamma_r,corridor,,,,,,1.2119,1.198233,
medium,gamma_r,corridor,,,,,,0.6817,0.418144,
threshold,gamma_r,corridor,,,,,,0.334,0.119141,
partitioned,gamma_r,corridor,,,,,,0.2734,-0.0,
dense,gamma_r,corridor,,,,,,4.479,4.758669,
medium,gamma_r,corridor,,,,,,2.5194,1.573411,
threshold,gamma_r,corridor,,,,,,1.2345,0.19877,
partitioned,gamma_r,corridor,,,,,,1.0106,0.0,
dense,gamma_r,corridor,,,,,,3.6675,4.184927,
medium,gamma_r,corridor,,,,,,2.0629,0.985026,
threshold,gamma_r,corridor,,,,,,1.0108,0.184972,
partitioned,gamma_r,corridor,,,,,,0.8275,0.0,
dense,gamma_r,corridor,,,,,,2.079,0.976197,
medium,gamma_r,corridor,,,,,,1.1694,0.706165,
threshold,gamma_r,corridor,,,,,,0.573,0.101143,
partitioned,gamma_r,corridor,,,,,,0.4691,0.0,
dense,gamma_r,corridor,,,,,,2.4048,0.949,
medium,gamma_r,corridor,,,,,,1.3527,0.35414,
threshold,gamma_r,corridor,,,,,,0.6628,0.151064,
partitioned,gamma_r,corridor,,,,,,0.5426,0.0,
dense,gamma_r,corridor,,,,,,2.9409,3.680018,
medium,gamma_r,corridor,,,,,,1.6543,1.69897,
threshold,gamma_r,corridor,,,,,,0.8106,0.665986,
partitioned,gamma_r,corridor,,,,,,0.6635,0.0,
dense,gamma_r,corridor,,,,,,1.3643,1.383553,
medium,gamma_r,corridor,,,,,,0.7674,0.523953,
threshold,gamma_r,corridor,,,,,,0.376,0.15352,
partitioned,gamma_r,corridor,,,,,,0.3078,0.0,
dense,gamma_r,corridor,,,,,,3.5401,3.192522,
medium,gamma_r,corridor,,,,,,1.9913,0.999058,
threshold,gamma_r,corridor,,,,,,0.9757,0.19986,
partitioned,gamma_r,corridor,,,,,,0.7987,0.0,
dense,gamma_r,corridor,,,,,,2.5517,1.4198,
medium,gamma_r,corridor,,,,,,1.4353,0.681742,
threshold,gamma_r,corridor,,,,,,0.7033,0.201556,
partitioned,gamma_r,corridor,,,,,,0.5757,0.0,
dense,gamma_r,corridor,,,,,,2.1573,2.057263,
medium,gamma_r,corridor,,,,,,1.2135,0.648824,
threshold,gamma_r,corridor,,,,,,0.5946,0.208135,
partitioned,gamma_r,corridor,,,,,,0.4867,0.0,
dense,gamma_r,corridor,,,,,,2.2145,1.654045,
medium,gamma_r,corridor,,,,,,1.2457,0.644719,
threshold,gamma_r,corridor,,,,,,0.6104,0.122528,
partitioned,gamma_r,corridor,,,,,,0.4996,0.0,
dense,gamma_r,corridor,,,,,,2.9054,1.688572,
medium,gamma_r,corridor,,,,,,1.6343,0.296719,
threshold,gamma_r,corridor,,,,,,0.8008,0.268212,
partitioned,gamma_r,corridor,,,,,,0.6555,0.0,
dense,gamma_r,corridor,,,,,,1.072,0.33839,
medium,gamma_r,corridor,,,,,,0.603,0.159932,
threshold,gamma_r,corridor,,,,,,0.2955,0.059936,
partitioned,gamma_r,corridor,,,,,,0.2419,0.0,
dense,gamma_r,corridor,,,,,,1.9695,1.417295,
medium,gamma_r,corridor,,,,,,1.1079,0.701847,
threshold,gamma_r,corridor,,,,,,0.5429,0.197977,
partitioned,gamma_r,corridor,,,,,,0.4444,0.0,
dense,gamma_r,corridor,,,,,,3.8382,1.893758,
medium,gamma_r,corridor,,,,,,2.159,0.791488,
threshold,gamma_r,corridor,,,,,,1.0579,0.253968,
partitioned,gamma_r,corridor,,,,,,0.866,-0.0,
dense,gamma_r,corridor,,,,,,2.4045,1.307777,
medium,gamma_r,corridor,,,,,,1.3525,0.476869,
threshold,gamma_r,corridor,,,,,,0.6627,0.190758,
partitioned,gamma_r,corridor,,,,,,0.5425,0.0,
dense,gamma_r,corridor,,,,,,2.138,1.813279,
medium,gamma_r,corridor,,,,,,1.2026,0.521693,
threshold,gamma_r,corridor,,,,,,0.5893,0.160414,
partitioned,gamma_r,corridor,,,,,,0.4824,0.0,
dense,gamma_r,corridor,,,,,,2.9514,1.894266,
medium,gamma_r,corridor,,,,,,1.6602,0.698818,
threshold,gamma_r,corridor,,,,,,0.8135,0.201028,
partitioned,gamma_r,corridor,,,,,,0.6659,0.0,
dense,gamma_r,corridor,,,,,,2.7366,0.868692,
medium,gamma_r,corridor,,,,,,1.5394,0.519628,
threshold,gamma_r,corridor,,,,,,0.7543,0.085566,
partitioned,gamma_r,corridor,,,,,,0.6175,0.0,
dense,gamma_r,corridor,,,,,,4.4067,3.335922,
medium,gamma_r,corridor,,,,,,2.4788,1.238986,
threshold,gamma_r,corridor,,,,,,1.2146,0.341611,
partitioned,gamma_r,corridor,,,,,,0.9943,-0.0,
dense,gamma_r,corridor,,,,,,4.6283,3.057059,
medium,gamma_r,corridor,,,,,,2.6034,0.735262,
threshold,gamma_r,corridor,,,,,,1.2757,0.201148,
partitioned,gamma_r,corridor,,,,,,1.0443,0.0,
