method,label,n,n_common,gap_median_pct,gap_ci_low,gap_ci_high,feasibility_pct,feasibility_ci_low,feasibility_ci_high,bytes_per_amr_median
geo_qpg_cf,CF,1160,1160,11.564,10.605,12.308,100.0,99.67,100.0,4080.0
geo_qpg_d,DMIS+TX,1160,1160,11.564,10.605,12.308,100.0,99.67,100.0,5355.2
paired_delta,DMIS+TX menos CF,1160,1160,,,,,,,1297.0
