campaign,capacity_cv,pressure,n_worlds,n_comparable,gap_median_pct,lp_feasible_milp_infeasible,fractional_worlds,milp_certified_pct
atomicity,0.0,0.7,150,150,23.751,0,150,
atomicity,0.0,0.85,150,110,19.85,40,150,
atomicity,0.15,0.7,150,150,16.004,0,150,
atomicity,0.15,0.85,150,150,13.623,0,150,
atomicity,0.35,0.7,150,150,16.456,0,150,
atomicity,0.35,0.85,150,150,12.232,0,150,
atomicity,0.65,0.7,150,150,21.709,0,150,
atomicity,0.65,0.85,150,150,14.968,0,150,
atomicity,1.0,0.7,150,150,25.693,0,150,
atomicity,1.0,0.85,150,145,19.143,5,150,
phase_diagram,0.0,0.6,60,,,,,100.0
phase_diagram,0.0,0.75,60,,,,,100.0
phase_diagram,0.0,0.85,60,,,,,51.67
phase_diagram,0.0,0.92,60,,,,,0.0
phase_diagram,0.0,0.97,60,,,,,0.0
phase_diagram,0.0,1.02,60,,,,,0.0
phase_diagram,0.15,0.6,60,,,,,100.0
phase_diagram,0.15,0.75,60,,,,,100.0
phase_diagram,0.15,0.85,60,,,,,100.0
phase_diagram,0.15,0.92,60,,,,,96.67
phase_diagram,0.15,0.97,60,,,,,90.0
phase_diagram,0.15,1.02,60,,,,,0.0
phase_diagram,0.35,0.6,60,,,,,100.0
phase_diagram,0.35,0.75,60,,,,,100.0
phase_diagram,0.35,0.85,60,,,,,100.0
phase_diagram,0.35,0.92,60,,,,,96.67
phase_diagram,0.35,0.97,60,,,,,90.0
phase_diagram,0.35,1.02,60,,,,,0.0
phase_diagram,0.65,0.6,60,,,,,100.0
phase_diagram,0.65,0.75,60,,,,,100.0
phase_diagram,0.65,0.85,60,,,,,98.33
phase_diagram,0.65,0.92,60,,,,,98.33
phase_diagram,0.65,0.97,60,,,,,83.33
phase_diagram,0.65,1.02,60,,,,,0.0
phase_diagram,1.0,0.6,60,,,,,100.0
phase_diagram,1.0,0.75,60,,,,,100.0
phase_diagram,1.0,0.85,60,,,,,96.67
phase_diagram,1.0,0.92,60,,,,,96.67
phase_diagram,1.0,0.97,60,,,,,81.67
phase_diagram,1.0,1.02,60,,,,,0.0
