assignment_switches,censored_loads,coalition_breaks,comm_graph_lambda2_mean,delivered_reward,delivered_weight_ratio,delivery_rate,discovery_latency_first_mean,discovery_latency_mean,distance_per_delivered_weight,family,frac_loads_never_discovered,info_requirement,label,lateral_switches,lateral_switches_per_delivery,lateral_while_transporting,loads_delivered,loads_offered,loads_spawned,max_completion_time,max_contact_margin,max_formation_error,mean_communication_degree,mean_completion_time,mean_contact_deficit,mean_contact_surplus,mean_formation_error,mean_time_post_discovery,method,min_load_obstacle_clearance,min_pair_distance,min_robot_obstacle_clearance,network_coverage_mean,offered_load,oracle_reward,peak_deficit_after_fault,pre_failure_deliveries,price_level_vs_lambda_star,price_std_late,priority_regret,recovery_time_s,recruit_latency_mean,recruit_switches,release_switches,reward_capture_discovered,reward_capture_ratio,rho,robots,run_mode,runtime_per_decision_ms,runtime_seconds,scenario,scenario_case,seed,staffing_rmse_vs_theory,station_mesh_connected,switch_denominator_lt3,switch_event_log_path,switches_per_delivery,throughput_steady,total_robot_distance,visual_method,visual_scenario,wasted_distance
87,3,0,0.2629967192390783,12.6,0.6521739130434783,0.6666666666666666,8.638938144929991,8.638938144929991,20.258792161100292,ours,0.0,local,Smith main raw,33,5.5,0,6,10,9,64.31491398479038,0.0,9.899472284809761,9.589828941285251,41.5582825584657,4.763716166788588,0.03291880029261156,1.8664113735575123,38.25,smith_full,0.5349684264254102,0.24702639557299347,0.07999999999999985,0.7531675675675675,0.45,21.32,nan,nan,318457.8427370229,0.27556284077713306,8.72,nan,1.0555555555555556,34,20,0.658307210031348,0.5909943714821764,0.45,15,nan,6.17903037446883,4.455080899992026,nominal_flow,rho0.7,2026,8.001148931735637,True,False,nan,14.5,2.7777777777777777,911.6456472495131,smith_full,abundance,170.40073810081884
79,3,0,0.2503768325179434,12.6,0.6521739130434783,0.6666666666666666,7.833382589374436,7.833382589374436,20.982272773640187,classic,0.0,local,Classic greedy nearest,43,7.166666666666667,0,6,10,9,62.81491398479038,1.0,10.781316602137235,9.397318539066111,38.391615891799034,4.293939393939394,0.3053030303030303,2.0285866975550397,38.333333333333336,classic_greedy_nearest,0.5365088601415016,0.2495721582798902,0.07999999999999985,0.6707459459459458,0.45,21.32,nan,nan,nan,nan,8.72,nan,7.46875,20,16,0.658307210031348,0.5909943714821764,0.45,15,nan,5.703116088718739,4.111946699966211,nominal_flow,rho0.7,2026,nan,True,False,nan,13.166666666666666,2.7777777777777777,944.2022748138083,classic_greedy_nearest,abundance,176.6463049717051
89,3,0,0.24734644715783152,14.780000000000001,0.6883116883116883,0.7,0.0,0.0,17.027317230679476,classic,0.0,global,Classic centralized min-cost,30,4.285714285714286,0,7,10,10,52.26284929634845,1.0,9.909580110688067,9.904022191400832,36.92833311245125,5.238636363636363,0.3515151515151515,1.8625283844099751,36.92833311245125,classic_centralized_mincost,0.5342422425008362,0.23950160368516735,0.07999999999999985,0.7351783783783783,0.45,21.32,nan,nan,nan,nan,6.539999999999999,nan,21.320405721493636,29,30,0.6932457786116323,0.6932457786116323,0.45,15,nan,4.678200554792432,3.3729826000053436,nominal_flow,rho0.7,2026,nan,True,False,nan,12.714285714285714,3.333333333333333,902.4478132260122,classic_centralized_mincost,abundance,0.9735576159631892
89,3,0,0.24734644715783152,14.780000000000001,0.6883116883116883,0.7,0.0,0.0,17.027317230679476,oracle,0.0,global,Oracle clairvoyant,30,4.285714285714286,0,7,10,10,52.26284929634845,1.0,9.909580110688067,9.904022191400832,36.92833311245125,5.238636363636363,0.3515151515151515,1.8625283844099751,36.92833311245125,oracle_clairvoyant,0.5342422425008362,0.23950160368516735,0.07999999999999985,0.7351783783783783,0.45,21.32,nan,nan,nan,nan,6.539999999999999,nan,21.320405721493636,29,30,0.6932457786116323,0.6932457786116323,0.45,15,nan,4.8853251040815,3.522319400042761,nominal_flow,rho0.7,2026,nan,True,False,nan,12.714285714285714,3.333333333333333,902.4478132260122,oracle_clairvoyant,abundance,0.9735576159631892
139,0,0,0.26144827768452034,15.46,1.0,1.0,5.869005413593752,5.869005413593752,19.144485766234023,ours,0.0,local,Smith main raw,11,1.2222222222222223,6,9,9,9,68.36654378228238,0.0,10.317694771567538,10.076560332871013,46.091227635815976,2.054558011049724,0.031767955801104975,1.7982411316096107,40.22222222222222,smith_full,0.5333730442779095,0.2676512711917597,0.07999999999999974,0.7441729729729728,0.45,15.46,nan,nan,190695.2959612003,0.14104109145993762,0.0,nan,8.777777777777779,64,64,1.0,1.0,0.45,15,nan,7.044785020836783,5.07929000002332,nominal_flow,rho0.7,2027,6.336894454367984,True,False,nan,15.444444444444445,2.7777777777777777,880.6463452467651,smith_full,abundance,0.0
84,0,0,0.265913000834306,15.46,1.0,1.0,1.2578943024826408,1.2578943024826408,22.120423868238717,classic,0.0,local,Classic greedy nearest,21,2.3333333333333335,0,9,9,9,61.61654378228237,1.0,10.54635335729773,10.218770226537217,32.70233874692709,2.0865724381625443,0.5653710247349824,1.7995390812477858,31.444444444444443,classic_greedy_nearest,0.5378285094668828,0.26109325248448934,0.07999999999999974,0.7219459459459461,0.45,15.46,nan,nan,nan,nan,0.0,nan,0.0,29,34,1.0,1.0,0.45,15,nan,6.142473092913659,4.428723099990748,nominal_flow,rho0.7,2027,nan,True,False,nan,9.333333333333334,2.7777777777777777,1017.539497938981,classic_greedy_nearest,abundance,0.0
87,0,0,0.2694546083526328,15.46,1.0,1.0,0.0,0.0,19.783894161153096,classic,0.0,global,Classic centralized min-cost,40,4.444444444444445,0,9,9,9,82.23780565617005,1.0,7.664972994156568,10.406472491909385,37.091227635815976,2.644186046511628,0.5279069767441861,1.4361811020592223,37.091227635815976,classic_centralized_mincost,0.5317740316918363,0.21723399160025486,0.07999999999999974,0.7304648648648648,0.45,15.46,nan,nan,nan,nan,0.0,nan,6.257894302482641,21,26,1.0,1.0,0.45,15,nan,4.933228155329369,3.556857499992475,nominal_flow,rho0.7,2027,nan,True,False,nan,9.666666666666666,2.7777777777777777,910.0591314130425,classic_centralized_mincost,abundance,0.0
87,0,0,0.2694546083526328,15.46,1.0,1.0,0.0,0.0,19.783894161153096,oracle,0.0,global,Oracle clairvoyant,40,4.444444444444445,0,9,9,9,82.23780565617005,1.0,7.664972994156568,10.406472491909385,37.091227635815976,2.644186046511628,0.5279069767441861,1.4361811020592223,37.091227635815976,oracle_clairvoyant,0.5317740316918363,0.21723399160025486,0.07999999999999974,0.7304648648648648,0.45,15.46,nan,nan,nan,nan,0.0,nan,6.257894302482641,21,26,1.0,1.0,0.45,15,nan,5.091525520128295,3.6709899000125006,nominal_flow,rho0.7,2027,nan,True,False,nan,9.666666666666666,2.7777777777777777,910.0591314130425,oracle_clairvoyant,abundance,0.0
394,3,2,0.2719105845776336,13.18,0.7818181818181819,0.7,21.12452687968388,21.12452687968388,21.19986163089026,ours,0.0,local,Smith main raw,125,17.857142857142858,10,7,19,10,148.16095426424744,0.0,9.515815968661007,9.547665279704114,71.28001643684223,2.4140969162995596,0.021047479197258932,1.8220997100659804,57.714285714285715,smith_full,0.48337784867932,0.23695448526948326,0.07999999999999985,0.7561081081081081,0.45,37.1,nan,nan,33345.138898938385,0.1961664096730531,23.92,nan,8.055555555555555,140,129,0.7404494382022472,0.3552560646900269,0.45,15,nan,7.1903209431431465,5.184221400006209,nominal_flow,rho0.7,2028,5.15467441905091,True,False,nan,56.285714285714285,2.7777777777777777,911.5940501282812,smith_full,abundance,45.84986197918754
95,3,0,0.2213246331206226,17.8,0.7142857142857143,0.7692307692307693,6.279736516616229,6.318198055077767,19.02587027036773,classic,0.0,local,Classic greedy nearest,44,4.4,0,10,19,13,52.660954264247444,1.0,7.63442517277333,9.565603328710125,34.649526879683876,3.1569731081926204,0.4133833646028768,1.4277474430949748,31.25,classic_greedy_nearest,0.4951510290553879,0.2253726733003657,0.07999999999999985,0.7056432432432433,0.45,37.1,nan,nan,nan,nan,19.3,nan,5.916666666666667,30,21,0.7410491257285595,0.4797843665768194,0.45,15,nan,6.69338696256174,4.825932000007015,nominal_flow,rho0.7,2028,nan,True,False,nan,9.5,3.333333333333333,1046.422864870225,classic_greedy_nearest,abundance,60.014756412968964
102,3,0,0.24671294468080993,15.780000000000001,0.6666666666666666,0.75,0.0,0.0,22.074523463495012,classic,0.0,global,Classic centralized min-cost,33,3.6666666666666665,0,9,19,12,68.91095426424744,1.0,7.89813706531605,10.307905686546464,38.62010639350932,3.619126589275843,0.4074074074074074,1.5324059437945257,38.62010639350932,classic_centralized_mincost,0.5854148274305405,0.2564556323782846,0.07999999999999985,0.7438702702702702,0.45,37.1,nan,nan,nan,nan,21.32,nan,11.632988452814034,37,32,0.4253369272237197,0.4253369272237197,0.45,15,nan,5.545257281508147,3.998130499967374,nominal_flow,rho0.7,2028,nan,True,False,nan,11.333333333333334,3.333333333333333,1059.5771262477606,classic_centralized_mincost,abundance,198.2133363527034
102,3,0,0.24671294468080993,15.780000000000001,0.6666666666666666,0.75,0.0,0.0,22.074523463495012,oracle,0.0,global,Oracle clairvoyant,33,3.6666666666666665,0,9,19,12,68.91095426424744,1.0,7.89813706531605,10.307905686546464,38.62010639350932,3.619126589275843,0.4074074074074074,1.5324059437945257,38.62010639350932,oracle_clairvoyant,0.5854148274305405,0.2564556323782846,0.07999999999999985,0.7438702702702702,0.45,37.1,nan,nan,nan,nan,21.32,nan,11.632988452814034,37,32,0.4253369272237197,0.4253369272237197,0.45,15,nan,5.172792233022294,3.729583200009074,nominal_flow,rho0.7,2028,nan,True,False,nan,11.333333333333334,3.333333333333333,1059.5771262477606,oracle_clairvoyant,abundance,198.2133363527034
511,10,1,0.37455752833973904,24.0,0.5428571428571428,0.6666666666666666,28.33552441944856,28.33552441944856,15.935735269097018,ours,0.0,local,Smith main raw,459,22.95,37,20,55,30,135.1389449221658,0.0,8.23599342550637,11.016366158113732,71.7145463179049,4.327325053014238,0.011511663132384126,1.270442792014186,57.05,smith_full,0.4942216993701559,0.24053210103804953,0.07999999999999974,0.7863351351351351,2.5,82.0,nan,nan,511816.91878334666,0.2089050013631799,58.0,nan,26.65625,33,19,0.5333333333333333,0.2926829268292683,2.5,15,nan,11.238079472950655,8.102655299997423,scarcity_priority,triage_forced,2026,4.204017445231638,True,False,nan,25.55,8.333333333333334,1211.1158804513734,smith_full,scarcity_priority,104.0207568322436
86,10,0,0.3330121023089956,19.0,0.5363636363636364,0.5652173913043478,27.27979311568681,27.27979311568681,21.464714317782565,classic,0.0,local,Classic greedy nearest,75,5.769230769230769,0,13,55,23,129.57341383404076,1.0,9.792546956885502,10.71622746185853,77.43554676254516,3.7757621951219513,0.15548780487804878,1.6203611640209827,76.40384615384616,classic_greedy_nearest,0.49856521470352455,0.20120417410332003,0.07999999999999985,0.7875891891891892,2.5,82.0,nan,nan,nan,nan,63.0,nan,49.6875,11,0,0.5352112676056338,0.23170731707317074,2.5,15,nan,8.653766019482957,6.239365300047211,scarcity_priority,triage_forced,2026,nan,True,False,nan,6.615384615384615,5.0,1266.4181447491715,classic_greedy_nearest,scarcity_priority,205.37460321893403
