experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,capacity_success_rate_valid,capacity_ratio_valid,labels_valid,message
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,greedy_capacity_nearest,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,hungarian_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,centralized_capacity_milp,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,cbba_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,replicator_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,bnn_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,smith_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,local_primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,imitation_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,neural_capacity_scorer,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v00,3100,capacity_oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,greedy_capacity_nearest,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,hungarian_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,centralized_capacity_milp,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,cbba_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,replicator_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,bnn_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,smith_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,local_primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,imitation_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,neural_capacity_scorer,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v01,3100,capacity_oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,greedy_capacity_nearest,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,hungarian_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,centralized_capacity_milp,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,cbba_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,replicator_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,bnn_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,smith_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,local_primal_dual_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,imitation_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,neural_capacity_scorer,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v02,3100,capacity_oracle_reference,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v03,3100,greedy_capacity_nearest,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v03,3100,hungarian_capacity,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v03,3100,centralized_capacity_milp,True,True,True,True,
SP2_MC_capacity_comparison,light_mixed,light_mixed_v03,3100,cbba_capacity,True,True,True,True,
