method,n,served_rate_mean,coverage_mean,regret_mean,regret_std,raw_served_rate_mean,convergence_rate,potential_gain_mean,messages_mean,runtime_s_mean
milp_exact,24,0.7777777777777777,0.8922864120738815,0.0,0.0,0.7777777777777777,1.0,,24.0,7.006252417340875e-05
erv_bnn__marginal_log,24,0.611111111111111,0.8979529208059819,0.21326558129536066,0.18380354309800997,0.5138888888888888,0.0,3.1554378401584224,39600.0,0.03679552500640663
smith__marginal_log,24,0.5972222222222222,0.893945980824817,0.22615434233667311,0.19374213555141562,0.5416666666666666,0.0,4.120910474400772,39600.0,0.03763875834799061
replicator__marginal_log,24,0.5833333333333334,0.9058176831377597,0.24047621112507722,0.224856031136443,0.5277777777777778,0.0,3.67126245219802,39600.0,0.03540486665830637
uniform_closure,24,0.5694444444444444,0.9127135292227959,0.2542031573756332,0.254963260496332,0.0,1.0,,24.0,0.0003749000024981797
greedy_capacity,24,0.5694444444444444,0.8097812419025551,0.27759337034586423,0.20076796209015407,0.5694444444444444,1.0,,24.0,0.0004997666886386772
erv_bnn__marginal_deficit,24,0.5277777777777778,0.8999890599082717,0.2917042497364993,0.2381947734392188,0.34722222222222215,0.0,0.5690413130095973,39600.0,0.03972586664409997
smith__marginal_deficit,24,0.5277777777777778,0.8995652721283339,0.2994703325286921,0.28878309636160787,0.3333333333333333,0.0,0.7480083533562135,39600.0,0.03881234166328795
random_closure,24,0.5555555555555555,0.8710674268260199,0.30564631842168744,0.27996794362363275,0.3194444444444444,1.0,,24.0,0.000483000020418937
auction_capacity,24,0.5,0.8994655121917314,0.32307724060650644,0.25536836108706934,0.5,1.0,,24.0,0.00023721667821519077
replicator__plain_deficit,24,0.4861111111111111,0.8578923870761255,0.33344627055485815,0.27052758844333347,0.3611111111111111,0.0,,39600.0,0.032091591672118135
erv_bnn__plain_deficit,24,0.47222222222222215,0.8674882480546647,0.3509331771045658,0.2617784812181138,0.375,0.0,,39600.0,0.033381616696715355
smith__plain_deficit,24,0.4583333333333333,0.8585819520890302,0.35915064982746747,0.25207534306036067,0.40277777777777773,0.0,,39600.0,0.0345745249845398
replicator__marginal_deficit,24,0.4583333333333333,0.9089565304675268,0.36925998989309283,0.27734559026441885,0.3611111111111111,0.0,0.520541025306202,39600.0,0.036369379134460665
