graph_regime,method,n,rate,rate_low,rate_high,gap_median,bytes_per_agent,messages_per_agent,rounds,lambda_2,mean_degree,diameter
complete,capacity_cbba_rb,300,0.54,0.4834517097991302,0.5955368525029061,0.41172218146415585,16905.0,75.0,21.0,15.999999999999972,15.0,1.0
complete,weighted_grape,300,0.9933333333333333,0.9760224167496929,0.998169851642088,0.309564055236335,40865.625,974.0625,241.0,15.999999999999972,15.0,1.0
complete,weighted_pair_grape,300,1.0,0.9873570287754538,0.9999999999999998,0.10492751826863275,54174.375,1290.9375,337.0,15.999999999999972,15.0,1.0
dense,capacity_cbba_rb,300,0.61,0.553748567961591,0.6634699783690088,0.3680450489442989,12184.0,65.46875,23.0,4.064011878155515,10.5,2.0
dense,weighted_grape,300,0.9933333333333333,0.9760224167496929,0.998169851642088,0.309564055236335,30647.25,730.46875,241.0,4.064011878155515,10.5,2.0
dense,weighted_pair_grape,300,1.0,0.9873570287754538,0.9999999999999998,0.11879202684157765,39965.0625,952.25,337.0,4.064011878155515,10.5,2.0
medium,capacity_cbba_rb,300,0.6133333333333333,0.5571245198072374,0.6666764067151987,0.3681727256443107,8823.46875,55.65625,25.0,1.3668653587181878,7.375,3.0
medium,weighted_grape,300,0.9933333333333333,0.9760224167496929,0.998169851642088,0.309564055236335,23008.875,548.375,241.0,1.3668653587181878,7.375,3.0
medium,weighted_pair_grape,300,1.0,0.9873570287754538,0.9999999999999998,0.14762832378399915,30065.8125,716.46875,337.0,1.3668653587181878,7.375,3.0
threshold,capacity_cbba_rb,300,0.6666666666666666,0.6115124568840807,0.7176065527077372,0.3758192556443674,5959.15625,45.1875,29.0,0.20708218613215246,4.75,6.0
threshold,weighted_grape,300,0.9933333333333333,0.9760224167496929,0.998169851642088,0.309564055236335,16387.875,390.5,241.0,0.20708218613215246,4.75,6.0
threshold,weighted_pair_grape,300,0.9966666666666667,0.9813633063054688,0.9994113422781488,0.1889749833390142,19583.0625,466.59375,321.0,0.20708218613215246,4.75,6.0
partitioned,capacity_cbba_rb,300,0.13333333333333333,0.09946641683411198,0.1764717620638884,0.4620770227264168,3252.75,26.875,25.0,4.963665634457269e-16,3.875,-1.0
partitioned,weighted_grape,300,0.22,0.1768274459698328,0.27025261791591293,0.4547755766410634,10549.875,251.46875,225.0,4.963665634457269e-16,3.875,-1.0
partitioned,weighted_pair_grape,300,0.28,0.23221902212795326,0.33334388521084696,0.3727827936803207,12612.0,300.65625,273.0,4.963665634457269e-16,3.875,-1.0
