method,n_robots,n_loads,served_load_rate_n,served_load_rate_mean,served_load_rate_median,served_load_rate_p05,served_load_rate_p95,welfare_per_load_n,welfare_per_load_mean,welfare_per_load_median,welfare_per_load_p05,welfare_per_load_p95,runtime_total_ms_n,runtime_total_ms_mean,runtime_total_ms_median,runtime_total_ms_p05,runtime_total_ms_p95,messages_n,messages_mean,messages_median,messages_p05,messages_p95,bytes_n,bytes_mean,bytes_median,bytes_p05,bytes_p95
capacity_cbba_scalar,12,3,300,0.3044444444444444,0.0,0.0,1.0,300,0.4603793239533318,0.0,0.0,1.7135341656086474,300,71.49096800557648,55.48774998169392,18.55562493437901,173.46073501394133,300,746.32,648.0,312.0,1548.0,300,29852.8,25920.0,12480.0,61920.0
capacity_cbba_scalar,32,8,300,0.33791666666666664,0.125,0.0,1.0,300,0.5454906643300852,0.2868027756075847,0.0,1.7377358456536067,300,550.9347519980898,377.590499992948,146.14884488401003,1510.5371400946751,300,8409.293333333333,7070.0,4947.5,17715.000000000004,300,336371.73333333334,282800.0,197900.0,708600.0000000001
capacity_cbba_scalar,64,16,300,0.34229166666666666,0.1875,0.0,1.0,300,0.5616791935602675,0.2637381785285483,0.0,1.7505122862221816,300,2556.681971663687,2256.712950009387,439.3067099910695,6464.048324903708,300,38351.55333333334,31640.0,22271.2,79645.6,300,1534062.1333333333,1265600.0,890848.0,3185824.0
pair_role_grape_s_physical,12,3,300,0.3055555555555555,0.0,0.0,1.0,300,0.469347062132688,0.0,0.0,1.7346303392723221,300,126.27798133762553,117.57885001134127,41.636805003508925,236.68483984656638,300,462.3666666666667,544.0,139.8,640.0,300,22193.6,26112.0,6710.400000000001,30720.0
pair_role_grape_s_physical,32,8,300,0.33708333333333335,0.125,0.0,1.0,300,0.5449722022246807,0.29996095823751867,0.0,1.7542634920802227,300,917.5119693247447,775.9807000402361,380.10943994740956,1977.2171298449393,300,1464.88,1584.0,608.0,1904.0,300,70314.24,76032.0,29184.0,91392.0
pair_role_grape_s_physical,64,16,300,0.34291666666666665,0.1875,0.0,1.0,300,0.564064469835966,0.2647534628535127,0.0,1.7519336235510568,300,4016.060478326399,3831.530150026083,1908.0217299226206,7768.156234984056,300,2906.1866666666665,3120.0,1232.0,3760.8,300,139496.96,149760.0,59136.0,180518.40000000002
physical_cbba_marginal,12,3,300,0.30666666666666664,0.0,0.0,1.0,300,0.46358342825602944,0.0,0.0,1.71821022434734,300,67.43098700069822,55.89770001824945,3.8300249609164894,174.5259248942603,300,1228.0266666666666,1120.0,720.0,2112.0,300,49121.066666666666,44800.0,28800.0,84480.0
physical_cbba_marginal,32,8,300,0.33875,0.125,0.0,1.0,300,0.5444892410363472,0.29622141611413016,0.0,1.7348907807083547,300,566.6906253310541,369.7387999854982,22.619254974415526,1667.0200699241832,300,14926.54,12384.0,9125.7,31863.0,300,597061.6,495360.0,365028.0,1274520.0
physical_cbba_marginal,64,16,300,0.34270833333333334,0.1875,0.0,1.0,300,0.5601887548312635,0.2632963464553001,0.0,1.7502342187488793,300,2391.9472043336523,2098.000700061675,118.11194511246867,6057.578829937847,300,71719.73333333334,56448.0,45350.1,157290.40000000002,300,2868789.3333333335,2257920.0,1814004.0,6291616.0
weighted_grape_scalar,12,3,300,0.30333333333333334,0.0,0.0,1.0,300,0.46869393319663477,0.0,0.0,1.7601161091012116,300,111.645194007239,99.65345007367432,34.31900501600467,231.1188999854494,300,319.02666666666664,304.0,52.0,624.0,300,15313.28,14592.0,2496.0,29952.0
weighted_grape_scalar,32,8,300,0.33958333333333335,0.125,0.0,1.0,300,0.5516888954971743,0.3014346853508707,0.0,1.7637747172523106,300,941.3876666636983,821.0965498583391,411.005775060039,1883.362440002384,300,1449.8733333333332,1568.0,592.0,1904.0,300,69593.92,75264.0,28416.0,91392.0
weighted_grape_scalar,64,16,300,0.34270833333333334,0.1875,0.0,1.0,300,0.5638105411263143,0.2653269865875237,0.0,1.7558573711287833,300,4393.743468668545,4165.423900005408,1859.5297649269924,8405.554629932158,300,2906.1866666666665,3120.0,1232.0,3760.8,300,139496.96,149760.0,59136.0,180518.40000000002
