method,n_robots,n_loads,optimality_gap_vs_certified_milp_n,optimality_gap_vs_certified_milp_mean,optimality_gap_vs_certified_milp_median,optimality_gap_vs_certified_milp_p05,optimality_gap_vs_certified_milp_p95
capacity_cbba_scalar,12,3,118,0.05007545566294642,0.01843039563662656,0.0,0.1330304037892175
capacity_cbba_scalar,32,8,197,0.04383350973249587,0.011738430357574067,0.0,0.09877948401778809
pair_role_grape_s_physical,12,3,118,0.035653759509314945,0.006570352973821611,0.0,0.09100254873354036
pair_role_grape_s_physical,32,8,197,0.03857422481769599,0.007223747100816962,0.0,0.09132760893570904
physical_cbba_marginal,12,3,118,0.04847080711978368,0.019275646152525895,0.0,0.15967988084408352
physical_cbba_marginal,32,8,197,0.04584139244286414,0.014699361439934742,0.0,0.12143537122157451
weighted_grape_scalar,12,3,118,0.033578088716616133,0.002374818113100555,0.0,0.10528210092998179
weighted_grape_scalar,32,8,197,0.03660979753184067,0.006820261644528716,0.0,0.09070943976446659
