method,served_load_rate,welfare_per_load,runtime_total_ms,bytes,n_worlds
physical_cbba_marginal,0.125,0.2556894880841783,245.56435004342347,495360.0,900
capacity_cbba_scalar,0.125,0.260527858201689,346.55310004018247,282800.0,900
pair_role_grape_s_physical,0.125,0.2612169086588604,775.9807000402361,73728.0,900
weighted_grape_scalar,0.125,0.26212059098752427,821.0965498583391,73728.0,900
