scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,ranking_rule,demand_satisfaction_ratio_mean,coalition_success_rate_mean,served_load_rate_mean,optimality_gap_vs_oracle_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
ALL_SCENARIOS,1,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,23.48319520998971,10.26086029237824,117.41597604994857,15.0,0.06212497828528285
ALL_SCENARIOS,2,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_binary_quorum_capacity_milp,centralized_oracle_reference,none,centralized_exact_binary_milp,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,23.48319520998971,10.26086029237824,117.41597604994857,15.0,1.478474965551868
ALL_SCENARIOS,3,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,23.48319520998971,10.26086029237824,117.41597604994857,15.0,2.18904999201186
ALL_SCENARIOS,4,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.01002672138171516,0.0,0.0,24.338967985314873,11.48171861254394,121.69483992657436,5.5,0.2898000238928944
ALL_SCENARIOS,5,primal_dual_local_repair,Primal-dual local repair,model_based,decentralized_local,proposed,primal_dual_with_certified_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_primal_dual_plus_certified_local_repair,local_deficit_capacity_prices_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.014641580549044653,0.0,0.0,24.732842581707096,10.221930691771961,123.66421290853546,5.5,6.652850017417222
ALL_SCENARIOS,6,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.067249196779097,0.0,0.0,27.31849432489142,13.353718065386772,136.59247162445712,5.5,0.0838999985717237
ALL_SCENARIOS,7,smith_cardinality,Smith cardinality,model_based,decentralized,proposed,smith_qr_cardinality,proposed_model_based_variation,model_based_tuning_optional,distributed_smith_qr_rule,local_capacity_scores,0,0,3,0,0,0,0,False,False,,none,4,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.861111111111111,0.7916666666666666,0.7916666666666666,0.6255671068868914,1.0,3.0,33.28205640691809,11.690385495149492,166.41028203459047,5.5,0.08544998127035797
monte_carlo,1,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,2,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,41.07295949171742,14.872363565004532,205.36479745858713,26.0,0.06169994594529271
monte_carlo,2,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_binary_quorum_capacity_milp,centralized_oracle_reference,none,centralized_exact_binary_milp,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,False,False,,none,2,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,41.07295949171742,14.872363565004532,205.36479745858713,26.0,1.4463499537669122
monte_carlo,3,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,2,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,41.07295949171742,14.872363565004532,205.36479745858713,26.0,1.7054000054486096
monte_carlo,4,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,2,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.02005344276343032,0.0,0.0,42.78450504236774,17.314080205335934,213.92252521183872,7.0,0.42369996663182974
