experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n_robots,n_loads,demand_ratio,rho,heterogeneous_robots,communication_radius,assigned_robots,assignment_cost,captured_reward,centralized_or_distributed,closure,coalition_success_rate,coalition_time,communication_messages,communication_model,decoder,demand_satisfaction_ratio,energy_proxy_wh,estimated_arrival_time_s,failure_rate,fully_served_load_fraction,idle_robots,information_scope,max_assigned_travel_distance_m,mean_assigned_travel_distance_m,messages_to_close_quorums,method_file_tag,method_title,number_of_parameters,optimality_gap_vs_oracle,oracle_access,oracle_reward,oracle_runtime_ms,priority_regret,regret_vs_coalition_oracle,repair,robot_demand_satisfaction_ratio,robots_in_incomplete_coalitions,robots_overallocated,robots_overassigned,robots_underassigned,runtime_ms,served_load_rate,strategy_switches,time_to_close_quorums_s,timeout_rate,training_required,travel_distance_m,unmet_quorum
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_binary_quorum_capacity_milp,centralized_oracle_reference,none,centralized_exact_binary_milp,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,centralized,none,1.0,1.0,4,centralized_all_robot_load_pairs,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,global,3.8046052511009494,3.2743483839173155,4,reference-model-based-oracle-centralized-centralized-coalition-milp,Centralized coalition oracle [reference | model_based_oracle | centralized | exact_binary_quorum_capacity_milp],0,0.0,True,1.7,3.804299980401993,0.0,0.0,none,1.0,0,0,0,0,1.5745999990031123,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,centralized,none,1.0,1.0,4,centralized_all_robot_load_pairs,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,global,3.8046052511009494,3.2743483839173155,4,baseline-classic-centralized-hungarian-expanded,Hungarian expanded [baseline | classic | centralized | hungarian_expanded],0,0.0,False,1.7,3.804299980401993,0.0,0.0,none,1.0,0,0,0,0,0.06700004450976849,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,decentralized,none,1.0,1.0,4,local_robot_load_distances,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,local,3.8046052511009494,3.2743483839173155,4,baseline-classic-decentralized-greedy-nearest,Greedy nearest [baseline | classic | decentralized | nearest_greedy],0,0.0,False,1.7,3.804299980401993,0.0,0.0,none,1.0,0,0,0,0,0.089899986051023,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,decentralized,none,1.0,1.0,4,auction_bids,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,local,3.8046052511009494,3.2743483839173155,4,baseline-sota-decentralized-cbba,CBBA-like auction [baseline | sota | decentralized | cbba_like_auction],0,0.0,False,1.7,3.804299980401993,0.0,0.0,none,1.0,0,0,0,0,0.16590009909123182,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,smith_cardinality,Smith cardinality,model_based,decentralized,proposed,smith_qr_cardinality,proposed_model_based_variation,model_based_tuning_optional,distributed_smith_qr_rule,local_capacity_scores,0,0,3,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,4,17.961798892800527,1.7,decentralized,none,1.0,1.0,4,local_capacity_scores,none,1.0,89.80899446400264,11.346284924805898,0.0,1.0,0,local,7.375085201123834,4.490449723200132,4,proposed-model-based-decentralized-smith-cardinality,Smith cardinality [proposed | model_based | decentralized | smith_qr_cardinality],0,0.41575811641586774,False,1.7,3.804299980401993,0.0,0.0,none,1.0,0,2,2,0,0.06440002471208572,1.0,0,1.0,0.0,False,17.961798892800527,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,primal_dual_local_repair,Primal-dual local repair,model_based,decentralized_local,proposed,primal_dual_with_certified_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_primal_dual_plus_certified_local_repair,local_deficit_capacity_prices_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,decentralized_local,allocator_internal,1.0,1.0,4,local_deficit_capacity_prices_plus_small_repair_neighborhood,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,local_radius_limited,3.8046052511009494,3.2743483839173155,4,proposed-model-based-decentralized-local-primal-dual-local-repair,Primal-dual local repair [proposed | model_based | decentralized_local | primal_dual_with_certified_local_repair],0,0.0,False,1.7,3.804299980401993,0.0,0.0,local_repair,1.0,0,0,0,0,0.5492999916896224,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910001,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,6.548696767834631,1.7,centralized,none,1.0,1.0,4,centralized_all_robot_load_pairs,none,1.0,32.74348383917315,5.8532388478476145,0.0,1.0,2,global,3.8046052511009494,3.2743483839173155,4,reference-model-based-oracle-centralized-oracle-reference,oracle reference [reference | model_based_oracle | centralized | exact_capacity_feasible_reference],0,0.0,True,1.7,3.804299980401993,0.0,0.0,none,1.0,0,0,0,0,3.804299980401993,1.0,0,1.0,0.0,False,6.548696767834631,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910002,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_binary_quorum_capacity_milp,centralized_oracle_reference,none,centralized_exact_binary_milp,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,5.2381650886893745,1.7,centralized,none,1.0,1.0,4,centralized_all_robot_load_pairs,none,1.0,26.190825443446876,5.445475191656281,0.0,1.0,2,global,3.5395588745765827,2.6190825443446872,4,reference-model-based-oracle-centralized-centralized-coalition-milp,Centralized coalition oracle [reference | model_based_oracle | centralized | exact_binary_quorum_capacity_milp],0,0.0,True,1.7,1.541099976748228,0.0,0.0,none,1.0,0,0,0,0,1.4465999556705356,1.0,0,1.0,0.0,False,5.2381650886893745,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910002,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,5.2381650886893745,1.7,centralized,none,1.0,1.0,4,centralized_all_robot_load_pairs,none,1.0,26.190825443446876,5.445475191656281,0.0,1.0,2,global,3.5395588745765827,2.6190825443446872,4,baseline-classic-centralized-hungarian-expanded,Hungarian expanded [baseline | classic | centralized | hungarian_expanded],0,0.0,False,1.7,1.541099976748228,0.0,0.0,none,1.0,0,0,0,0,0.05809997674077749,1.0,0,1.0,0.0,False,5.2381650886893745,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910002,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,5.2381650886893745,1.7,decentralized,none,1.0,1.0,4,local_robot_load_distances,none,1.0,26.190825443446876,5.445475191656281,0.0,1.0,2,local,3.5395588745765827,2.6190825443446872,4,baseline-classic-decentralized-greedy-nearest,Greedy nearest [baseline | classic | decentralized | nearest_greedy],0,0.0,False,1.7,1.541099976748228,0.0,0.0,none,1.0,0,0,0,0,0.06450002547353506,1.0,0,1.0,0.0,False,5.2381650886893745,0
SP1_PROTOCOL_v1_DRY_RUN,setup,setup_v00,910002,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,4,1,0.5,2.0,False,inf,2,5.2381650886893745,1.7,decentralized,none,1.0,1.0,4,auction_bids,none,1.0,26.190825443446876,5.445475191656281,0.0,1.0,2,local,3.5395588745765827,2.6190825443446872,4,baseline-sota-decentralized-cbba,CBBA-like auction [baseline | sota | decentralized | cbba_like_auction],0,0.0,False,1.7,1.541099976748228,0.0,0.0,none,1.0,0,0,0,0,0.14590006321668625,1.0,0,1.0,0.0,False,5.2381650886893745,0
