experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,shape_valid,speed_valid,hard_clearance_valid,safety_margin_valid,target_consistency_valid,message
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,classic_centralized_shortest_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,sota_centralized_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,ours_primal_dual_wrench_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,ours_hamiltonian_cargo,True,True,True,True,True,True,False,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6200,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,False,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,classic_centralized_shortest_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,sota_centralized_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,ours_primal_dual_wrench_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6201,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,classic_centralized_shortest_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,sota_centralized_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,ours_primal_dual_wrench_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,ours_hamiltonian_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6202,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,classic_centralized_shortest_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,classic_decentralized_apf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,sota_centralized_cbf_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,sota_decentralized_vo_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,sota_centralized_cbf_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,sota_decentralized_vo_cargo,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,ours_primal_dual_wrench_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,ours_tensor_game_push,True,True,True,True,True,True,True,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,ours_hamiltonian_cargo,True,True,True,True,True,True,False,True,
SP5_MC_cooperative_transport_high_power,formation_corridor_push,formation_corridor_push_v00,6203,reference_centralized_mpc_cbf_cargo,True,True,True,True,True,True,True,True,
