world_hash,regime,seed,event_type,n_robots,n_loads,n_slots,method,method_family,method_label,information_scope,network_case,communication_radius_m,gossip_rounds,load_id,decision,required_roles,assigned_claims,unmet_roles,duplicate_slots,load_value
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__sparse,local_gossip,Gossip local,neighbors,sparse,3.0,2,0,wait,2,5,0,2,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__sparse,local_gossip,Gossip local,neighbors,sparse,3.0,2,1,wait,3,2,1,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__sparse,local_no_gossip,Sin gossip,neighbors,sparse,3.0,0,0,wait,2,7,0,1,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__sparse,local_no_gossip,Sin gossip,neighbors,sparse,3.0,0,1,idle,3,0,3,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__sparse,local_no_switch_penalty,Sin coste de cambio,neighbors,sparse,3.0,2,0,wait,2,5,0,2,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__sparse,local_no_switch_penalty,Sin coste de cambio,neighbors,sparse,3.0,2,1,wait,3,2,1,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__nominal,local_gossip,Gossip local,neighbors,nominal,5.0,4,0,wait,2,3,0,1,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__nominal,local_gossip,Gossip local,neighbors,nominal,5.0,4,1,start,3,3,0,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__nominal,local_no_gossip,Sin gossip,neighbors,nominal,5.0,0,0,wait,2,7,0,1,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__nominal,local_no_gossip,Sin gossip,neighbors,nominal,5.0,0,1,idle,3,0,3,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__nominal,local_no_switch_penalty,Sin coste de cambio,neighbors,nominal,5.0,4,0,wait,2,3,0,1,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__nominal,local_no_switch_penalty,Sin coste de cambio,neighbors,nominal,5.0,4,1,start,3,3,0,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__dense,local_gossip,Gossip local,neighbors,dense,15.0,1,0,start,2,2,0,0,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__dense,local_gossip,Gossip local,neighbors,dense,15.0,1,1,start,3,3,0,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__dense,local_no_gossip,Sin gossip,neighbors,dense,15.0,0,0,wait,2,7,0,1,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__dense,local_no_gossip,Sin gossip,neighbors,dense,15.0,0,1,idle,3,0,3,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__dense,local_no_switch_penalty,Sin coste de cambio,neighbors,dense,15.0,1,0,start,2,2,0,0,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__dense,local_no_switch_penalty,Sin coste de cambio,neighbors,dense,15.0,1,1,start,3,3,0,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,global_greedy,global_greedy,Greedy global,global,global,0.0,0,0,start,2,2,0,0,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,global_greedy,global_greedy,Greedy global,global,global,0.0,0,1,start,3,3,0,0,2.631253371844147
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,central_milp,central_milp,Oráculo MILP,global_oracle,global,0.0,0,0,start,2,2,0,0,3.7183924729189006
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,central_milp,central_milp,Oráculo MILP,global_oracle,global,0.0,0,1,start,3,3,0,0,2.631253371844147
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_gossip__sparse,local_gossip,Gossip local,neighbors,sparse,3.0,2,0,start,3,3,0,0,3.099292351738576
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_gossip__sparse,local_gossip,Gossip local,neighbors,sparse,3.0,2,1,wait,2,4,0,1,4.232686276677427
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_no_gossip__sparse,local_no_gossip,Sin gossip,neighbors,sparse,3.0,0,0,idle,3,0,3,0,3.099292351738576
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_no_gossip__sparse,local_no_gossip,Sin gossip,neighbors,sparse,3.0,0,1,wait,2,8,1,1,4.232686276677427
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_no_switch_penalty__sparse,local_no_switch_penalty,Sin coste de cambio,neighbors,sparse,3.0,2,0,start,3,3,0,0,3.099292351738576
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,local_no_switch_penalty__sparse,local_no_switch_penalty,Sin coste de cambio,neighbors,sparse,3.0,2,1,wait,2,4,0,1,4.232686276677427
