world_hash,regime,seed,event_type,n_robots,n_loads,n_slots,method,method_family,method_label,information_scope,network_case,communication_radius_m,gossip_rounds,started_loads,waiting_loads,idle_loads,assigned_robots,unmet_roles,duplicate_slots,overrecruitment,invalid_assignments,switches,abandonments,joins,failed_departures,assignment_cost,social_value,oracle_social_value,optimality_gap,messages,bytes_sent,mean_view_coverage,min_view_coverage,network_components,runtime_ms,solver_status,solver_gap,assignment_signature,status
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__sparse,local_gossip,Gossip local,neighbors,sparse,3.0,2,0,2,0,7,1,2,3,0,0,0,6,1,1.7126624628118772,-1.7126624628118772,5.508191224871373,1.3109301026221856,20,3840,0.42857142857142855,0.14285714285714285,3,1.1596000113058835,-1,0.0,-1;0;0;0;4;2;1;1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__sparse,local_no_gossip,Sin gossip,neighbors,sparse,3.0,0,0,1,1,7,3,1,5,0,0,0,6,1,2.0292851789257424,-2.0292851789257424,5.508191224871373,1.3684122602285163,0,0,0.14285714285714282,0.14285714285714285,3,0.23200002033263445,-1,0.0,-1;0;0;0;0;1;0;0,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__sparse,local_no_switch_penalty,Sin coste de cambio,neighbors,sparse,3.0,2,0,2,0,7,1,2,3,0,0,0,6,1,1.7126624628118772,-1.7126624628118772,5.508191224871373,1.3109301026221856,20,3840,0.42857142857142855,0.14285714285714285,3,0.42929998016916215,-1,0.0,-1;0;0;0;4;2;1;1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__nominal,local_gossip,Gossip local,neighbors,nominal,5.0,4,1,1,0,6,0,1,1,0,0,0,5,1,1.312654800534192,1.318598571309955,5.508191224871373,0.7606113300213634,72,27504,0.7551020408163265,0.14285714285714285,2,1.4319999900180846,-1,0.0,-1;0;0;1;4;3;2;-1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__nominal,local_no_gossip,Sin gossip,neighbors,nominal,5.0,0,0,1,1,7,3,1,5,0,0,0,6,1,2.0292851789257424,-2.0292851789257424,5.508191224871373,1.3684122602285163,0,0,0.14285714285714282,0.14285714285714285,2,0.42699999175965786,-1,0.0,-1;0;0;0;0;1;0;0,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__nominal,local_no_switch_penalty,Sin coste de cambio,neighbors,nominal,5.0,4,1,1,0,6,0,1,1,0,0,0,5,1,1.312654800534192,1.318598571309955,5.508191224871373,0.7606113300213634,72,27504,0.7551020408163265,0.14285714285714285,2,2.7430999907664955,-1,0.0,-1;0;0;1;4;3;2;-1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_gossip__dense,local_gossip,Gossip local,neighbors,dense,15.0,1,2,0,0,5,0,0,0,0,0,0,4,1,0.9138083661888491,5.435837478574198,5.508191224871373,0.013135663477054473,42,4656,1.0,1.0,1,1.8137000151909888,-1,0.0,-1;0;-1;1;4;3;2;-1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_gossip__dense,local_no_gossip,Sin gossip,neighbors,dense,15.0,0,0,1,1,7,3,1,5,0,0,0,6,1,2.0292851789257424,-2.0292851789257424,5.508191224871373,1.3684122602285163,0,0,0.14285714285714282,0.14285714285714285,1,0.34830000367946923,-1,0.0,-1;0;0;0;0;1;0;0,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,local_no_switch_penalty__dense,local_no_switch_penalty,Sin coste de cambio,neighbors,dense,15.0,1,2,0,0,5,0,0,0,0,0,0,4,1,0.9138083661888491,5.435837478574198,5.508191224871373,0.013135663477054473,42,4656,1.0,1.0,1,1.292100001592189,-1,0.0,-1;0;-1;1;4;3;2;-1,completed
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,global_greedy,global_greedy,Greedy global,global,global,0.0,0,2,0,0,5,0,0,0,0,0,0,4,1,0.9138083661888491,5.435837478574198,5.508191224871373,0.013135663477054473,0,0,1.0,1.0,1,0.10349997319281101,-1,0.0,-1;0;-1;1;4;3;2;-1,completed
