world_hash,regime,seed,event_type,n_robots,n_loads,n_slots,active_robots,previously_assigned,oracle_started_loads,oracle_social_value,oracle_status,oracle_mip_gap
5f621ae2ce20b4acb970001704c6947eb46320061d94770aa586c34f75738d0a,abundant,9200,robot_failure,8,2,5,7,2,2,5.508191224871373,0,0.0
56c7286faed3e1637446a6002370a1addce94d1940c1f90b458f5b5db98dfa9d,abundant,9201,priority_change,8,2,5,8,3,2,6.6773009024787005,0,0.0
2b7e7464e07953e2c669a51defaf8828322c26af7ddf6168374762f0107b1b7d,abundant,9202,robot_failure,8,2,5,7,2,2,4.769418874286474,0,0.0
5a5fae1d796fb8cc4eb6f984faefc7bd19300362d32e2b2b9c1444ab054fa546,abundant,9203,priority_change,8,2,5,8,3,2,7.517645166605225,0,0.0
f16ac6a5d132d9b11223d553e0e625acfc3f593e1b2ceb7312965d5b93dbdb25,abundant,9204,robot_failure,8,2,5,7,2,2,5.333002348210813,0,0.0
72b7c072c49ccdb3ea57090ce08e54ce8fb98e52245ae1f5e8ddf14400bbb63a,abundant,9205,priority_change,8,2,5,8,3,2,7.36291116090948,0,0.0
98393b4293c66d3d93dd23a6c1eb8f645ed7d009e2353820744287ebcf9e1c42,abundant,9206,robot_failure,8,2,5,7,2,2,5.071067653490783,0,0.0
f7d3694ca987ed7848d1e31994d6d00d897e5fc9e0f9150756636e391e1a84f4,abundant,9207,priority_change,8,2,5,8,3,2,8.51909225595875,0,0.0
73913e12041e11e799a71620ca161509c36be40e0e56a3943058099cdafead1a,abundant,9208,robot_failure,8,2,5,7,2,2,4.523271266391748,0,0.0
54f3e2b9244826e4c890722cba4ca68681be81300f6d7ed2f9eebf6967403207,abundant,9209,priority_change,8,2,5,8,3,2,9.106056402982407,0,0.0
bfba26257bcfed7f7c5168b8db5beeaee4d7721ce620e51f515c302309ce1846,abundant,9210,robot_failure,8,2,5,7,2,2,5.416079889294953,0,0.0
9b5798dbd37ae5751f5b78b8aa58048c5435b920c7dd106f325d3cabcac18b91,abundant,9211,priority_change,8,2,5,8,3,2,7.165684173315537,0,0.0
91f52d3e89d8079e2f30ca794e448a080b9dc1ee92955f1077c6ea55725ac764,abundant,9212,robot_failure,8,2,5,7,2,2,4.916652181362114,0,0.0
47e26886a9a03590a53df56f78f14e3b1f2dddb3e83700fca593d17e8bbc86ca,abundant,9213,priority_change,8,2,5,8,3,2,7.542683982943361,0,0.0
815ed08d61d9912a0b2fe0fc4adebf022b63b69db4afc0b76851956b686de419,abundant,9214,robot_failure,8,2,5,7,2,2,4.11626245753758,0,0.0
85146d2d232d3749f116e1628d2eb7a8d919c618f2093899a5747ac6f34a5620,abundant,9215,priority_change,8,2,5,8,3,2,7.467083756349772,0,0.0
9a016db0312a19f64e3cc440b5af5706c31f6e99803cbe6a3ce589a45d5b8849,abundant,9216,robot_failure,8,2,5,7,2,2,4.2629182137949515,0,0.0
cd23d9c2e175fe2b1f1587ce88702c964f23b0bca2d1ae9cedc56ac0ed8961b1,abundant,9217,priority_change,8,2,5,8,3,2,7.906506788695693,0,0.0
96ca94b00f5ace3c15aa5cebe7a9ed8153e763dc3c90fd44af6454073ba31aab,abundant,9218,robot_failure,8,2,5,7,2,2,5.413306698851055,0,0.0
98ce9b298394981d0dc8edca83a11f1a96e2cfa852b3214a389a5666d75e84c6,abundant,9219,priority_change,8,2,5,8,3,2,8.40927997166157,0,0.0
f818344a24e0f8a30840be33e15802bd2e0861e3e0d2940087b273617a9bd174,abundant,9220,robot_failure,8,2,5,7,2,2,4.682711584078503,0,0.0
b9788a4ee517f27c3c2a1bd97c8f47075af358055518a54dec71970e00ba5397,abundant,9221,priority_change,8,2,5,8,3,2,5.877933175323881,0,0.0
a66dd3c5d13a86967ed40243d3983d5f78201ed1b1cff310c6dd633df1dab734,abundant,9222,robot_failure,8,2,5,7,2,2,4.95584859873662,0,0.0
c59362c141b800f6c6c2de43b5ed7c5c3bc93a7468f2678e85367daf21e864f8,abundant,9223,priority_change,8,2,5,8,3,2,7.638549484839151,0,0.0
018311c9301a2d53d6e315102cf16314de4a76c02a131c33411f03197b3f274d,abundant,9224,robot_failure,8,2,5,7,2,2,6.022642719913003,0,0.0
9e62847372068711374c7cbbe6ea683acbe86584f8781dedd18a01f507f445ef,abundant,9225,priority_change,8,2,5,8,3,2,7.1466923213629885,0,0.0
b29d9dcf8d09e5e3189cf07eae2c208f12031b5f14ef887e900d8f2c3790de70,abundant,9226,robot_failure,8,2,5,7,2,2,4.8760706480800025,0,0.0
3f0299e9c6dadbdc0f332724cc629185e15ec88410518828af540dfe928f366f,abundant,9227,priority_change,8,2,5,8,3,2,5.847740379414598,0,0.0
b93a041a788909f406535d8e35428cc2b1335766f52e8030d7fa5e2f3380ff1e,abundant,9228,robot_failure,8,2,5,7,2,2,4.540831939773039,0,0.0
e40787c5960be356793887203a638fd15c5051d263afa6a0052852e894838111,abundant,9229,priority_change,8,2,5,8,3,2,5.934845086052681,0,0.0
7525a1d8a309c038cf35ad660821c3e8b374bf3244797487cdb3d85857a6ebc8,abundant,9200,robot_failure,8,3,7,7,2,3,8.651327350394046,0,0.0
bbd8c955a058e3ecc65329c9716ce20121137f7383bcdff7a6ca95df4c1642aa,abundant,9201,priority_change,8,3,8,8,3,3,8.04502734697685,0,0.0
68955088c56bcdc58abb243575b6763b03191d7dcd2cadbfa6aa36ceadf17dd1,abundant,9202,robot_failure,8,3,7,7,2,3,7.547339651435758,0,0.0
8622efe30c62a24c97bd96f5f5b71a6752f955d63a419cee548dce2937ba6a45,abundant,9203,priority_change,8,3,8,8,3,3,8.759102220015462,0,0.0
