method,label,n,safe_docking_success,safe_docking_success_ci_low,safe_docking_success_ci_high,arrival_success,arrival_success_ci_low,arrival_success_ci_high,any_collision,any_collision_ci_low,any_collision_ci_high,timeout,timeout_ci_low,timeout_ci_high,docking_time_s,docking_time_s_ci_low,docking_time_s_ci_high,time_to_wrench_feasible_s,time_to_wrench_feasible_s_ci_low,time_to_wrench_feasible_s_ci_high,min_clearance_m,min_clearance_m_ci_low,min_clearance_m_ci_high,energy_wh,energy_wh_ci_low,energy_wh_ci_high,guard_intervention_norm,guard_intervention_norm_ci_low,guard_intervention_norm_ci_high,exec_barrier_violations,exec_barrier_violations_ci_low,exec_barrier_violations_ci_high,final_kkt_residual,final_kkt_residual_ci_low,final_kkt_residual_ci_high,messages,messages_ci_low,messages_ci_high,runtime_s,runtime_s_ci_low,runtime_s_ci_high
direct_to_slot,Directo al contacto,12,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,19.30666666666667,15.273333333333333,22.0,19.30666666666667,15.273333333333332,22.0,-0.025086280480917433,-0.07346444504744362,0.035374063827292794,0.015134229575305365,0.0127544662803378,0.01788660320782103,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.012530783365946263,0.009634929173140943,0.016036954439186953
apf_navigation,APF,12,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.8333333333333334,0.5833333333333334,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.25777294503221,0.1482402250399964,0.3681377415348735,0.04245040362602765,0.033388593011846594,0.051755755724304096,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.10040375830916067,0.08414141496177763,0.11684628470635892
rvo_proxy,RVO proxy,12,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,0.8333333333333334,0.5833333333333334,1.0,0.0,0.0,0.0,19.30666666666667,15.273333333333332,22.0,19.30666666666667,15.273333333333332,22.0,-0.025809848844149597,-0.07414594058425557,0.03222233856888925,0.015599876323077064,0.013015489737852947,0.018687504393081047,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.014119999968291571,0.01120471160732753,0.017730157473609627
cbf_qp,CBF-QP,12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.5,0.25,0.75,22.0,22.0,22.0,22.0,22.0,22.0,0.05865682212168647,0.00430880172536121,0.12965598916482762,0.03613794363585617,0.030836086679640707,0.04170555100603482,61.345307906185816,49.01825830368019,72.83516960695655,11.166666666666666,6.0,16.416666666666668,nan,nan,nan,0.0,0.0,0.0,0.2081508333600747,0.14993267334405874,0.27212932796489137
central_potential_reference,Potencial central,12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.75,0.5,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.1786230077781005,0.0669555591789253,0.2994729204808805,0.06166707711703039,0.049250894667681115,0.07392884117560396,10.768437022141264,3.9011475967647566,18.60154934087647,12.5,3.5833333333333335,23.835416666666653,0.005338798328455353,0.00020834952040986896,0.01344873829340217,2328459.0,1803913.975,2858612.65,3.0162236749893054,2.245261018979363,3.78646235854006
nash_pd_exact,Nash-PD exacto,12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.75,0.5,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.1997061243529037,0.07315263307800363,0.3462709425495473,0.05985286724332264,0.04713721416864256,0.0726188920219611,3.949571161747567,0.7070086205412913,8.87296509335832,2.25,0.25,5.416666666666667,0.03369664890990758,0.00568296653094873,0.07532054619670792,930085.0,739058.9,1142358.9,1.347055558289867,1.0260493637120818,1.6703750938637916
nash_pd_ring,Nash-PD anillo,12,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.8333333333333334,0.5833333333333334,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.20631960633743818,0.08413746562727789,0.3442588595277093,0.06032299526331078,0.04776789250712694,0.07222589027651254,4.031139128582868,0.5779473013638806,8.666376212518674,2.1666666666666665,0.3333333333333333,5.0,0.08954319001033073,0.03981893095288073,0.15783908763600077,7609322.666666667,6271051.866666666,8836629.866666667,2.1754671333862157,1.853639328975017,2.4067730708746238
smith_primitives,Smith + CBF,12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.75,0.5,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.19547909868401073,0.07076063447913268,0.3283149694278331,0.061754842342278134,0.048994430369878696,0.07487307893918241,5.503609735379739,1.4294534123012828,10.461434703420418,3.4166666666666665,0.5,7.416666666666667,0.05636920006407344,0.015007000274467164,0.11015286409130229,1419600.0,1164018.6,1642776.6,1.981551508361008,1.6476221058440084,2.1959651239555873
replicator_primitives,Replicator + CBF,12,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.9166666666666666,22.0,22.0,22.0,22.0,22.0,22.0,0.102372411221183,0.033888310712829536,0.17777853601295976,0.045643140719149544,0.04113046811388483,0.049649737199662904,29.73222167703024,21.108327700167095,39.33794466262818,38.416666666666664,19.6625,59.502083333333324,1.29689842176521,1.0328051338818165,1.5785113019775796,917424.0,764116.8,1046747.9999999999,1.7670456583534058,1.423201760254354,2.072666725661837
erv_bnn_primitives,ERV-BNN + CBF,12,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.8333333333333334,0.5833333333333334,1.0,22.0,22.0,22.0,22.0,22.0,22.0,0.20793048473757234,0.08594324726877445,0.34322861199659915,0.060979243978662806,0.048348312718389075,0.07351252872494969,7.403413340383572,2.650572168345866,12.759593559668332,6.333333333333333,1.4166666666666667,13.0,0.1354343869637543,0.03423237306653443,0.2655062879818617,1390224.0,1115902.8,1599479.9999999998,1.950474466662854,1.6264808587618365,2.178464422087321
