method,scenario,seed,n_robots,safe_docking_success,arrival_success,any_collision,timeout,docking_time_s,time_to_wrench_feasible_s,min_clearance_m,final_position_error_m,final_orientation_error_rad,energy_wh,path_length_m,guard_interventions,guard_intervention_norm,raw_barrier_violations,exec_barrier_violations,max_exec_barrier_residual,torque_saturation_events,mean_kkt_residual,final_kkt_residual,max_simplex_error,max_capacity_violation,consensus_error,messages,runtime_s,steps
direct_to_slot,open_docking,462000,4,1,1,0,0,5.76,5.76,0.2053630824615959,0.11939046009801367,0.006301977762696143,0.024723979838070162,13.830350966759745,0,0.0,8,0,0.7336591775189618,0,nan,nan,0.0,0.0,0.0,0,0.01613650005310774,36
apf_navigation,open_docking,462000,4,0,0,0,1,22.0,22.0,0.558637744840234,0.6225375555211298,1.2183780379591425,0.024498999550682504,13.674305966345267,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.07379890000447631,138
rvo_proxy,open_docking,462000,4,1,1,0,0,5.76,5.76,0.2053630824615959,0.1193904600980136,0.006301977762696143,0.02472397983807015,13.830350966759745,0,0.0,8,0,0.7336591775189627,0,nan,nan,0.0,0.0,0.0,0,0.01677650003693998,36
cbf_qp,open_docking,462000,4,0,0,0,1,22.0,22.0,0.3179011703780978,0.23052452852172128,0.026134109403355255,0.02466464545872577,13.383043771673032,1693,47.1327169552931,110,0,2.220446049250313e-16,0,nan,nan,0.0,0.0,0.0,0,0.14246510015800595,138
central_potential_reference,open_docking,462000,4,0,0,0,1,22.0,22.0,0.6012452042669889,0.5828228644643003,0.045070949182303255,0.04126379629033067,12.023358908571094,0,4.066238026937888e-15,0,0,0.0,0,0.00034381837415523974,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,1261500,1.3027021000161767,138
nash_pd_exact,open_docking,462000,4,0,0,0,1,22.0,22.0,0.6298137399932702,0.5867066375660779,0.13022728855569798,0.037654885315672994,11.987260971146766,0,3.57991080459836e-15,0,0,0.0,0,0.004845909275543797,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,731268,0.8510944999288768,138
nash_pd_ring,open_docking,462000,4,0,0,0,1,22.0,22.0,0.6298137399932702,0.5884988343497009,0.09276119795228166,0.03869266162985001,11.978105590372651,0,3.90762539610704e-15,0,0,0.0,0,0.04458745411109777,0.048295555070232955,2.220446049250313e-16,0.0,0.07396311626075278,10305024,2.174121400108561,138
smith_primitives,open_docking,462000,4,0,0,0,1,22.0,22.0,0.6298137399932702,0.6281957036345438,0.11955458779363448,0.03722232632319281,11.810220946328991,0,3.675570536794102e-15,0,0,0.0,0,0.01769227764268706,2.5117902572464933e-06,2.220446049250313e-16,2.220446049250313e-16,0.0,1900800,1.9074242000933737,138
replicator_primitives,open_docking,462000,4,0,0,0,1,22.0,22.0,0.31363276554962355,0.2701977378396695,0.0578886087153464,0.03894906988540661,13.575534819037316,4048,44.55333942490842,111,99,0.004772519011960929,0,1.207746785731173,1.4142135623730951,2.220446049250313e-16,2.220446049250313e-16,0.0,987840,1.929917800007388,138
erv_bnn_primitives,open_docking,462000,4,0,0,0,1,22.0,22.0,0.6298137399932702,0.6333716656186636,0.12136420808875914,0.036184420132425316,11.791259035637015,0,3.703364235515757e-15,0,0,0.0,0,0.057630279535036265,0.013471955092851056,2.220446049250313e-16,2.220446049250313e-16,0.0,1900224,1.8809368000365794,138
direct_to_slot,open_docking,462001,4,1,1,0,0,5.92,5.92,0.15226103403152463,0.1213919577522127,0.031352511231736324,0.02397237690017317,13.937851066756156,0,0.0,11,0,0.9677681717644692,0,nan,nan,0.0,0.0,0.0,0,0.015333500225096941,37
apf_navigation,open_docking,462001,4,0,0,0,1,22.0,22.0,0.5528525092935408,0.8705822516849034,1.015843925518437,0.023834777774439538,16.07483540338853,0,0.0,0,0,0.0,0,nan,nan,0.0,0.0,0.0,0,0.06961619993671775,138
rvo_proxy,open_docking,462001,4,1,1,0,0,5.92,5.92,0.15226103403152463,0.12139195775221266,0.031352511231736324,0.02397237690017317,13.937851066756156,0,0.0,11,0,0.9677681717644692,0,nan,nan,0.0,0.0,0.0,0,0.016950800083577633,37
