block,factor,factor_value,category,count,total,proportion,ci95_low,ci95_high
frozen_main,overall,all,2,1156,1200,0.9633333333333334,0.9511357326179519,0.972573940156847
frozen_main,overall,all,3,4,1200,0.0033333333333333335,0.0012970085081069312,0.008539385423943092
frozen_main,overall,all,>3,40,1200,0.03333333333333333,0.02457363045521218,0.045071303440673734
frozen_main,capacity_cv,capacity_cv=0.0,2,261,300,0.87,0.8272195707065882,0.9034246305872476
frozen_main,capacity_cv,capacity_cv=0.0,3,0,300,0.0,8.673617379884035e-19,0.012642971224546034
frozen_main,capacity_cv,capacity_cv=0.0,>3,39,300,0.13,0.09657536941275233,0.17278042929341172
frozen_main,capacity_cv,capacity_cv=0.35,2,300,300,1.0,0.9873570287754538,0.9999999999999998
frozen_main,capacity_cv,capacity_cv=0.35,3,0,300,0.0,8.673617379884035e-19,0.012642971224546034
frozen_main,capacity_cv,capacity_cv=0.35,>3,0,300,0.0,8.673617379884035e-19,0.012642971224546034
frozen_main,capacity_cv,capacity_cv=0.65,2,299,300,0.9966666666666667,0.9813633063054688,0.9994113422781488
frozen_main,capacity_cv,capacity_cv=0.65,3,0,300,0.0,8.673617379884035e-19,0.012642971224546034
frozen_main,capacity_cv,capacity_cv=0.65,>3,1,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237
frozen_main,capacity_cv,capacity_cv=1.0,2,296,300,0.9866666666666667,0.9662244697474675,0.9948030382606411
frozen_main,capacity_cv,capacity_cv=1.0,3,4,300,0.013333333333333334,0.005196961739358857,0.03377553025253262
frozen_main,capacity_cv,capacity_cv=1.0,>3,0,300,0.0,8.673617379884035e-19,0.012642971224546034
frozen_main,pressure,pressure=0.7,2,598,600,0.9966666666666667,0.9879286403465287,0.9990854033131954
frozen_main,pressure,pressure=0.7,3,2,600,0.0033333333333333335,0.0009145966868046472,0.012071359653471395
frozen_main,pressure,pressure=0.7,>3,0,600,0.0,4.336808689942018e-19,0.00636170101370071
frozen_main,pressure,pressure=0.85,2,558,600,0.93,0.9067308408225561,0.9477980963056616
frozen_main,pressure,pressure=0.85,3,2,600,0.0033333333333333335,0.0009145966868046472,0.012071359653471395
frozen_main,pressure,pressure=0.85,>3,40,600,0.06666666666666667,0.04933761840939038,0.0895091891358169
frozen_main,scenario,scenario=clustered,2,231,240,0.9625,0.9302797673678065,0.9801478566862516
frozen_main,scenario,scenario=clustered,3,1,240,0.004166666666666667,0.0007358980250827037,0.02322007258362979
