M,requested_delta,replicates,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_robot_utilization_mean,milp_robot_utilization_std,milp_robot_utilization_median,milp_robot_utilization_p05,milp_robot_utilization_p95,milp_assignment_distance_gini_mean,milp_assignment_distance_gini_std,milp_assignment_distance_gini_median,milp_assignment_distance_gini_p05,milp_assignment_distance_gini_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
20,-0.55,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27978242977692913,0.0990273302933954,0.25650394105269897,0.17961400733929642,0.4452668716104996
20,-0.6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2592117463071799,0.06455830880973547,0.22972840677980194,0.1862585351889866,0.34145362589859674
20,-0.65,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2931537763905604,0.1243391228065436,0.2577213307525893,0.18502623495084464,0.5248926564785925
20,-0.7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26700193461666516,0.08507963846806142,0.22978885569179713,0.16398609125274788,0.3975580753886727
20,-0.75,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17656718420949113,0.10620503873025944,0.15982781038912347,0.03926550381350355,0.3292988753570803
20,-0.8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19696179045506196,0.17451486310112996,0.1756322665420439,0.0166612318357478,0.4834902225138826
20,-0.85,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.16797287589071436,0.0914522292725563,0.18724710785966053,0.03845203299265942,0.2975122833853359
20,-0.9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20,-0.95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
20,0.0,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,438.4043685584832,77.5285179193873,439.3700286549838,330.1386660978358,552.9377801624439,0.382863352408908,0.09093369621071888,0.3614144344098378,0.26963298857278145,0.5265207888435428,5.921299026384036,2.616149621638595,5.521485048251184,2.8234805220231456,10.626492533042327,16.9,0.7,17.0,16.0,18.0,0.845,0.03499999999999999,0.85,0.8,0.9,nan,nan,nan,nan,nan,262947030.0,243457822.6001007,167278100.0,43392525.0,728194889.9999998,263714230.0,243438362.6914544,168048800.0,44195130.0,728934214.9999998,6384.0,0.0,6384.0,6384.0,6384.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29819760762721087,0.0537125325455027,0.32457973575439225,0.20814209490733532,0.3485449759061206
20,0.05,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,434.10209891619127,75.94628024796474,418.0961020333033,356.96584392535885,575.6956212910652,0.34583349731573365,0.06061701132014768,0.3424741491514506,0.25857636188925937,0.44409801301296914,6.319092015595829,2.6634376305372944,6.1799526552694735,3.1922504418591195,9.887448457623872,17.0,1.0954451150103321,17.5,15.45,18.0,0.7727272727272727,0.04979295977319695,0.7954545454545454,0.7022727272727273,0.8181818181818182,nan,nan,nan,nan,nan,336261470.0,390758591.02449447,151002050.0,55310850.0,1112912195.0,337157690.0,390720255.0645038,152122350.0,56225250.0,1113735380.0,7008.0,0.0,7008.0,7008.0,7008.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3831760927376099,0.08397630458001307,0.3807297914714452,0.2845735317288622,0.51356789654505
20,0.1,10,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,373.56101453829257,67.14093456088611,359.93582129363557,283.78172078333756,472.35939026183013,0.2937589765033268,0.058907354596586206,0.2970368340665679,0.22417864678967142,0.3861480941415229,7.3192420348174725,2.2818822430451218,7.504137392009792,3.726058480362939,10.129525827843022,16.7,0.7810249675906655,16.5,16.0,18.0,0.6958333333333333,0.03254270698294442,0.6875,0.6666666666666666,0.75,nan,nan,nan,nan,nan,214368500.0,204652898.67428216,115010250.0,38476565.0,610945195.0,215268240.0,204673515.3441412,115904700.0,39366915.0,611882480.0,7632.0,0.0,7632.0,7632.0,7632.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3591799287307992,0.07842365014279058,0.33729262054600984,0.28091815284264077,0.5094106708465538
