M,requested_delta,treatment,replicates,milp_feasible_mean,milp_feasible_std,milp_feasible_median,milp_feasible_p05,milp_feasible_p95,milp_optimal_mean,milp_optimal_std,milp_optimal_median,milp_optimal_p05,milp_optimal_p95,milp_total_distance_mean,milp_total_distance_std,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,milp_normalized_distance_p95_mean,milp_normalized_distance_p95_std,milp_normalized_distance_p95_median,milp_normalized_distance_p95_p05,milp_normalized_distance_p95_p95,milp_total_excess_kg_mean,milp_total_excess_kg_std,milp_total_excess_kg_median,milp_total_excess_kg_p05,milp_total_excess_kg_p95,milp_assigned_robot_count_mean,milp_assigned_robot_count_std,milp_assigned_robot_count_median,milp_assigned_robot_count_p05,milp_assigned_robot_count_p95,milp_robot_utilization_mean,milp_robot_utilization_std,milp_robot_utilization_median,milp_robot_utilization_p05,milp_robot_utilization_p95,milp_assignment_distance_gini_mean,milp_assignment_distance_gini_std,milp_assignment_distance_gini_median,milp_assignment_distance_gini_p05,milp_assignment_distance_gini_p95,milp_solver_wall_ns_mean,milp_solver_wall_ns_std,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,milp_total_wall_ns_mean,milp_total_wall_ns_std,milp_total_wall_ns_median,milp_total_wall_ns_p05,milp_total_wall_ns_p95,milp_matrix_bytes_mean,milp_matrix_bytes_std,milp_matrix_bytes_median,milp_matrix_bytes_p05,milp_matrix_bytes_p95,assignment_churn_mean,assignment_churn_std,assignment_churn_median,assignment_churn_p05,assignment_churn_p95,relative_distance_increase_mean,relative_distance_increase_std,relative_distance_increase_median,relative_distance_increase_p05,relative_distance_increase_p95,capacity_cv_mean,capacity_cv_std,capacity_cv_median,capacity_cv_p05,capacity_cv_p95
160,0.0,critical_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1429.994895160618,108.70018047825279,1427.2677617557797,1280.6764223972461,1609.1586107399178,0.16402067043690088,0.023831885377979603,0.15816941066073084,0.1432751240637325,0.2041859418535816,53.057478862176865,6.149075338945196,55.22899631519952,43.93641947477592,61.402017037962366,141.1,2.4269322199023193,141.0,137.35,144.0,0.8874213836477989,0.015263724653473703,0.8867924528301887,0.8638364779874215,0.9056603773584906,nan,nan,nan,nan,nan,5052586040.0,8386927.473538805,5052184150.0,5040860580.0,5065619690.0,5064254870.0,8705316.330157107,5062441000.0,5051398995.0,5076627100.0,372488.0,0.0,372488.0,372488.0,372488.0,0.27798742138364785,0.09991096071602812,0.3113207547169811,0.1119496855345912,0.4044025157232704,0.04586678502491411,0.04127124999266597,0.04080231711058962,-0.0014564713348455254,0.11263579763441167,0.34160282448817947,0.01904631615421357,0.3425099504938812,0.31320745839552283,0.36548626444385984
160,0.0,idle_robot_failure,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1394.8045639129598,134.80262911200535,1355.5071431259164,1236.5920243338417,1638.8960257087854,0.16559814625711136,0.026444677072086278,0.15984471112002474,0.1359579230293837,0.2123607538680023,56.454763305056176,7.910075956353433,56.20517629716727,46.03831690471072,68.08358473767956,140.1,2.6248809496813377,141.0,135.45,143.1,0.8811320754716983,0.016508685218121617,0.8867924528301887,0.8518867924528302,0.9,nan,nan,nan,nan,nan,5049419700.0,4539547.74333303,5048251400.0,5045031500.0,5057294530.0,5061269820.0,5069640.065487884,5060921650.0,5055422500.0,5069749700.0,372488.0,0.0,372488.0,372488.0,372488.0,0.25974842767295603,0.12445999015729718,0.25471698113207547,0.10314465408805032,0.4477987421383646,0.018592181875926265,0.043262769057942414,0.008237946837617492,-0.02739912401787856,0.09619021282032117,0.3599237205958353,0.01771948275030975,0.3583805590562968,0.3341131021593322,0.38217574022754114
160,0.0,no_failure,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1370.2489929855963,129.20900249793686,1356.4167898609912,1219.9215204156346,1591.5042722498538,0.16443747905965406,0.027545351908116092,0.15942397902983285,0.1359469050950918,0.2117095490407458,56.207244745313666,8.811985542914826,53.75835441522901,45.721939139190276,69.06405831729565,139.6,2.9051678092667896,140.0,135.0,143.0,0.8725000000000002,0.018157298807917437,0.875,0.84375,0.89375,nan,nan,nan,nan,nan,5051691290.0,9304749.567446724,5054021100.0,5036399850.0,5063548120.0,5063293050.0,10613054.95446528,5065759050.0,5046150405.0,5077786555.0,374824.0,0.0,374824.0,374824.0,374824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35988749782976337,0.017808235696474467,0.3604046039800063,0.33299609569806693,0.3812387607900135
160,0.0,random_10_percent,10,0.2,0.4000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1562.780810505426,11.144278421194826,1562.780810505426,1552.7509599263506,1572.8106610845011,0.1955322274217302,0.004372673400087346,0.1955322274217302,0.1915968213616516,0.19946763348180882,48.59080746693059,6.049077655501208,48.59080746693059,43.14663757697951,54.034977356881676,27.5,55.00409075696098,0.0,0.0,137.65,0.19097222222222224,0.3819728524788957,0.0,0.0,0.9559027777777778,nan,nan,nan,nan,nan,5040906700.0,2695800.0,5040906700.0,5038480480.0,5043332920.0,5049990500.0,3535000.0,5049990500.0,5046809000.0,5053172000.0,67489.6,134979.2,0.0,0.0,337448.0,0.45833333333333337,0.0069444444444444475,0.45833333333333337,0.45208333333333334,0.46458333333333335,0.1521343976090107,0.007494042224988451,0.1521343976090107,0.1453897596065211,0.15887903561150032,0.35751394656261076,0.017532097657416614,0.35067759712323104,0.33588523313667834,0.384522630022471
160,0.0,random_20_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3665973521211267,0.021124962630108268,0.36566631020985435,0.3370706997148086,0.3988991345916306
160,0.0,random_30_percent,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3609051800803997,0.019921371904939245,0.36633685942922267,0.32905855192173017,0.38268980686744924
160,0.0,random_5_percent,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1503.7028438814218,133.3206960347762,1504.509023659747,1310.8233593955526,1721.9126694717797,0.1847160770011153,0.027359158318082086,0.18281339377820408,0.15125187799232015,0.22500765482022844,53.0886603150964,3.7181173483592054,53.524571735200155,48.35410024580407,58.54796473081289,140.1,2.467792535850613,140.0,136.35,143.0,0.9217105263157895,0.016235477209543485,0.9210526315789473,0.8970394736842106,0.9407894736842105,nan,nan,nan,nan,nan,5049936520.0,10472317.509109434,5048064500.0,5038309130.0,5067993685.0,5061719410.0,11266221.638104765,5060883050.0,5048080320.0,5080349495.0,356136.0,0.0,356136.0,356136.0,356136.0,0.325,0.07338991982833862,0.3125,0.23848684210526316,0.4490131578947367,0.09880913873895444,0.04852108220819296,0.08027825121271082,0.047059445928765764,0.1754396980462219,0.3598643796458993,0.01838677092129059,0.3589509098400063,0.3317699572960949,0.3827342346204517
160,0.0,random_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1401.8638613847074,126.31401245992096,1382.121229996863,1241.0297239593979,1623.5815991189554,0.17425263362166094,0.022973939947430348,0.17054679090760438,0.14210538749982418,0.2110023326604513,58.35011444488051,8.016997740073577,57.36056030910476,46.52924456722954,69.78115922240798,140.6,2.973213749463701,141.5,136.0,144.65,0.8842767295597485,0.018699457543796857,0.889937106918239,0.8553459119496856,0.9097484276729559,nan,nan,nan,nan,nan,5049538350.0,8960495.276629524,5052047650.0,5036737980.0,5059940225.0,5061455940.0,10566043.194138475,5066207600.0,5046390185.0,5073197640.0,372488.0,0.0,372488.0,372488.0,372488.0,0.22389937106918242,0.08774430202060521,0.2358490566037736,0.09465408805031447,0.34842767295597477,0.023672168963449973,0.0249499843555305,0.01455465154049427,-0.002529056889457542,0.06322286039817739,0.36017749105073255,0.01816571005478344,0.3595586415574423,0.3329443250359485,0.3819148149996775
160,0.2,critical_assigned_failure,10,1.0,0.0,1.0,1.0,1.0,0.1,0.30000000000000004,0.0,0.0,0.5499999999999989,886.4531837300162,61.09389272872143,862.7087962740243,814.7780629247108,972.5340800844936,0.09977395371214984,0.006681200353368372,0.09858574289260895,0.09141332201107497,0.11064410234199742,63.383886741401774,6.759992720445031,63.96386813933631,53.31215664226617,71.27102772853492,133.7,3.925557285278104,133.0,129.0,140.1,0.5594142259414225,0.016424925879824713,0.5564853556485355,0.5397489539748954,0.5861924686192469,nan,nan,nan,nan,nan,5057913810.0,12120972.870149491,5057745500.0,5039396160.0,5073161905.0,5073051860.0,13360568.477890452,5073516550.0,5053569940.0,5092097750.0,559368.0,0.0,559368.0,559368.0,559368.0,0.05397489539748954,0.023849372384937235,0.05230125523012552,0.019665271966527197,0.08786610878661087,0.014172497875207083,0.01097074246783656,0.012209079117622229,-8.741581782274591e-05,0.0278315212134792,0.3512079887629508,0.025170449097805733,0.33990341674091806,0.3224665223483899,0.3901306761983799
160,0.2,idle_robot_failure,10,1.0,0.0,1.0,1.0,1.0,0.2,0.4000000000000001,0.0,0.0,1.0,874.2191457144021,62.92610555077007,852.9689302610034,802.1412206014269,957.4462286622543,0.10129487618942286,0.009448151624604708,0.10008269528838204,0.09060448881274974,0.11587998720170371,65.84808295368514,6.980661057815766,68.51816725919468,55.09483304184219,73.73581441822564,133.0,3.7416573867739413,132.0,127.45,138.65,0.5564853556485356,0.015655470237547875,0.5523012552301255,0.5332635983263598,0.5801255230125523,nan,nan,nan,nan,nan,4976160460.0,212560199.60057998,5063851650.0,4584755445.0,5091818580.0,4992056740.0,213237224.41991782,5079191300.0,4598923180.0,5109248610.0,559368.0,0.0,559368.0,559368.0,559368.0,0.046025104602510455,0.03011389826852984,0.04811715481171548,0.0,0.08786610878661087,-9.51327598667645e-05,0.004104730976917016,0.0,-0.005755623743372318,0.005677493024929431,0.36256419256569844,0.024266620229376288,0.3503239612216551,0.3370307215525522,0.40196775816004343
