figure,indicator,value,unit,interpretation
milp_scaling_solver_time,log_log_exponent,1.7519765945887489,adimensional,Pendiente OLS descriptiva sobre medianas; no es una cota de complejidad.
milp_scaling_solver_time,r_squared,0.7673736423992872,adimensional,Ajuste de la tendencia log–log observada.
milp_scaling_memory,log_log_exponent,2.0349057823541297,adimensional,Crecimiento empírico de la memoria explícita del modelo disperso.
milp_balance_feasibility,overall_feasibility_rate,0.5397435897435897,proporción,Factibilidad de misión completa en el estudio balance.
milp_optimality_by_size,optimality_certificate_rate,0.4403846153846154,proporción,Fracción de instancias de escala con certificado del solver.
milp_geometry_distance_tail,largest_median_geometry,separated,categoría,Geometría con mayor mediana del P95 normalizado.
milp_capacity_effects,excess_vs_capacity_cv_slope,11.575905271403135,kg por CV,Tendencia OLS descriptiva entre heterogeneidad realizada y exceso de capacidad.
milp_capacity_effects,excess_vs_capacity_cv_r_squared,0.022692845175356857,adimensional,Bondad de ajuste de la tendencia lineal descriptiva.
milp_capacity_effects,minimum_feasibility_rate,1.0,proporción,Menor factibilidad entre los cinco niveles de heterogeneidad.
milp_capacity_recruitment,extreme_capacity_recruitment_ratio_median,0.6,robots por slot nominal,Mediana del reclutamiento relativo con heterogeneidad extrema.
milp_failure_resilience,worst_treatment_feasibility,0.65,proporción,Factibilidad mínima observada en Aleatorio 30 %.
milp_fleet_utilization,global_median_robot_utilization,0.5416666666666666,proporción,Fracción mediana de robots reclutados.
