cfg_protocol,cfg_recruit,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
smith,atomic,0.0,132.53975960006937,8.593800911653132,0,126.25999999995766,-0.09964164524751018,-0.056892712094505526,763208,2,159.08794149024982,0,6,0,16657,True,126.27999999995764,0.07211597008231507
smith,atomic,0.0,170.92034810001496,8.384035017343574,0,123.93999999995977,-0.14294171030914862,-0.06574244794589745,703644,2,164.30284052668833,0,6,1,8413,True,123.95999999995975,0.038777191825712265
smith,atomic,13.5399999999998,174.7463987999363,10.575041257454554,0,154.67999999993182,-0.09764108765987606,-0.08879807583480659,971640,2,164.48216171767052,0,6,2,15731,True,154.6999999999318,0.057966625958624896
smith,atomic,0.0,358.55564100004267,13.974402724761593,0,156.31999999993033,-0.14354515835066797,-0.14899992335451984,1782999,1,164.99191714740508,0,13,3,13326,False,300.01999999979967,0.07674118411653938
smith,atomic,0.0,180.8820966000203,11.09862017365138,0,180.11999999990869,-0.0910639372621887,-0.08230129734975566,1259248,2,164.39158327703177,0,6,4,12949,True,180.13999999990867,0.0
smith,atomic,0.0,168.23827649990562,11.136670022101326,0,150.87999999993528,-0.181139599018238,-0.08208213507944673,819568,2,162.53916119675563,0,6,5,14167,True,150.89999999993526,0.10198467514768517
smith,atomic,0.0,339.2641917000292,13.281324041301584,0,300.01999999979967,-0.1362155080917059,-0.7108261399238192,1753942,0,164.73394516928846,0,24,6,18682,False,300.01999999979967,0.15242584785945795
smith,atomic,0.0,203.64122079999652,8.915793732149275,0,126.61999999995733,-0.17015305962343907,0.3399450213092212,750928,2,164.1693678202221,0,6,7,10692,True,126.63999999995731,0.027745474236025913
smith,atomic,0.0,175.83270479994826,11.449020937792524,0,177.53999999991103,0.012228776285166942,-0.12508614386792072,1024612,2,164.82799323822968,0,6,8,12042,True,177.559999999911,0.02753924751137049
smith,atomic,0.0,298.57179050007835,16.720744004063565,0,74.8600000000044,-0.3409505264063673,3.1409334470238885,1615021,1,162.6988266292967,0,18,9,36841,False,300.01999999979967,0.1491498697515583
smith,atomic,0.0,384.1993294999702,20.9517221658644,0,300.01999999979967,-0.09934195907121818,8.29158627776904,790886,0,164.78577062159414,0,30,10,122889,False,300.01999999979967,0.23529862027246584
smith,atomic,0.0,158.93074639991391,8.029280746205025,0,123.31999999996033,-0.14698301585439766,-0.12137302122190441,670100,2,162.62033852338874,0,6,11,9483,True,123.33999999996031,0.032749284423069014
smith,atomic,0.0,126.78149229998235,8.528040890813545,0,132.2599999999522,-0.02247387795423833,-0.10611671829251001,683208,2,162.84306823519117,0,6,12,12552,True,132.2799999999522,0.0
smith,atomic,11.919999999999835,168.04914000001736,8.195896615861182,0,126.69999999995726,-0.08792008724755129,0.3510794055424906,804716,2,161.40556095143774,0,6,13,15437,True,126.71999999995724,0.079214987518613
smith,atomic,0.0,348.9663440999575,16.573278020661373,0,300.01999999979967,-0.13098391441759816,11.081332134486367,1610893,0,155.53903812382,0,15,14,22410,False,300.01999999979967,0.1470761269605041
smith,atomic,0.0,267.63063859997783,11.679688711944042,0,172.59999999991552,-0.17788519310170942,-0.11757304543023395,1205452,2,164.04594460792066,0,6,15,25807,True,172.6199999999155,0.11983355484443592
smith,atomic,0.0,226.59438779996708,9.45002924629642,0,165.27999999992218,-0.28628434861658847,-0.10061422607342063,934480,2,164.27208058168665,0,6,16,11384,True,165.29999999992216,0.12355063833457627
smith,atomic,0.0,118.75948300003074,7.344969448491241,0,115.39999999996753,-0.1433738362298086,-0.13057735404407778,681216,2,164.95158979780044,0,6,17,13220,True,115.41999999996752,0.0
smith,atomic,16.87999999999973,182.4327609000029,8.494196605613014,0,154.31999999993215,-0.08635364687561387,-0.08931562419309635,873722,2,162.40829282647059,0,6,18,13113,True,154.33999999993213,0.08904513980400641
smith,atomic,2.1200000000000014,144.97110860003158,8.589958687428886,0,132.0399999999524,-0.11655694113748927,-0.09458449913290945,775952,2,164.03314879530987,0,6,19,14268,True,132.0599999999524,0.06572798373986011
smith,gne_pd,0.0,222.13626580010168,11.787993355752729,0,186.9199999999025,0.011623846213873024,-0.06510027177430544,1128970,2,159.08794149024982,0,2,0,13798,True,186.93999999990248,0.0
smith,gne_pd,0.0,182.8304520000238,10.201598244802954,0,171.89999999991616,-0.08924598120784094,-0.13814506670128246,1152204,2,164.30284052668833,0,2,1,10248,True,171.91999999991614,0.10781701947449857
smith,gne_pd,58.360000000003524,306.1842299000127,20.446698167199834,0,300.01999999979967,-0.03613761210233232,-0.11499042467205545,2248881,0,164.48216171767052,0,2,2,96016,False,300.01999999979967,0.08603506562580066
smith,gne_pd,0.0,224.00530890002847,12.397946292701379,0,195.7199999998945,-0.02119929879896232,-0.10657902715752243,1377308,2,164.99191714740508,0,3,3,17177,True,195.73999999989448,0.08338684384775508
smith,gne_pd,0.0,180.0851216999581,8.955914420396327,0,134.27999999995038,0.0006751079384871295,-0.07871692585106693,809544,2,164.39158327703177,0,2,4,13807,True,134.29999999995036,0.04289377626197144
smith,gne_pd,0.0,220.35776939999778,13.47932460891182,0,249.49999999984558,-0.14575426300079844,-0.04660432951916249,1376778,2,162.53916119675563,0,10,5,14314,True,249.51999999984557,0.14976808947175613
smith,gne_pd,0.0,182.77673849998973,9.023333536445527,0,146.37999999993937,-0.39338544429012645,-0.06294863567943842,988672,2,164.73394516928846,0,3,6,10859,True,146.39999999993935,0.022973510267101815
smith,gne_pd,0.7000000000000003,149.54385999997612,9.196958419759968,0,138.47999999994656,-0.16607342521789178,-0.08080924233408382,889614,2,164.1693678202221,0,3,7,15532,True,138.49999999994654,0.07075385325322792
smith,gne_pd,1.1800000000000006,143.78204570000526,7.048483076837492,0,110.09999999997235,-0.0028140925422540097,0.25914979812493577,709700,2,164.82799323822968,0,3,8,9570,True,110.11999999997234,0.0
smith,gne_pd,1.2200000000000006,197.31622290005907,13.260015919908986,0,200.73999999988993,-0.36745213824273015,-0.12542306331180697,1358522,2,162.6988266292967,0,1,9,21531,True,200.7599999998899,0.0657026829552283
smith,gne_pd,0.0,110.65971160004847,7.522319008906428,0,116.79999999996626,0.02535132321806899,0.2655086778732034,752464,2,164.78577062159414,0,2,10,10908,True,116.81999999996624,0.0626086428296162
smith,gne_pd,0.0,162.76339650002774,8.79743423945408,0,137.03999999994787,-0.11743498169054573,-0.016536968445729272,684402,2,162.62033852338874,0,3,11,13935,True,137.05999999994785,0.08689696069730429
smith,gne_pd,0.0,204.2527173999697,15.410445915768436,0,214.49999999987742,-0.11892451997546669,-0.11151990225842923,1220758,2,162.84306823519117,0,3,12,18870,True,214.5199999998774,0.0
smith,gne_pd,0.0,128.98281529999804,7.294141767224987,0,117.39999999996571,-0.2818789464103529,0.5030225400761523,663818,2,161.40556095143774,0,1,13,11735,True,117.4199999999657,0.0
smith,gne_pd,0.0,240.5669809000101,14.821499423891295,0,300.01999999979967,-0.062285669184975245,11.081332134486367,1662363,0,155.53903812382,0,12,14,24361,False,300.01999999979967,0.1885444460154827
smith,gne_pd,0.0,124.04871699993964,10.981828819041796,0,157.81999999992897,-0.3356387347668941,-0.09806946114743909,1063970,2,164.04594460792066,0,0,15,23541,True,157.83999999992895,0.059672439154700996
smith,gne_pd,0.0,215.20665629999712,14.234636187211514,0,66.96000000001159,-0.30182873966582413,1.4186778368065696,1456073,1,164.27208058168665,0,15,16,6679,False,300.01999999979967,0.14985039443401676
smith,gne_pd,0.0,116.43684859992936,9.756286281271857,0,152.65999999993366,-0.33540669031244597,-0.061148877457615214,909652,2,164.95158979780044,0,3,17,21132,True,152.67999999993364,0.03743526587315671
smith,gne_pd,0.0,217.9359248999972,15.018962935064614,0,78.62000000000099,-0.22666980057837544,3.6906099409227267,1381923,1,162.40829282647059,0,13,18,26630,False,300.01999999979967,0.149308047364354
smith,gne_pd,0.0,213.00035999994725,17.05274412239874,0,265.8999999998307,-0.13914953006230807,-0.11574064428694175,1896898,2,164.03314879530987,0,0,19,26765,True,265.9199999998307,0.0
