cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_protocol,cfg_recertify,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
1.0,0.0,0.4,smith,True,0.0,125.66692820005119,3.9210335024767398,0,73.64000000000551,-0.16392148487547964,1.402292223019944,357904,2,136.9785626347685,0,6,0,1107,True,73.6600000000055,0.14975824650241926
1.0,0.0,0.4,smith,True,0.0,115.75537000002805,4.430991339066554,0,74.50000000000473,-0.14294171030914862,-0.13944658170635105,463476,2,142.6834827495684,0,6,1,2292,True,74.52000000000471,0.03242258251808661
1.0,0.0,0.4,smith,True,0.0,194.5897548000794,6.355497575667785,0,119.41999999996388,-0.09764108765987606,-0.10044734759996565,711864,2,142.59066932408302,0,6,2,2397,True,119.43999999996386,0.0
1.0,0.0,0.4,smith,True,0.0,142.97923599998467,6.780705895079887,0,147.13999999993868,-0.025541313348833555,-0.065182328127664,767272,2,142.31005653292146,0,13,3,3105,True,147.15999999993866,0.0
1.0,0.0,0.4,smith,True,0.0,175.40156050003134,6.364391805447067,0,115.13999999996777,-0.19150054912420256,-0.10415293834808104,772940,2,144.52848647328705,0,6,4,5156,True,115.15999999996775,0.030262901313179214
1.0,0.0,0.4,smith,True,0.0,74.59107720002066,4.835652744328167,0,80.51999999999926,-0.181139599018238,-0.08877369487936981,429220,2,140.81513709594884,0,6,5,4300,True,80.53999999999924,0.0714597275076887
1.0,0.0,0.4,smith,True,0.0,637.6203533998923,12.03298744296959,0,300.01999999979967,-0.169251541126399,-0.06455069069055597,1590770,0,142.26725299934367,0,11,6,1873,False,300.01999999979967,0.09155202095029832
1.0,0.0,0.4,smith,True,0.0,158.93873819999862,7.2406545899816575,0,127.93999999995613,-0.34750996178253013,-0.11161462770087383,852576,2,143.90361150183642,0,6,7,2058,True,127.95999999995611,0.0
1.0,0.0,0.4,smith,True,0.0,402.1799735999666,10.052257091220316,0,179.2399999999095,-0.17402313123766433,-0.1174803495516436,1103208,2,138.9155815521939,0,6,8,2177,True,179.25999999990947,0.10939243301497548
1.0,0.0,0.4,smith,True,0.0,300.87341050000396,16.732017191521027,0,46.480000000005326,-0.18225022085951736,2.181911117212856,1574805,1,141.83906022160315,0,18,9,46495,False,300.01999999979967,0.1491498697515583
1.0,0.0,0.4,smith,True,0.0,639.6998222999973,20.9517221658644,0,300.01999999979967,-0.09934195907121818,8.29158627776904,790886,0,143.63910561159574,0,30,10,122889,False,300.01999999979967,0.23529862027246584
1.0,0.0,0.4,smith,True,0.0,55.508810900035314,3.4593783517891996,0,64.40000000001392,-0.35288028283078965,-0.02030825318965046,325616,2,140.0304071821672,0,6,11,1147,True,64.4200000000139,0.0
1.0,0.0,0.4,smith,True,0.0,115.60070319997612,4.445304946920783,0,78.40000000000119,-0.1937062645526632,-0.10910607016660201,400872,2,142.795613410915,0,6,12,3330,True,78.42000000000117,0.0
1.0,0.0,0.4,smith,True,0.0,71.1826793999644,3.9899912083870595,0,79.00000000000064,-0.05505347499349367,3.160905725338039,428192,2,138.4202647611256,0,6,13,2979,True,79.02000000000062,0.1497422893792275
1.0,0.0,0.4,smith,True,0.0,632.9124920000322,16.573278020661373,0,300.01999999979967,-0.13098391441759816,11.081332134486367,1610893,0,135.90605082485482,0,15,14,22410,False,300.01999999979967,0.1470761269605041
1.0,0.0,0.4,smith,True,0.0,159.4323846999323,8.209210531520592,0,149.13999999993686,-0.17788519310170942,-0.09827791596282687,1060876,2,140.23240821238278,0,6,15,7365,True,149.15999999993684,0.0
1.0,0.0,0.4,smith,True,0.0,134.61816800001543,5.600435438607799,0,112.17999999997046,-0.09999006052291343,-0.09701951083139626,602608,2,142.71025194332114,0,6,16,2913,True,112.19999999997044,0.0
