cfg_corridor,cfg_protocol,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
lease,smith,16.87999999999973,187.50257549993694,8.494196605613014,0,154.31999999993215,-0.08635364687561387,-0.08931562419309635,873722,2,162.40829282647059,0,6,18,13113,True,154.33999999993213,0.08904513980400641
lease,smith,2.1200000000000014,144.4343234000262,8.589958687428886,0,132.0399999999524,-0.11655694113748927,-0.09458449913290945,775952,2,164.03314879530987,0,6,19,14268,True,132.0599999999524,0.06572798373986011
price,smith,22.259999999999614,177.93118219997268,9.81979407603812,0,139.17999999994592,-0.27417786239399844,-0.09726391971004844,923106,2,159.08794149024982,0,6,0,18582,True,139.1999999999459,0.08312661455313908
price,smith,0.0,124.60530169995036,8.310374170525428,0,119.6199999999637,-0.17093370772562824,-0.09505969894906308,680774,2,164.30284052668833,0,6,1,10039,True,119.63999999996368,0.009611372535282214
price,smith,0.0,212.23490549996495,9.416949052679422,0,156.09999999993053,-0.09764108765987606,-0.0654109549996007,902822,2,164.48216171767052,0,6,2,9820,True,156.1199999999305,0.11297847269970607
price,smith,0.0,296.8192817000672,14.07398341925754,0,155.599999999931,-0.4458773146841189,-0.07094403691384166,1804026,1,164.99191714740508,0,13,3,15031,False,300.01999999979967,0.09414423626318325
price,smith,0.0,230.18782719993033,11.09862017365138,0,180.11999999990869,-0.0910639372621887,-0.08230129734975566,1259242,2,164.39158327703177,0,6,4,12949,True,180.13999999990867,0.0
price,smith,0.0,209.15742659999523,11.58566198500378,0,163.3799999999239,-0.181139599018238,-0.05737723385803273,835334,2,162.53916119675563,0,6,5,12662,True,163.3999999999239,0.07495631482282228
price,smith,0.0,325.4226001999341,13.281324041301584,0,300.01999999979967,-0.1362155080917059,-0.7108261399238192,1753936,0,164.73394516928846,0,24,6,18682,False,300.01999999979967,0.15242584785945795
price,smith,0.0,132.25418159994297,11.072378982603341,0,151.179999999935,-0.08322039781153073,-0.1305776490662196,947786,2,164.1693678202221,0,6,7,14734,True,151.199999999935,0.0
price,smith,0.0,136.6071201999439,8.626651339770472,0,132.45999999995203,-0.031654018010893514,-0.07915302870888397,721398,2,164.82799323822968,0,6,8,10108,True,132.479999999952,0.0
price,smith,0.0,303.8522646999918,16.720744004063565,0,74.8600000000044,-0.3409505264063673,3.1409334470238885,1615018,1,162.6988266292967,0,18,9,36841,False,300.01999999979967,0.1491498697515583
price,smith,0.0,243.7880245000124,20.9517221658644,0,300.01999999979967,-0.09934195907121818,8.29158627776904,790886,0,164.78577062159414,0,30,10,122889,False,300.01999999979967,0.23529862027246584
price,smith,0.0,111.9903754000552,7.825930371231074,0,122.55999999996102,-0.14698301585439766,-0.03769029699201454,653134,2,162.62033852338874,0,6,11,10176,True,122.579999999961,0.041930769156833136
price,smith,16.499999999999737,198.68996039999183,12.414942423380024,0,199.559999999891,-0.2878770345169426,-0.11235305708089749,1125190,2,162.84306823519117,0,6,12,20689,True,199.579999999891,0.10576148590532017
price,smith,21.859999999999623,224.67583050008398,12.434439131075148,0,183.75999999990538,-0.08792008724755129,-0.08759166689655906,1240678,2,161.40556095143774,0,6,13,32204,True,183.77999999990536,0.08660003625841384
price,smith,0.0,243.2480945000425,16.573278020661373,0,300.01999999979967,-0.13098391441759816,11.081332134486367,1610893,0,155.53903812382,0,15,14,22410,False,300.01999999979967,0.1470761269605041
price,smith,0.0,222.01955000008456,12.876474140941923,0,193.1999999998968,-0.17788519310170942,-0.08451700889399127,1321558,2,164.04594460792066,0,6,15,27543,True,193.21999999989677,0.09187503760575311
price,smith,0.0,180.1403057000134,13.159206084940951,0,222.07999999987052,-0.09999006052291343,-0.10222606667812073,1295998,2,164.27208058168665,0,6,16,19636,True,222.0999999998705,0.0
price,smith,0.0,105.13624719996005,7.8545132060090115,0,127.99999999995607,-0.14860680270104176,-0.061151445361449674,757670,2,164.95158979780044,0,6,17,12447,True,128.01999999995607,0.0
price,smith,28.97999999999947,240.96496909996495,18.144561791695555,0,223.1999999998695,-0.2908671066863665,-0.09821651357994554,1811702,1,162.40829282647059,0,6,18,49588,False,300.01999999979967,0.13029738673147012
price,smith,0.0,116.84876820002683,8.91761586779994,0,125.67999999995818,-0.017092786474471156,-0.09863647049206925,761170,2,164.03314879530987,0,6,19,16922,True,125.69999999995817,0.06941487853393369
