cfg_planner,cfg_protocol,corridor_double,cpu_s,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,wall_pen_max
waypoint,smith,0.0,258.2520657000132,15.116857835142923,0,144.27999999994128,-0.10316872012693956,3.2130322768175126,1050766,1,159.08794149024982,0,21,0,19057,False,300.01999999979967,0.1871788625136377
waypoint,smith,0.0,153.00510559999384,7.428894462972869,0,119.57999999996373,-0.11926498204032457,-0.08383934460953313,691520,2,164.30284052668833,0,6,1,10572,True,119.59999999996371,0.11375195496584833
waypoint,smith,0.0,311.1121555999853,16.832971461031097,0,300.01999999979967,-0.20792303355993957,9.589616754626038,1119137,0,164.48216171767052,0,21,2,112912,False,300.01999999979967,0.15645359140252402
waypoint,smith,26.359999999999527,386.4360901999753,14.564426508797101,0,290.03999999980874,-0.3305276460764679,-0.07824263841313872,1846712,2,164.99191714740508,0,13,3,16358,True,290.0599999998087,0.07877052113754957
waypoint,smith,0.0,137.66463260003366,9.74257857052759,0,157.51999999992924,-0.10877812723546937,-0.11453156137975284,1034648,2,164.39158327703177,0,6,4,16520,True,157.53999999992922,0.05516085470330623
waypoint,smith,0.0,160.2371610000264,8.356249773594628,0,109.15999999997321,-0.2013083338036582,-0.16522674782873104,620744,2,162.53916119675563,0,6,5,16345,True,109.17999999997319,0.14554261170520988
waypoint,smith,0.0,166.17726370005403,9.895977537314149,0,184.31999999990487,-0.08281915032503026,-0.07107541462392586,998300,2,164.73394516928846,0,6,6,19558,True,184.33999999990485,0.14087980704432268
waypoint,smith,0.0,306.86870560003445,15.217883967705939,0,300.01999999979967,-0.2505508620511791,3.538681997731514,1370526,0,164.1693678202221,0,30,7,28378,False,300.01999999979967,0.1498843394339726
waypoint,smith,0.0,152.37680480000563,10.038690093025645,0,180.05999999990874,-0.13944543780667223,-0.15700499706497517,954980,2,164.82799323822968,0,6,8,12832,True,180.07999999990872,0.0
waypoint,smith,0.0,355.6933222999796,18.22711810551787,0,68.8200000000099,-0.1312471439845393,1.4440013619160093,1614725,1,162.6988266292967,0,18,9,43702,False,300.01999999979967,0.1495473614035751
waypoint,smith,0.0,258.1677246999461,22.8176228957034,0,300.01999999979967,-0.2003266375343553,11.051201636559197,809918,0,164.78577062159414,0,30,10,259757,False,300.01999999979967,0.18222354080755765
waypoint,smith,0.0,194.99907949997578,10.72538257996983,0,174.89999999991343,-0.15985717884012204,-0.12133286089864015,888044,2,162.62033852338874,0,6,11,19321,True,174.91999999991341,0.0
waypoint,smith,0.0,101.45629290002398,6.711522323891721,0,103.25999999997858,-0.3327295702439915,-0.12809593312405543,539980,2,162.84306823519117,0,6,12,12333,True,103.27999999997856,0.13016656674431804
waypoint,smith,0.0,202.44865849998314,9.072683582912228,0,160.33999999992668,-0.0993489237564304,-0.09555189120177587,1087940,2,161.40556095143774,0,6,13,22657,True,160.35999999992666,0.07639118570348852
waypoint,smith,0.0,404.7315705999499,20.095131959896413,0,300.01999999979967,-0.22385312205037422,11.081332134486367,1652409,0,155.53903812382,0,15,14,80574,False,300.01999999979967,0.19455133512690498
waypoint,smith,10.519999999999865,91.6270772999851,6.881441741243425,0,107.23999999997496,-0.17486698053153304,-0.07512473814494047,652336,2,164.04594460792066,0,6,15,12533,True,107.25999999997494,0.10723175986651234
waypoint,smith,0.0,178.5019546999829,9.74836915983307,0,183.3999999999057,-0.07184411880463792,-0.134052791126118,1035264,2,164.27208058168665,0,6,16,15766,True,183.41999999990568,0.10234282238250439
waypoint,smith,0.0,199.02208969998173,7.815735378430493,0,138.2199999999468,-0.07759454868649152,-0.13104230088696767,869444,2,164.95158979780044,0,6,17,17158,True,138.23999999994678,0.07835685853851174
waypoint,smith,0.0,142.2801557999337,8.114077170392205,0,155.21999999993133,-0.08282359517638149,-0.11526625917682587,837968,2,162.40829282647059,0,6,18,13034,True,155.2399999999313,0.12648222643580986
waypoint,smith,9.079999999999895,173.21616419998463,9.514131107413856,0,134.51999999995016,-0.02200998548525762,0.17531944890778117,803072,2,164.03314879530987,0,6,19,28187,True,134.53999999995014,0.10157963208299409
waypoint,smith,0.0,172.1550098999869,8.660706635317377,0,176.75999999991174,-0.35609222617048847,-0.10777755722981386,1058204,2,164.4865489404765,0,6,20,10950,True,176.77999999991172,0.03801013909272882
waypoint,smith,4.1000000000000005,162.8116885999916,13.50957040026914,0,184.67999999990454,-0.19898838617630904,-0.15122702531477294,1274040,2,163.3560085253781,0,6,21,37004,True,184.69999999990452,0.09772663373792012
waypoint,smith,0.0,64.74347300000954,4.9792587733818054,0,78.2800000000013,-0.14182763442203467,-0.03931068675825333,411748,2,164.21251082494666,0,6,22,6122,True,78.30000000000128,0.04566464805545126
waypoint,smith,0.0,249.74763460003305,18.354109389656397,0,300.01999999979967,-0.1672081208908751,13.69915545194785,884274,0,164.09383038051985,0,30,23,110258,False,300.01999999979967,0.34024925145119705
waypoint,smith,0.0,88.98179910006002,6.463169473174097,0,113.31999999996943,-0.03217896562423175,-0.12133804394681036,572060,2,164.5402290768433,0,6,24,11177,True,113.33999999996941,0.05232259061526001
waypoint,smith,0.0,170.33000429999083,6.948700048266349,0,127.15999999995684,-0.1630331448460397,1.350255750639123,562901,2,163.11594441134687,0,9,25,14929,True,127.17999999995682,0.045791069569469656
waypoint,smith,0.0,290.44762719993014,10.919448219642323,0,195.41999999989477,-0.1748033669518072,-0.08042572567428952,1051624,2,164.22530809440505,0,6,26,20544,True,195.43999999989475,0.11961328816446049
waypoint,smith,0.0,265.0990430000238,13.612296872098117,0,78.70000000000091,-0.30908369580253,1.3841117941329575,1562001,1,161.6785730938033,0,18,27,14838,False,300.01999999979967,0.012434205119506103
waypoint,smith,0.0,320.12240670004394,14.352394571689512,0,91.87999999998893,-0.1759432464139509,-0.08138696327254547,1694069,1,162.57580510857449,0,18,28,10633,False,300.01999999979967,0.14956141346201768
waypoint,smith,0.0,251.81689009990077,19.83552058475321,0,300.01999999979967,-0.12553722178226503,12.181325036315243,844098,0,162.6431845327441,0,30,29,143689,False,300.01999999979967,0.18801113947629838
game,smith,0.0,318.63036579999607,8.397650229007668,0,159.57999999992737,-0.34813273960893976,0.5668977823741637,846713,2,159.08794149024982,0,6,0,12284,True,159.59999999992735,0.11282750451641732
game,smith,0.0,431.93393800000194,14.073305329073055,0,262.65999999983364,-0.07195064628054224,-0.05885759797171186,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,0.11366802741328136
game,smith,0.0,285.6708222000161,12.001677715805236,0,239.41999999985475,-0.12816648078473025,-0.06429979609638803,1398402,2,164.48216171767052,0,9,2,10555,True,239.43999999985473,0.0816149356851561
game,smith,0.0,450.19452109991107,15.96849638352311,0,120.5999999999628,-0.1920354257383266,0.5929159532741544,1474359,1,164.99191714740508,0,6,3,18662,False,300.01999999979967,0.010806230267290218
game,smith,0.0,222.0983905000612,8.480619989087442,0,142.29999999994308,-0.1410901587020249,0.3259248519099449,950931,2,164.39158327703177,0,6,4,15659,True,142.31999999994306,0.09955411747308851
game,smith,0.0,191.75497249991167,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,0.07794662180286238
game,smith,0.0,289.72336529998574,9.841079635487908,0,174.77999999991354,-0.22376377908472803,-0.05759982830807164,1227476,2,164.73394516928846,0,6,6,16050,True,174.79999999991352,0.09527155385451813
game,smith,0.0,226.06141369999386,10.505442942701976,0,176.53999999991194,-0.06582875931013943,0.40675738802752015,1117093,2,164.1693678202221,0,6,7,10554,True,176.55999999991192,0.02206964746028639
game,smith,0.0,460.75065890001133,14.056770891225757,0,132.89999999995163,-0.16081896587690786,1.902237308085601,1658246,1,164.82799323822968,0,18,8,23372,False,300.01999999979967,0.36619259687187844
game,smith,0.36000000000000004,417.58360799995717,18.19094609499221,0,162.97999999992427,-0.07313036700272968,-0.10931391821557668,1896977,1,162.6988266292967,0,9,9,43816,False,300.01999999979967,0.09832977731462822
game,smith,0.0,173.88075420004316,6.523786304281724,0,122.33999999996122,-0.0718929449078749,0.3373090564532957,747911,2,164.78577062159414,0,6,10,10529,True,122.3599999999612,0.0
game,smith,0.0,514.33038639999,17.854256519280646,0,182.03999999990694,-0.0863949032146678,-0.019901143487409456,1690799,1,162.62033852338874,0,9,11,33807,False,300.01999999979967,0.15265958170409533
game,smith,0.0,377.8842238000361,16.322680357023664,0,239.73999999985446,-0.05047479610488456,-0.02016514338835762,1296212,2,162.84306823519117,0,6,12,37530,True,239.75999999985444,0.07553754937500662
game,smith,0.0,377.02436649997253,12.820325169129902,0,232.07999999986143,-0.11151095245190301,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,0.09348166153947401
game,smith,0.0,195.92219130008016,8.375840898523292,0,163.23999999992404,-0.15244981418191905,0.07348119037456247,908584,2,155.53903812382,0,6,14,9819,True,163.25999999992402,0.008903522722350843
game,smith,0.0,251.87175619998015,9.179756685246735,0,153.07999999993328,-0.11055787638684106,-0.038166016480450704,954829,2,164.04594460792066,0,6,15,19992,True,153.09999999993326,0.04132862435071516
game,smith,0.0,370.94416539999656,15.22185390097233,0,82.31999999999762,-0.23956235446362595,3.7677449172786854,1304222,1,164.27208058168665,0,18,16,100157,False,300.01999999979967,0.14818129397431318
game,smith,0.0,280.19341880001593,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,0.08033215332357013
game,smith,0.0,343.77632659999654,13.587844764693317,0,124.75999999995902,-0.11841564446030844,3.8478612703089556,1065474,1,162.40829282647059,0,10,18,15445,False,300.01999999979967,0.14246412854918744
game,smith,0.0,269.89238890004344,10.21920715909646,0,172.43999999991567,-0.018497870891486634,1.2884551273982225,932118,2,164.03314879530987,0,6,19,20997,True,172.45999999991565,0.09358910898240502
game,smith,0.0,277.08827080007177,11.647572129145662,0,212.2199999998795,-0.11231189634819863,0.3255701262890085,1171439,2,164.4865489404765,0,6,20,17897,True,212.23999999987947,0.06793557566516503
game,smith,0.0,228.05950850003865,11.504091357160187,0,191.03999999989875,-0.4264237050683667,0.34639182047758776,1222883,2,163.3560085253781,0,6,21,19084,True,191.05999999989874,0.06074195381933123
game,smith,0.0,350.23773519997485,14.734710176271095,0,229.33999999986392,-0.11079584228678507,0.9207447257862427,1353246,2,164.21251082494666,0,6,22,24121,True,229.3599999998639,0.11157948888666497
game,smith,0.0,285.53213990002405,12.456806896186212,0,225.23999999986765,-0.16182883497858241,1.15117463213066,1064760,2,164.09383038051985,0,6,23,16009,True,225.25999999986763,0.07155695935395912
game,smith,0.0,296.03529269993305,9.568732084437539,0,182.67999999990636,-0.08698147200268552,-0.08260356679254066,1083551,2,164.5402290768433,0,6,24,17467,True,182.69999999990634,0.06984206197610465
game,smith,0.0,255.6978624999756,10.820954296122018,0,172.1799999999159,-0.2981747592304269,-0.0874683681847177,861553,2,163.11594441134687,0,6,25,28364,True,172.1999999999159,0.11897913987611208
game,smith,0.0,239.08561079995707,10.911127379279295,0,190.47999999989926,-0.0699599337469669,1.3875217982217496,1035285,2,164.22530809440505,0,6,26,11049,True,190.49999999989925,0.10110986036453973
game,smith,0.0,227.9123496999964,11.090092492386411,0,167.51999999992015,-0.09288862059883718,0.4031800675333148,906284,2,161.6785730938033,0,6,27,30442,True,167.53999999992013,0.0
game,smith,0.0,211.2129600000335,8.932384977446269,0,149.03999999993695,-0.30470603948129193,0.8406914262493554,985586,2,162.57580510857449,0,6,28,13382,True,149.05999999993693,0.13373443645197547
