hypothesis_id,family,status,outcome,effect_estimate,CI95_low,CI95_high,raw_p,Holm_adjusted_p,decision,claim_permitted,source,within_hypothesis_Bonferroni_m,margin
H0-SP0-P1,P,confirmatory,final_success,0.0,0.0,0.0,1.0,1.0,fail_to_reject_H0,not_supported,B4,16.0,
H0-SP0-P2,P,confirmatory,normalized_regret,0.0014886450172317447,0.0013252764578807407,0.001682779476008436,7.100712713627627e-79,2.840285085451051e-78,reject_H0,empirically_supported,B4,16.0,
H0-SP0-P3,P,confirmatory,time_to_useful_solution,23893581.86026697,,,0.0,0.0,reject_H0,empirically_supported,cox_time_to_epsilon_world_cluster,1.0,
H0-SP0-P4,P,confirmatory,communication_to_useful_solution,6039216685.82423,,,0.0,0.0,reject_H0,empirically_supported,negative_binomial_messages_to_epsilon_solution_GEE,2.0,
H0-SP0-P5,P,confirmatory,method_by_regime_interaction,298.79821075973445,,,8.507197566994097e-53,2.552159270098229e-52,reject_H0,empirically_supported,robust_regret_GEE_world_cluster,1.0,
H0-SP0-P6,P,confirmatory,method_by_logN_interaction,172.90082151520517,,,1.5340415447174375e-32,3.068083089434875e-32,reject_H0,empirically_supported,robust_regret_GEE_world_cluster,1.0,
H0-SP0-G1,G,exploratory_preregistered_B2_only,population_dynamic,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-G2,G,exploratory_preregistered_B2_only,fitness,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-G3,G,exploratory_preregistered_B2_only,dynamic_by_fitness_interaction,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-G4,G,exploratory_preregistered_B2_only,final_success_RAW_vs_QR,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-G5,G,exploratory_preregistered_B2_only,normalized_regret_RAW_vs_QR,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-G6,G,exploratory_preregistered_B2_only,closure_neighborhood_QR1_QR2_QRA,,,,,,exploratory_only,exploratory_only,B2_exploratory,,
H0-SP0-C1,C,confirmatory,local_minus_global_NR,0.0,0.0,0.0,0.001999500124968758,0.001999500124968758,reject_H0_noninferior,empirically_supported,locality,8.0,0.05
H0-SP0-C2,C,confirmatory,method_by_lambda2_interaction,502.7506530635219,,,2.1485893125744205e-105,6.4457679377232614e-105,reject_H0,empirically_supported,connectivity_regret_GEE,1.0,
H0-SP0-C3,C,confirmatory,method_by_occupancy_error_interaction,53.93666195973947,,,2.1595939592020332e-10,4.3191879184040664e-10,reject_H0,empirically_supported,connectivity_regret_GEE,1.0,
H0-SP0-R1,R,confirmatory,CVaR95_normalized_regret,0.00024893627020277216,0.00010518404178080267,0.00024893627020277254,0.0,0.0,reject_H0,empirically_supported,B6:G-BIAS_G-ZERO,44.0,
H0-SP0-R2,R,confirmatory,generalization_gap,71.83310623514146,,,4.2555249537410205e-14,4.2555249537410205e-14,reject_H0,empirically_supported,generalization_method_logN_GEE,1.0,
H0-SP0-R3,R,confirmatory,method_by_initialization_interaction,,,,,,not_estimable,not_supported,missing_or_nonestimable,,
H0-SP0-R4,R,confirmatory,dynamic_by_initial_support_interaction,,,,,,not_estimable,not_supported,missing_or_nonestimable,,
