unit_id,mean_runtime_wall_s,mean_messages,mean_bytes
BNN,0.2641501649923157,5616.0,179712.0
BNN,0.12866216748952866,5616.0,179712.0
BNN,0.36714965249120723,5616.0,179712.0
BNN,0.5396632799995131,24032.0,769024.0
BNN,0.30167628499912097,24032.0,769024.0
BNN,0.41909374500683044,24032.0,769024.0
BNN,1.2126261725003133,99264.0,3176448.0
BNN,2.058193950008717,99264.0,3176448.0
BNN,1.742297049998888,99264.0,3176448.0
BNN,0.6500929224945139,403328.0,12906496.0
BNN,1.4088092124904505,403328.0,12906496.0
BNN,3.9111848075059243,403328.0,12906496.0
EPS-AUCTION,0.0043133300059707835,21.5,688.0
EPS-AUCTION,0.016442957500112244,71.05,2273.6
EPS-AUCTION,0.006635260005714372,34.0,1088.0
EPS-AUCTION,0.01588873249711469,61.8,1977.6
EPS-AUCTION,0.11148578750435263,432.4,13836.8
EPS-AUCTION,0.023381017497740686,87.25,2792.0
EPS-AUCTION,0.055280995002249256,155.1,4963.2
EPS-AUCTION,0.39995414500881454,1473.35,47147.2
EPS-AUCTION,0.0717330524988938,225.65,7220.8
EPS-AUCTION,0.05080482499906793,200.0,6400.0
EPS-AUCTION,0.7846532074850984,3579.55,114545.6
EPS-AUCTION,0.08090551749919542,308.05,9857.6
GRD,0.0024139749933965505,8.0,256.0
GRD,0.003527650001342408,8.0,256.0
GRD,0.0028288299887208267,8.0,256.0
GRD,0.004742735007312149,16.0,512.0
GRD,0.006012524990364909,16.0,512.0
GRD,0.007462255004793405,16.0,512.0
GRD,0.0108875350037124,32.0,1024.0
GRD,0.012064275000011549,32.0,1024.0
GRD,0.012284870003350079,32.0,1024.0
GRD,0.017622634998406283,64.0,2048.0
GRD,0.022521712494199164,64.0,2048.0
GRD,0.024630887509556488,64.0,2048.0
HUN,0.0003217125020455569,48.0,1536.0
HUN,0.0001747175119817257,64.0,2048.0
HUN,0.00027199250471312555,96.0,3072.0
HUN,0.0011286899942206218,176.0,5632.0
HUN,0.00060363000666257,256.0,8192.0
HUN,0.0007555900141596794,384.0,12288.0
HUN,0.0011342124926159158,704.0,22528.0
HUN,0.0007835625001462176,1024.0,32768.0
HUN,0.0007227525056805462,1536.0,49152.0
HUN,0.0008723250008188188,2752.0,88064.0
HUN,0.0007417749991873279,4096.0,131072.0
HUN,0.0007134474901249633,6144.0,196608.0
HYB,0.3635736149852164,5616.0,179712.0
HYB,0.8818304075015476,5616.0,179712.0
HYB,1.0392415275040547,5616.0,179712.0
HYB,2.1609460999927252,24032.0,769024.0
HYB,2.2397811950038884,24032.0,769024.0
HYB,2.235610892501427,24032.0,769024.0
HYB,3.557645912494627,99264.0,3176448.0
HYB,5.143360194985871,99264.0,3176448.0
HYB,4.706960169991362,99264.0,3176448.0
HYB,4.126584982508211,403328.0,12906496.0
HYB,6.47924636999669,403328.0,12906496.0
HYB,14.076382727496092,403328.0,12906496.0
LOG,0.20227507000672632,4169.8,133433.6
LOG,0.08279435500444379,4069.0,130208.0
LOG,0.2179132524965098,3902.4,124876.8
LOG,0.3076537450047908,18062.0,577984.0
LOG,0.17832028500561137,17354.0,555328.0
LOG,0.2869761025009211,16622.0,531904.0
LOG,0.8589599425002235,73992.8,2367769.6
LOG,1.4773378650075757,71314.4,2282060.8
LOG,1.1245058724889532,67693.6,2166195.2
LOG,0.6016997875005472,293859.2,9403494.4
LOG,1.0445128950028448,280553.6,8977715.2
LOG,2.5093805599928602,270272.0,8648704.0
MAPPO-GNN::train_seed=15001,0.3571107950003352,56.0,1792.0
MAPPO-GNN::train_seed=15001,0.4929426174960099,56.0,1792.0
MAPPO-GNN::train_seed=15001,0.3475281750026625,56.0,1792.0
MAPPO-GNN::train_seed=15001,0.32231149248545987,240.0,7680.0
MAPPO-GNN::train_seed=15001,0.3387234025052749,240.0,7680.0
MAPPO-GNN::train_seed=15001,0.3790544324874645,240.0,7680.0
MAPPO-GNN::train_seed=15001,0.369466777483467,992.0,31744.0
MAPPO-GNN::train_seed=15001,0.4427143899985822,992.0,31744.0
MAPPO-GNN::train_seed=15001,0.5048655624879756,992.0,31744.0
MAPPO-GNN::train_seed=15001,0.6911755424953299,4032.0,129024.0
MAPPO-GNN::train_seed=15001,0.9252975675015478,4032.0,129024.0
MAPPO-GNN::train_seed=15001,1.1361979449895443,4032.0,129024.0
MAPPO-GNN::train_seed=15002,0.4159767824865412,56.0,1792.0
MAPPO-GNN::train_seed=15002,0.5543568425142439,56.0,1792.0
MAPPO-GNN::train_seed=15002,0.4401712774997577,56.0,1792.0
