geometry_id,N,K,R,lambda2,num_components
G-UNI,8.0,12.0,5.778740920033392,7.999999999999991,1.0
G-UNI,8.0,8.0,5.778740920033392,7.999999999999991,1.0
G-UNI,8.0,6.0,5.778740920033392,7.999999999999991,1.0
G-UNI,32.0,48.0,16.51388331486692,31.999999999999947,1.0
G-UNI,32.0,32.0,16.51388331486692,31.999999999999947,1.0
G-UNI,32.0,22.0,16.51388331486692,31.999999999999947,1.0
G-UNI,8.0,12.0,7.270930731997785,7.999999999999991,1.0
G-UNI,8.0,8.0,7.270930731997785,7.999999999999991,1.0
G-UNI,8.0,6.0,7.270930731997785,7.999999999999991,1.0
G-UNI,32.0,48.0,18.783946897984762,31.999999999999947,1.0
G-UNI,32.0,32.0,18.783946897984762,31.999999999999947,1.0
G-UNI,32.0,22.0,18.783946897984762,31.999999999999947,1.0
G-UNI,8.0,12.0,6.7866802963651205,7.999999999999991,1.0
G-UNI,8.0,8.0,6.7866802963651205,7.999999999999991,1.0
G-UNI,8.0,6.0,6.7866802963651205,7.999999999999991,1.0
G-UNI,32.0,48.0,16.390918775001854,31.999999999999947,1.0
G-UNI,32.0,32.0,16.390918775001854,31.999999999999947,1.0
G-UNI,32.0,22.0,16.390918775001854,31.999999999999947,1.0
G-UNI,8.0,12.0,4.8298682761945955,7.999999999999991,1.0
G-UNI,8.0,8.0,4.8298682761945955,7.999999999999991,1.0
G-UNI,8.0,6.0,4.8298682761945955,7.999999999999991,1.0
G-UNI,32.0,48.0,16.622712512430034,31.999999999999947,1.0
G-UNI,32.0,32.0,16.622712512430034,31.999999999999947,1.0
G-UNI,32.0,22.0,16.622712512430034,31.999999999999947,1.0
G-UNI,8.0,12.0,5.250078737659324,7.999999999999991,1.0
G-UNI,8.0,8.0,5.250078737659324,7.999999999999991,1.0
G-UNI,8.0,6.0,5.250078737659324,7.999999999999991,1.0
G-UNI,32.0,48.0,15.363887032391952,31.999999999999947,1.0
G-UNI,32.0,32.0,15.363887032391952,31.999999999999947,1.0
G-UNI,32.0,22.0,15.363887032391952,31.999999999999947,1.0
G-UNI,8.0,12.0,7.687449255197545,7.999999999999991,1.0
G-CLU,16.0,24.0,7.049294940147508,15.999999999999972,1.0
G-X,32.0,48.0,16.21806479337285,31.999999999999947,1.0
G-TIE,8.0,8.0,3.5828452776907818,7.999999999999991,1.0
G-BIAS,16.0,16.0,10.971252991690863,15.999999999999972,1.0
G-UNI,32.0,32.0,17.24120676210812,31.999999999999947,1.0
G-CLU,8.0,6.0,3.622090461652868,7.999999999999991,1.0
