method_family,method_variant,architecture
population,REP,distributed_global
population,SMI,distributed_global
population,BNN,distributed_global
population,LOG,distributed_global
population,PROJ,distributed_global
population,IBR,distributed_global
population,GPC,distributed_global
population,HYB,distributed_global
classic,HUN,centralized
classic,GRD,distributed_global
classic,EPS-AUCTION,distributed_global
data_driven,MAPPO-GNN,distributed_local
classic,GRD,distributed_local
classic,EPS-AUCTION,distributed_local
population,SMI,distributed_local
population,PROJ,distributed_local
population,HYB,distributed_local
population,REP,distributed_local
population,LOG,distributed_local
,,
