block_id,unit_id,method_variant,N,K,regime,n,failures,timeouts,success_rate,success_CI95_low,success_CI95_high,mean_normalized_regret,median_normalized_regret,NR_CI95_low,NR_CI95_high,CVaR95_NR,mean_runtime_wall_s,mean_messages,mean_bytes,mean_time_to_epsilon_s,time_to_epsilon_event_rate,mean_messages_to_epsilon,mean_bytes_to_epsilon
B4,BNN,BNN,8.0,6.0,robot_surplus,40,0,40,1.0,1.0,1.0,9.54139104106513e-05,0.0,2.8297807708190215e-05,0.00021471838043215453,0.0011789344777553938,0.2641501649923157,5616.0,179712.0,10.0,1.0,5616.0,179712.0
B4,BNN,BNN,8.0,8.0,balanced,40,0,40,1.0,1.0,1.0,6.955028350138319e-05,0.0,2.7076944580804287e-05,0.0001243401203212315,0.0007131043791084965,0.12866216748952866,5616.0,179712.0,10.0,1.0,5616.0,179712.0
B4,BNN,BNN,8.0,12.0,robot_scarcity,40,0,40,1.0,1.0,1.0,4.52394244971693e-05,6.938893903907229e-19,2.1845873819672424e-05,7.296545561276223e-05,0.000286999592326459,0.36714965249120723,5616.0,179712.0,10.0,1.0,5616.0,179712.0
B4,BNN,BNN,16.0,11.0,robot_surplus,40,0,40,1.0,1.0,1.0,6.580575314378152e-05,1.9374952876667756e-05,3.7821925832046156e-05,9.932958380501819e-05,0.0003645422392401296,0.5396632799995131,24032.0,769024.0,10.0,1.0,24032.0,769024.0
B4,BNN,BNN,16.0,16.0,balanced,40,0,40,1.0,1.0,1.0,6.301366914955795e-05,3.3075561810381085e-05,3.836151102241568e-05,9.363574606003514e-05,0.0003624063184058051,0.30167628499912097,24032.0,769024.0,10.0,1.0,24032.0,769024.0
B4,BNN,BNN,16.0,24.0,robot_scarcity,40,0,40,1.0,1.0,1.0,7.757063000806983e-05,3.0746743101134344e-05,4.975147980040111e-05,0.00010827090789731998,0.0002853229296431964,0.41909374500683044,24032.0,769024.0,10.0,1.0,24032.0,769024.0
B4,BNN,BNN,32.0,22.0,robot_surplus,40,0,40,1.0,1.0,1.0,7.370884100493986e-05,3.958698221980141e-05,5.203031913317366e-05,9.692799351677573e-05,0.00024564970524975667,1.2126261725003133,99264.0,3176448.0,10.0,1.0,99264.0,3176448.0
B4,BNN,BNN,32.0,32.0,balanced,40,0,40,1.0,1.0,1.0,4.524018377043041e-05,2.845759848812539e-05,3.268852953436995e-05,5.914690359017598e-05,0.00016103088638116486,2.058193950008717,99264.0,3176448.0,10.0,1.0,99264.0,3176448.0
B4,BNN,BNN,32.0,48.0,robot_scarcity,40,0,40,1.0,1.0,1.0,3.1701306270107976e-05,2.6618709359126694e-05,2.5092721553315615e-05,3.8477561067081776e-05,8.961471108548085e-05,1.742297049998888,99264.0,3176448.0,10.0,1.0,99264.0,3176448.0
B4,BNN,BNN,64.0,43.0,robot_surplus,40,0,40,1.0,1.0,1.0,2.7828129859937984e-05,2.183448966826312e-05,2.1853666032609258e-05,3.395942904182019e-05,7.029258792673083e-05,0.6500929224945139,403328.0,12906496.0,10.0,1.0,403328.0,12906496.0
B4,BNN,BNN,64.0,64.0,balanced,40,0,40,1.0,1.0,1.0,3.022539435854402e-05,2.634738895621899e-05,2.5027687824399155e-05,3.558863942296593e-05,8.16729926220682e-05,1.4088092124904505,403328.0,12906496.0,10.0,1.0,403328.0,12906496.0
B4,BNN,BNN,64.0,96.0,robot_scarcity,40,0,40,1.0,1.0,1.0,2.1385176063689418e-05,1.7548057494707927e-05,1.6300711688267902e-05,2.7492612708739214e-05,8.356345039652689e-05,3.9111848075059243,403328.0,12906496.0,10.0,1.0,403328.0,12906496.0
B4,EPS-AUCTION,EPS-AUCTION,8.0,6.0,robot_surplus,40,0,0,1.0,1.0,1.0,5.165580899708228e-07,0.0,0.0,1.5496742699124683e-06,5.165580899708228e-07,0.0043133300059707835,21.5,688.0,0.0,1.0,21.5,688.0
B4,EPS-AUCTION,EPS-AUCTION,8.0,8.0,balanced,40,0,0,1.0,1.0,1.0,1.2183508933739582e-06,0.0,2.854254387714156e-07,2.4284479643451797e-06,1.4871610432848348e-05,0.016442957500112244,71.05,2273.6,0.0,1.0,71.05,2273.6
B4,EPS-AUCTION,EPS-AUCTION,8.0,12.0,robot_scarcity,40,0,0,1.0,1.0,1.0,7.441104561117448e-07,0.0,3.862867171029738e-08,1.6532679569114497e-06,1.1203869105905205e-05,0.006635260005714372,34.0,1088.0,0.0,1.0,34.0,1088.0
B4,EPS-AUCTION,EPS-AUCTION,16.0,11.0,robot_surplus,40,0,0,1.0,1.0,1.0,3.289924324913567e-07,0.0,3.259458222386237e-08,7.333559887367343e-07,4.7158280303778775e-06,0.01588873249711469,61.8,1977.6,0.0,1.0,61.8,1977.6
B4,EPS-AUCTION,EPS-AUCTION,16.0,16.0,balanced,40,0,0,1.0,1.0,1.0,4.470335902986612e-07,0.0,1.7866477458876029e-07,7.484309749339033e-07,3.493043823866078e-06,0.11148578750435263,432.4,13836.8,0.0,1.0,432.4,13836.8
B4,EPS-AUCTION,EPS-AUCTION,16.0,24.0,robot_scarcity,40,0,0,1.0,1.0,1.0,8.892171462699677e-08,0.0,3.657375328517768e-19,2.2572210875048976e-07,1.715721832907231e-06,0.023381017497740686,87.25,2792.0,0.0,1.0,87.25,2792.0
B4,EPS-AUCTION,EPS-AUCTION,32.0,22.0,robot_surplus,40,0,0,1.0,1.0,1.0,4.0007496515849206e-07,0.0,1.3524222506292987e-07,7.348373422289019e-07,4.227638655095304e-06,0.055280995002249256,155.1,4963.2,0.0,1.0,155.1,4963.2
B4,EPS-AUCTION,EPS-AUCTION,32.0,32.0,balanced,40,0,0,1.0,1.0,1.0,3.570418176385189e-07,5.315339935333168e-08,2.0339574570107173e-07,5.335454236582471e-07,1.8384851216480437e-06,0.39995414500881454,1473.35,47147.2,0.0,1.0,1473.35,47147.2
