experiment,world_id,world_digest,world_seed,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,method,graph_regime,recovery_applied,recovered_certificate,runtime_ms,rounds,messages,bytes,delivered,dropped,algorithm_status,cycle_detected,cycle_length,consistent,raw_certificate,total_deficit,distance_cost,conflicts,unserved_loads,excess_capacity,assigned_robots,max_coalition_size,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,oracle_status,oracle_objective,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap,regime_lambda_2,regime_components
E3,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_grape,threshold,False,,155.1894000149332,225,5431,227886,5431,0,CONVERGED,False,0,True,FEASIBLE,0.0,431.3252169050354,0,0,4.467659144356732,13,5,36,4.5,2,6,1,0.23734485397089583,True,OPTIMAL,394.19655791414607,0.07440260000294074,True,True,0.09418818669384668,0.23734485397089583,1
E3,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_pair_grape,threshold,False,,376.6290000057779,145,3383,141870,3383,0,CONVERGED,False,0,True,FEASIBLE,0.0,536.0443140714108,0,0,4.467659144356732,13,5,36,4.5,2,6,1,0.23734485397089583,True,OPTIMAL,394.19655791414607,0.07440260000294074,True,True,0.3598401693506375,0.23734485397089583,1
E3,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,capacity_cbba,partitioned,False,,18.65949999773875,28,434,53478,434,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,2.3559358940187174,513.9769189669604,0,2,14.355935894018739,16,5,31,3.875,2,-1,2,8.955100346379876e-16,False,OPTIMAL,394.19655791414607,0.07440260000294074,True,True,,8.955100346379876e-16,2
E3,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_grape,partitioned,False,,112.23889997927472,225,3999,167772,3999,0,DIVERGED,False,0,False,CAPACITY_DEFICIT,0.2808703913937194,642.984198720481,0,1,12.28087039139374,16,5,31,3.875,2,-1,2,8.955100346379876e-16,False,OPTIMAL,394.19655791414607,0.07440260000294074,True,True,,8.955100346379876e-16,2
E3,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_pair_grape,partitioned,False,,379.0967999957502,209,3746,157146,3746,0,DIVERGED,False,0,False,CAPACITY_DEFICIT,0.09162717833780931,694.9322728128022,0,1,12.09162717833783,16,5,31,3.875,2,-1,2,8.955100346379876e-16,False,OPTIMAL,394.19655791414607,0.07440260000294074,True,True,,8.955100346379876e-16,2
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,complete,False,,47.947100014425814,21,1200,258000,1200,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,0.43632001463611614,763.6549032728391,0,1,12.436320014636108,16,6,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,,15.999999999999972,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,complete,False,,207.74550002533942,225,14505,608490,14505,0,CONVERGED,False,0,True,FEASIBLE,0.0,535.0657851019224,0,0,7.999060176686399,13,4,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.307011722963043,15.999999999999972,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,complete,False,,1227.3332999902777,177,11715,491310,11715,0,CONVERGED,False,0,True,FEASIBLE,0.0,474.3617684095689,0,0,5.49204982183428,13,4,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.15872928058497737,15.999999999999972,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,dense,False,,45.83829996408895,22,1102,232354,1102,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,0.43632001463611614,763.6549032728391,0,1,12.436320014636108,16,6,108,13.5,11,2,1,10.585786437626904,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,,10.585786437626904,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,dense,False,,182.43330001132563,225,13209,554130,13209,0,CONVERGED,False,0,True,FEASIBLE,0.0,535.0657851019224,0,0,7.999060176686399,13,4,108,13.5,11,2,1,10.585786437626904,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.307011722963043,10.585786437626904,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,dense,False,,1280.7472000131384,209,12735,534222,12735,0,CONVERGED,False,0,True,FEASIBLE,0.0,432.1380895106697,0,0,5.50610766574761,13,4,108,13.5,11,2,1,10.585786437626904,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.05558898486045029,10.585786437626904,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,medium,False,,35.39869998348877,24,1088,163252,1088,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,2.5414883853058825,533.1775554974338,0,1,4.350211704338255,13,3,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,,3.217173754510301,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,medium,False,,158.37680001277477,225,9357,392556,9357,0,CONVERGED,False,0,True,FEASIBLE,0.0,535.0657851019224,0,0,7.999060176686399,13,4,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.307011722963043,3.217173754510301,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,medium,False,,666.0015999805182,145,6131,257064,6131,0,CONVERGED,False,0,True,FEASIBLE,0.0,503.2770962877543,0,0,4.365717125341778,12,3,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.22936110486226588,3.217173754510301,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,threshold,False,,23.437800002284348,26,615,93537,615,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,649.3559730392682,0,0,7.677639062792549,14,3,44,5.5,1,4,1,0.5997351111877491,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.5861897597820218,0.5997351111877491,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,threshold,False,,149.19610001379624,225,6040,253416,6040,0,CONVERGED,False,0,True,FEASIBLE,0.0,535.0657851019224,0,0,7.999060176686399,13,4,44,5.5,1,4,1,0.5997351111877491,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.307011722963043,0.5997351111877491,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,threshold,False,,434.47789998026565,145,3884,162864,3884,0,CONVERGED,False,0,True,FEASIBLE,0.0,606.0738746533209,0,0,3.9654370390574507,12,3,44,5.5,1,4,1,0.5997351111877491,True,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,0.48046404986002206,0.5997351111877491,1
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,partitioned,False,,21.868799987714738,26,634,71986,634,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,0.43632001463611614,784.1640461797149,0,1,12.436320014636108,16,5,38,4.75,1,-1,2,1.7572395128872793e-15,False,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,,1.7572395128872793e-15,2
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,partitioned,False,,133.04430001880974,241,5423,227538,5423,0,DIVERGED,False,0,False,CAPACITY_DEFICIT,0.22817550768840178,776.4870481463205,0,2,12.228175507688393,16,5,38,4.75,1,-1,2,1.7572395128872793e-15,False,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,,1.7572395128872793e-15,2
E3,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,partitioned,False,,416.29200003808364,177,4051,169914,4051,0,DIVERGED,False,0,False,FEASIBLE,0.0,860.0545448209274,0,0,11.999999999999996,16,4,38,4.75,1,-1,2,1.7572395128872793e-15,False,OPTIMAL,409.38101449381713,0.13077099999645725,True,True,1.1008657323406892,1.7572395128872793e-15,2
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,complete,False,,52.021300012711436,22,1425,265815,1425,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,578.1394947387236,0,0,11.999999999999982,16,6,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.8172858754959982,15.999999999999972,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,complete,False,,221.96019999682903,241,15525,651330,15525,0,CONVERGED,False,0,True,FEASIBLE,0.0,491.52695170262956,0,0,6.348814900356643,14,4,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.5450336724677031,15.999999999999972,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,complete,False,,1405.6423000292853,209,13665,573210,13665,0,CONVERGED,False,0,True,FEASIBLE,0.0,318.1334882608549,0,0,4.20984216536441,13,4,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.0,15.999999999999972,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,dense,False,,30.96090001054108,22,890,183030,890,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,528.362218296915,0,0,11.999999999999986,16,6,85,10.625,6,2,1,4.090795022186959,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.6608192403299653,4.090795022186959,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,dense,False,,195.2138000051491,241,11436,479802,11436,0,CONVERGED,False,0,True,FEASIBLE,0.0,491.52695170262956,0,0,6.348814900356643,14,4,85,10.625,6,2,1,4.090795022186959,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.5450336724677031,4.090795022186959,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,dense,False,,775.2019999898039,145,7205,302100,7205,0,CONVERGED,False,0,True,FEASIBLE,0.0,435.06155918453453,0,0,6.3182045695566025,14,5,85,10.625,6,2,1,4.090795022186959,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.3675440506527372,4.090795022186959,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,medium,False,,25.39909997722134,25,898,127966,898,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,538.8948928872693,0,0,11.999999999999986,16,5,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.6939269607649734,1.5948392630332904,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,medium,False,,139.3223999766633,241,8536,358152,8536,0,CONVERGED,False,0,True,FEASIBLE,0.0,491.52695170262956,0,0,6.348814900356643,14,4,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.5450336724677031,1.5948392630332904,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,medium,False,,651.5908999717794,177,6275,263190,6275,0,CONVERGED,False,0,True,FEASIBLE,0.0,318.1334882608549,0,0,4.20984216536441,13,4,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.0,1.5948392630332904,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,threshold,False,,24.309500004164875,32,815,82665,815,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,458.5041422577651,0,0,9.956910588141358,15,5,37,4.625,1,7,1,0.11075038500718887,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.441231933061422,0.11075038500718887,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,threshold,False,,160.52410000702366,241,6243,261984,6243,0,CONVERGED,False,0,True,FEASIBLE,0.0,491.52695170262956,0,0,6.348814900356643,14,4,37,4.625,1,7,1,0.11075038500718887,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.5450336724677031,0.11075038500718887,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,threshold,False,,369.68679999699816,145,3820,160218,3820,0,CONVERGED,False,0,True,FEASIBLE,0.0,547.0981102494779,0,0,4.753198293630508,14,4,37,4.625,1,7,1,0.11075038500718887,True,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,0.7197124177033589,0.11075038500718887,1
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,partitioned,False,,10.268699959851801,22,313,31727,313,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,11.95232977987045,435.5928520162659,0,3,23.95232977987043,16,6,32,4.0,0,-1,3,6.662001774767675e-16,False,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,,6.662001774767675e-16,3
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,partitioned,False,,89.41570000024512,161,2684,112536,2684,0,DIVERGED,False,0,False,CAPACITY_DEFICIT,7.510078107408196,436.74592356582076,0,3,19.510078107408177,16,6,32,4.0,0,-1,3,6.662001774767675e-16,False,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,,6.662001774767675e-16,3
E3,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,partitioned,False,,214.72009998979047,113,1701,71250,1701,0,DIVERGED,False,0,False,CAPACITY_DEFICIT,8.457656941025828,436.8857317047011,0,3,20.457656941025803,16,7,32,4.0,0,-1,3,6.662001774767675e-16,False,OPTIMAL,318.1334882608549,0.02214250003453344,True,True,,6.662001774767675e-16,3
E3,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,capacity_cbba,complete,False,,50.08839996298775,21,1185,232935,1185,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,3.3006928874712234,351.9010922254465,0,2,15.30069288747121,16,5,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,138.53979556995688,0.011093800014350563,True,True,,15.999999999999972,1
E3,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,weighted_grape,complete,False,,219.56559998216107,241,15495,650070,15495,0,CONVERGED,False,0,True,FEASIBLE,0.0,250.22146629311584,0,0,6.455354899965068,14,5,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,138.53979556995688,0.011093800014350563,True,True,0.8061342249257494,15.999999999999972,1
E3,corridor-0.85-0,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,2440651991,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,weighted_pair_grape,complete,False,,1148.3811000362039,161,10710,449100,10710,0,CONVERGED,False,0,True,FEASIBLE,0.0,220.02491368086424,0,0,4.200701760274817,13,5,120,15.0,15,1,1,15.999999999999972,True,OPTIMAL,138.53979556995688,0.011093800014350563,True,True,0.5881712021854453,15.999999999999972,1
