campaign_id,experiment,world_key,world_id,world_seed,scenario,N,K,capacity_cv,pressure,implementation_version,graph_regime,radius,radius_over_rc,graph_seed,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,method,algorithm_status,cycle_observed,consistent,raw_certificate,distance_cost,capacity_deficit,robot_conflict,excess_capacity,assigned_robots,max_coalition_size,unserved_loads,rounds,messages,bytes,messages_per_agent,bytes_per_agent,runtime_ms,oracle_status,oracle_objective,oracle_bound,oracle_gap,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,uniform,16,5,0.65,0.85,sp1-n3-1.0,threshold,38.4815076164089,1.05,1061109556,36,4.5,2,6,1,0.23734485397089583,True,weighted_grape,CONVERGED,False,True,FEASIBLE,431.3252169050354,0.0,0,4.467659144356732,13,5,0,225,5431,227886,339.4375,14242.875,148.5108999768272,OPTIMAL,394.19655791414607,394.1965579141461,0.0,0.07102219999069348,True,True,0.09418818669384668
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,uniform,16,5,0.65,0.85,sp1-n3-1.0,threshold,38.4815076164089,1.05,1061109556,36,4.5,2,6,1,0.23734485397089583,True,weighted_pair_grape,CONVERGED,True,True,FEASIBLE,421.08381130387943,0.0,0,4.467659144356729,13,5,0,257,5759,241662,359.9375,15103.875,211.28299995325506,OPTIMAL,394.19655791414607,394.1965579141461,0.0,0.07102219999069348,True,True,0.06820773253831725
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,uniform,16,5,0.65,0.85,sp1-n3-1.0,partitioned,34.81660212913186,0.95,1061109556,31,3.875,2,-1,2,8.955100346379876e-16,False,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,CAPACITY_DEFICIT,513.9769189669604,2.3559358940187174,0,14.355935894018739,16,5,2,28,434,53478,27.125,3342.375,16.28290000371635,OPTIMAL,394.19655791414607,394.1965579141461,0.0,0.07102219999069348,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,uniform,16,5,0.65,0.85,sp1-n3-1.0,partitioned,34.81660212913186,0.95,1061109556,31,3.875,2,-1,2,8.955100346379876e-16,False,weighted_grape,DIVERGED,False,False,CAPACITY_DEFICIT,642.984198720481,0.2808703913937194,0,12.28087039139374,16,5,1,225,3999,167772,249.9375,10485.75,125.47769997036085,OPTIMAL,394.19655791414607,394.1965579141461,0.0,0.07102219999069348,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,uniform,16,5,0.65,0.85,sp1-n3-1.0,partitioned,34.81660212913186,0.95,1061109556,31,3.875,2,-1,2,8.955100346379876e-16,False,weighted_pair_grape,DIVERGED,True,False,CAPACITY_DEFICIT,645.4049313166678,0.19957819532917753,0,12.199578195329199,16,5,1,273,4561,191376,285.0625,11961.0,230.69350002333522,OPTIMAL,394.19655791414607,394.1965579141461,0.0,0.07102219999069348,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,uniform,16,5,0.65,0.85,sp1-n3-1.0,complete,,,3733269523,120,15.0,15,1,1,15.999999999999972,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,CAPACITY_DEFICIT,763.6549032728391,0.43632001463611614,0,12.436320014636108,16,6,1,21,1200,258000,75.0,16125.0,53.97629999788478,OPTIMAL,409.38101449381713,409.38101449381713,0.0,0.14175750000867993,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,uniform,16,5,0.65,0.85,sp1-n3-1.0,complete,,,3733269523,120,15.0,15,1,1,15.999999999999972,True,weighted_grape,CONVERGED,False,True,FEASIBLE,535.0657851019224,0.0,0,7.999060176686399,13,4,0,225,14505,608490,906.5625,38030.625,220.10619996581227,OPTIMAL,409.38101449381713,409.38101449381713,0.0,0.14175750000867993,True,True,0.307011722963043
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,uniform,16,5,0.65,0.85,sp1-n3-1.0,complete,,,3733269523,120,15.0,15,1,1,15.999999999999972,True,weighted_pair_grape,CONVERGED,True,True,FEASIBLE,422.519792422329,0.0,0,2.7928899321417453,12,4,0,321,19860,833400,1241.25,52087.5,831.1595999985002,OPTIMAL,409.38101449381713,409.38101449381713,0.0,0.14175750000867993,True,True,0.03209425318552548
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,uniform,16,5,0.65,0.85,sp1-n3-1.0,dense,81.9943817093064,2.0,3733269523,108,13.5,11,2,1,10.585786437626904,True,capacity_cbba_rb,QUIESCENT_OBSERVED,True,True,CAPACITY_DEFICIT,763.6549032728391,0.43632001463611614,0,12.436320014636108,16,6,1,22,1102,232354,68.875,14522.125,47.640400007367134,OPTIMAL,409.38101449381713,409.38101449381713,0.0,0.14175750000867993,True,True,
SP1_N3_DISTRIBUTED_BASELINES_v1_SMOKE,E3,E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,uniform,16,5,0.65,0.85,sp1-n3-1.0,dense,81.9943817093064,2.0,3733269523,108,13.5,11,2,1,10.585786437626904,True,weighted_grape,CONVERGED,False,True,FEASIBLE,535.0657851019224,0.0,0,7.999060176686399,13,4,0,225,13209,554130,825.5625,34633.125,252.15590000152588,OPTIMAL,409.38101449381713,409.38101449381713,0.0,0.14175750000867993,True,True,0.307011722963043
