world_key,graph_regime,radius,radius_over_rc,graph_seed,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected
E2:uniform:p0.85:cv0.0:r0,medium,54.97358230915557,1.5,1061109556,63,7.875,3,3,1,1.6988048463430272,True
E2:uniform:p0.85:cv0.0:r1,medium,61.4957862819798,1.5,3733269523,73,9.125,5,2,1,3.217173754510301,True
E2:uniform:p0.85:cv0.65:r0,medium,54.97358230915557,1.5,1061109556,63,7.875,3,3,1,1.6988048463430272,True
E2:uniform:p0.85:cv0.65:r1,medium,61.4957862819798,1.5,3733269523,73,9.125,5,2,1,3.217173754510301,True
E2:corridor:p0.85:cv0.0:r0,medium,39.42269665066772,1.5,2440651991,74,9.25,3,3,1,1.3940521178398657,True
E2:corridor:p0.85:cv0.0:r1,medium,23.27644441526497,1.5,4048617625,49,6.125,3,4,1,0.5545607102441362,True
E2:corridor:p0.85:cv0.65:r0,medium,39.42269665066772,1.5,2440651991,74,9.25,3,3,1,1.3940521178398657,True
E2:corridor:p0.85:cv0.65:r1,medium,23.27644441526497,1.5,4048617625,49,6.125,3,4,1,0.5545607102441362,True
E3:uniform:p0.85:cv0.65:r0,complete,,,1061109556,120,15.0,15,1,1,15.999999999999972,True
E3:uniform:p0.85:cv0.65:r0,dense,73.29810974554076,2.0,1061109556,92,11.5,7,3,1,5.544069472180331,True
E3:uniform:p0.85:cv0.65:r0,medium,54.97358230915557,1.5,1061109556,63,7.875,3,3,1,1.6988048463430272,True
E3:uniform:p0.85:cv0.65:r0,threshold,38.4815076164089,1.05,1061109556,36,4.5,2,6,1,0.23734485397089583,True
E3:uniform:p0.85:cv0.65:r0,partitioned,34.81660212913186,0.95,1061109556,31,3.875,2,-1,2,8.955100346379876e-16,False
E3:uniform:p0.85:cv0.65:r1,complete,,,3733269523,120,15.0,15,1,1,15.999999999999972,True
E3:uniform:p0.85:cv0.65:r1,dense,81.9943817093064,2.0,3733269523,108,13.5,11,2,1,10.585786437626904,True
E3:uniform:p0.85:cv0.65:r1,medium,61.4957862819798,1.5,3733269523,73,9.125,5,2,1,3.217173754510301,True
E3:uniform:p0.85:cv0.65:r1,threshold,43.04705039738586,1.05,3733269523,44,5.5,1,4,1,0.5997351111877491,True
E3:uniform:p0.85:cv0.65:r1,partitioned,38.947331311920536,0.95,3733269523,38,4.75,1,-1,2,1.7572395128872793e-15,False
