experiment,world_id,world_digest,world_seed,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,method,graph_regime,recovery_applied,recovered_certificate,runtime_ms,rounds,messages,bytes,delivered,dropped,algorithm_status,cycle_detected,cycle_length,consistent,raw_certificate,total_deficit,distance_cost,conflicts,unserved_loads,excess_capacity,assigned_robots,max_coalition_size,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected,oracle_status,oracle_objective,oracle_runtime_s,oracle_feasible,oracle_certified,optimality_gap
E2,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_grape,medium,False,,192.3164000036195,225,8324,349230,8324,0,CONVERGED,False,0,True,FEASIBLE,0.0,431.3252169050354,0,0,4.467659144356732,13,5,63,7.875,3,3,1,1.6988048463430272,True,OPTIMAL,394.19655791414607,0.09376039996277541,True,True,0.09418818669384668
E2,uniform-0.85-0,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,1061109556,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,weighted_pair_grape,medium,False,,553.2972000073642,129,4901,205464,4901,0,CONVERGED,False,0,True,FEASIBLE,0.0,397.7324164830138,0,0,4.386430912789416,13,5,63,7.875,3,3,1,1.6988048463430272,True,OPTIMAL,394.19655791414607,0.09376039996277541,True,True,0.008969785498831888
E2,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,capacity_cbba,medium,False,,38.34219998680055,24,1088,163252,1088,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,2.5414883853058825,533.1775554974338,0,1,4.350211704338255,13,3,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.15671130002010614,True,True,
E2,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_grape,medium,False,,178.8877999642864,225,9357,392556,9357,0,CONVERGED,False,0,True,FEASIBLE,0.0,535.0657851019224,0,0,7.999060176686399,13,4,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.15671130002010614,True,True,0.307011722963043
E2,uniform-0.85-1,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,3733269523,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,weighted_pair_grape,medium,False,,687.0020999922417,145,6131,257064,6131,0,CONVERGED,False,0,True,FEASIBLE,0.0,503.2770962877543,0,0,4.365717125341778,12,3,73,9.125,5,2,1,3.217173754510301,True,OPTIMAL,409.38101449381713,0.15671130002010614,True,True,0.22936110486226588
E2,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,capacity_cbba,medium,False,,33.06449996307492,25,898,127966,898,0,QUIESCENT_OBSERVED,True,1,True,FEASIBLE,0.0,538.8948928872693,0,0,11.999999999999986,16,5,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.025305400020442903,True,True,0.6939269607649734
E2,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_grape,medium,False,,186.52200000360608,241,8536,358152,8536,0,CONVERGED,False,0,True,FEASIBLE,0.0,491.52695170262956,0,0,6.348814900356643,14,4,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.025305400020442903,True,True,0.5450336724677031
E2,uniform-0.85-2,54214e6a78dc3bd7a38d012ce62b2f260a7ac073f84ec90bc8960b5d8d53cc41,2441000591,uniform,Aleatorio,0.65,0.4640762159758056,0.85,16,5,weighted_pair_grape,medium,False,,650.3135999664664,177,6275,263190,6275,0,CONVERGED,False,0,True,FEASIBLE,0.0,318.1334882608549,0,0,4.20984216536441,13,4,60,7.5,5,3,1,1.5948392630332904,True,OPTIMAL,318.1334882608549,0.025305400020442903,True,True,0.0
E2,corridor-0.85-0,9ea836cb8d1b1c284c9d8c10b381a09014a8fd13528dd6d0770160f9c040d914,2440651991,corridor,Pasillo,0.0,0.0,0.85,16,5,capacity_cbba,medium,False,,25.143900013063103,23,928,145024,928,0,QUIESCENT_OBSERVED,True,1,True,CAPACITY_DEFICIT,1.0966430115294559,266.4439433080376,0,1,13.09664301152945,16,6,74,9.25,3,3,1,1.3940521178398657,True,INFEASIBLE,,0.00250990001950413,False,False,
E2,corridor-0.85-0,9ea836cb8d1b1c284c9d8c10b381a09014a8fd13528dd6d0770160f9c040d914,2440651991,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_grape,medium,False,,211.17540000705048,273,11095,465546,11095,0,CONVERGED,False,0,True,CAPACITY_DEFICIT,0.6541429072270155,251.83433035313854,0,1,12.65414290722701,16,6,74,9.25,3,3,1,1.3940521178398657,True,INFEASIBLE,,0.00250990001950413,False,False,
E2,corridor-0.85-0,9ea836cb8d1b1c284c9d8c10b381a09014a8fd13528dd6d0770160f9c040d914,2440651991,corridor,Pasillo,0.0,0.0,0.85,16,5,weighted_pair_grape,medium,False,,938.1105999927968,209,9044,379404,9044,0,CONVERGED,False,0,True,CAPACITY_DEFICIT,0.6541429072270155,197.89097893271347,0,1,12.65414290722701,16,6,74,9.25,3,3,1,1.3940521178398657,True,INFEASIBLE,,0.00250990001950413,False,False,
