world_key,world_id,world_seed,world_digest,scenario,scenario_label,capacity_cv,realized_cv,pressure,N,K,total_capacity,total_demand,critical_radius_m
E2:uniform:p0.85:cv0.0:r0,uniform-p0.85-r0,1061109556,d7b03e11a9a7d42c8d411e381f630e9b484f10722cd7275b723eed1a724d502c,uniform,Aleatorio,0.0,0.0,0.85,16,5,80.0,68.0,36.64905487277038
E2:uniform:p0.85:cv0.0:r1,uniform-p0.85-r1,3733269523,05ede5a1e8dc027a4894bf617cd63cfaffe5cfcadd8d16ac23067f7143e16f77,uniform,Aleatorio,0.0,0.0,0.85,16,5,80.0,68.0,40.9971908546532
E2:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,80.0,68.0,36.64905487277038
E2:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,79.99999999999999,68.0,40.9971908546532
E2:corridor:p0.85:cv0.0:r0,corridor-p0.85-r0,2440651991,9ea836cb8d1b1c284c9d8c10b381a09014a8fd13528dd6d0770160f9c040d914,corridor,Pasillo,0.0,0.0,0.85,16,5,80.0,68.0,26.28179776711181
E2:corridor:p0.85:cv0.0:r1,corridor-p0.85-r1,4048617625,f784f5513fab21e6e9ebbb02fc166362bd13bffc0fcf017d3862fd9e69188d6d,corridor,Pasillo,0.0,0.0,0.85,16,5,80.0,68.0,15.517629610176646
E2:corridor:p0.85:cv0.65:r0,corridor-p0.85-r0,2440651991,ef998137f27b9d6f80dea99889acdcf5b0f9505f64976867ce9ddb4f1073f899,corridor,Pasillo,0.65,0.48301666687001593,0.85,16,5,80.0,68.0,26.28179776711181
E2:corridor:p0.85:cv0.65:r1,corridor-p0.85-r1,4048617625,7ceecf6e9d90d0c4617ac24cc24e11d496f160869532f20c2a93605152b736a6,corridor,Pasillo,0.65,0.6986399898087976,0.85,16,5,80.00000000000001,68.0,15.517629610176646
E3:uniform:p0.85:cv0.65:r0,uniform-p0.85-r0,1061109556,b6a79c5d9e83d93af9aefa114856a498711f09e6461b94eb801b446f56869f5f,uniform,Aleatorio,0.65,0.4995553392563804,0.85,16,5,80.0,68.0,36.64905487277038
E3:uniform:p0.85:cv0.65:r1,uniform-p0.85-r1,3733269523,67552b1f8a1ff4cec66962fea61083609247423ba5f94a20eb385ed90314c4a2,uniform,Aleatorio,0.65,0.722029501917774,0.85,16,5,79.99999999999999,68.0,40.9971908546532
