index,cell_id,payload_mass_kg,friction_regime,friction_coefficient,coalition,active_robot_count,longitudinal_acceleration_m_s2,seed_index,seed,actual_payload_mass_kg,actual_friction_coefficient,com_offset_x_m,com_offset_y_m,initial_x_m,initial_y_m,initial_yaw_rad,target_x_m,target_y_m,target_yaw_rad,contact_offsets_body_m,profile_peak_acceleration,profile_peak_twist,yaw_inertia_kg_m2,world_hash
0,C00,14.0,low,0.22,minimal,3,0.1,0,260900,14.075004480951094,0.20554733637199693,0.008240056061043437,-0.0014559168368653598,0.002057498637284983,0.009979557346374315,0.017430266101249217,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.1, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.0799809602687125,c751933768562d8983e93bdc2411c27bd164e7cb728e34cd77f35482e36c8dd6
1,C01,14.0,low,0.22,minimal,3,0.25,0,260900,14.15373483073817,0.23551440146902444,-0.013672275480471466,0.021466325031532292,0.011950459858481036,-0.018617868025605677,-0.005409822328814779,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.25, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.0997924407824877,7b7225bb5200869184a854210d615a7bc189de4e6fbcbc93518c0b6915b8db1c
2,C02,14.0,low,0.22,redundant,4,0.1,0,260900,13.711894918135062,0.23239460924658603,-0.013534436066821979,-0.002759351019579019,-0.011840469799901507,-0.016388053094578768,-0.015172329243190768,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, -0.3], [0.45, 0.3]]","[0.1, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.027977305884611,7d1c894554cf2e6fd479a22d874646ec6d5b6519611ec2e28ced7bbc6514ec05
3,C03,14.0,low,0.22,redundant,4,0.25,0,260900,13.644493828744022,0.20436809057748684,0.014304884801991817,0.026805403447841318,-0.015428444298455166,0.008412555697033634,-0.011223589872406632,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, -0.3], [0.45, 0.3]]","[0.25, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.028001485127749,9f2c08f5496d71b0e94deabafd0d6b50cd41365d15964a803a886be069fe9429
4,C04,14.0,nominal,0.65,minimal,3,0.1,0,260900,13.73676566555201,0.6258276919001429,0.0028444174861742763,0.02811108447053462,0.017070261469113637,-0.0005215259797023142,-0.021913966696956187,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.1, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.0400011485533263,005c992f2fdebb39c141510d55ae653c23fb7cb4ccc8ef86a0b4387ed0f9072c
5,C05,14.0,nominal,0.65,minimal,3,0.25,0,260900,14.1991272219764,0.6494926078884871,0.006437478763223613,0.008362964109810425,-0.00544482346368878,0.004064312479859122,0.0005191743884963365,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.25, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.0989109198175293,2b5f3dcac810ae66e48cc620f113c50ac75853c2b240842ca1c8b1075594dc6f
6,C06,14.0,nominal,0.65,redundant,4,0.1,0,260900,13.776164787431766,0.6549471007744452,0.023036979758900046,-0.006334806210919846,-0.011893231842793965,0.013528037380153238,-0.018225829267097662,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, -0.3], [0.45, 0.3]]","[0.1, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.0427182190146844,acc697dbbe6d71b568f6c851ad272bda345eab694d2b5af1a45edfc8e58ea83a
7,C07,14.0,nominal,0.65,redundant,4,0.25,0,260900,14.314613430112281,0.6553327896056186,0.00833180983124316,-0.008914616851443694,-0.0006372788928864816,0.00013659792169527785,-0.033138031894936984,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, -0.3], [0.45, 0.3]]","[0.25, 0.1, 0.2]","[0.45, 0.15, 0.25]",2.116518986974398,3be6711567b7ddabbe7d4dfee072246ebfc64e3854e11a7cec7842120f941e68
8,C08,28.0,low,0.22,minimal,3,0.1,0,260900,27.670579952760598,0.2361205523893086,-0.02260657837342187,-0.0194458508771026,-0.012064876896495491,-0.018504811784221288,0.02031590939208406,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.1, 0.1, 0.2]","[0.45, 0.15, 0.25]",4.1117798854349195,6f4b1d73269e6de8ecaf2f22131df61c6be8b9941992de4dc9d5e75506833471
9,C09,28.0,low,0.22,minimal,3,0.25,0,260900,27.557932475762872,0.21654256747791714,0.011452512729034053,-0.027931328366055726,0.00338906742448385,-0.0018337698700188546,0.026271969345238448,0.25,0.0,0.0,"[[-0.45, -0.3], [-0.45, 0.3], [0.45, 0.0]]","[0.25, 0.1, 0.2]","[0.45, 0.15, 0.25]",4.095650347764947,258897b5675c317cb420ad954244f93ce735677732736a19a1e4f6621e5637ee
