method,n,wrench_feasible_rate_mean,wrench_feasible_rate_std,feasible_coverage_mean,feasible_coverage_std,precision_given_assigned_mean,precision_given_assigned_std,fp_given_assigned_mean,fp_given_assigned_std,optimality_gap_vs_wrench_oracle_mean,optimality_gap_vs_wrench_oracle_std,wrench_residual_feasible_available_mean,wrench_residual_feasible_available_std,runtime_s_mean,runtime_s_std,messages_mean,messages_std,kkt_residual_mean,kkt_residual_std,consensus_error_mean,consensus_error_std
erv_bnn_price_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.16160819167271256,0.05084707504280507,0.0,0.0,0.06225504574932387,0.027988824295089525,0.0,0.0
nash_pd_exact_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.1199870416506504,0.06533474777112504,0.0,0.0,0.011629024684997274,0.01116133538593158,0.0,0.0
replicator_price_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.1384345000066484,0.05666027083529923,0.0,0.0,0.04089285182582889,0.034679936257415736,0.0,0.0
smith_price_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.19976631668396294,0.10084717153313744,0.0,0.0,0.028993950286050767,0.015363906974991856,0.0,0.0
smith_wrench_pairs_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.15114800835726783,0.11900591546115556,nan,nan,nan,nan,nan,nan
wrench_oracle,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.955663597344052e-17,9.953513459292772e-17,0.1277232416711437,0.14263222965477124,nan,nan,nan,nan,nan,nan
nash_pd_ring_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.00011178303284658565,0.0003242716033030758,7.431858986394734e-17,9.525724539089871e-17,0.16800998331746086,0.08944287727078083,104626.66666666667,89793.30338802183,0.02753941803107753,0.03394080232142758,0.09348639750291393,0.14556652586456853
uniform_guarded,12,0.5,0.5222329678670935,1.0,0.0,1.0,0.0,0.0,0.0,0.0010756907157746375,0.001398516388511764,7.955663597344052e-17,9.953513459292772e-17,0.0637338250138176,0.06816973957266972,nan,nan,nan,nan,nan,nan
nash_pd_exact_unguarded,12,0.5,0.5222329678670935,1.0,0.0,0.6666666666666666,0.49236596391733095,0.3333333333333333,0.49236596391733095,0.053435934229685185,0.08758374211739256,7.955663597344052e-17,9.953513459292772e-17,0.11791609995998442,0.06400035767270136,0.0,0.0,0.011629024684997274,0.01116133538593158,0.0,0.0
wrench_greedy,12,0.5,0.5222329678670935,1.0,0.0,0.5,0.5222329678670935,0.5,0.5222329678670935,0.09294384077332674,0.10774546677710138,7.955663597344052e-17,9.953513459292772e-17,0.026406849986718346,0.032373045738882854,nan,nan,nan,nan,nan,nan
cbba_slots,12,0.5,0.5222329678670935,1.0,0.0,0.5,0.5222329678670935,0.5,0.5222329678670935,0.09311067132809071,0.10798048332920289,7.955663597344052e-17,9.953513459292772e-17,0.026329433370847255,0.032411760543098724,nan,nan,nan,nan,nan,nan
oracle_scalar_assignment,12,0.5,0.5222329678670935,1.0,0.0,0.5,0.5222329678670935,0.5,0.5222329678670935,0.0932304412609317,0.10983557104829555,7.955663597344052e-17,9.953513459292772e-17,0.019501633340648066,0.039438833849042544,nan,nan,nan,nan,nan,nan
