block,method_family,method,architecture,dynamic_id,fitness_id,rounding_id,bytes_mean,bytes_std,convergence_time_mean,convergence_time_std,cost_gap_mean,cost_gap_std,coverage_mean,coverage_std,epsilon_ne_1_mean,epsilon_ne_1_std,epsilon_ne_2_mean,epsilon_ne_2_std,fractionality_mean,fractionality_std,makespan_proxy_mean,makespan_proxy_std,matching_valid_mean,matching_valid_std,memory_peak_mean,memory_peak_std,messages_mean,messages_std,n,normalized_regret_mean,normalized_regret_std,observed_poa_ratio_mean,observed_poa_ratio_std,occupancy_error_mean,occupancy_error_std,p95_individual_cost_mean,p95_individual_cost_std,potential_violations_mean,potential_violations_std,price_of_integrality_mean,price_of_integrality_std,rank,ranking_rule,runtime_wall_mean,runtime_wall_std,social_cost_mean,social_cost_std,social_regret_mean,social_regret_std,success_mean,success_std,switches_mean,switches_std,timeout_mean,timeout_std
ALL_BLOCKS,classic,HUN,centralized,,,EXACT,2112.0,427.27575572289544,0.0,0.0,-1.3877787807814457e-16,2.034206983554175e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40172201641721045,0.17712293799023407,1.0,0.0,0.0009918212890625,0.00010187047856399904,66.0,13.352367366340482,8,3.4694469519536144e-19,9.813077866773596e-19,1.0,4.1962486042515756e-17,0.0,0.0,0.33893381060376554,0.1391733248114462,0.0,0.0,1.0,4.1962486042515756e-17,1,"max success/coverage, min regret/runtime/messages/timeout",1.061249349731952e-05,4.950713606889952e-06,1.324689614813729,0.4487852330222716,-1.3877787807814457e-16,2.034206983554175e-16,1.0,0.0,0.0,0.0,0.0,0.0
ALL_BLOCKS,classic,EPS-AUCTION,distributed_global,,,POLICY,6048.0,4338.533787879429,0.0,0.0,-1.3877787807814457e-16,2.034206983554175e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40172201641721045,0.17712293799023407,1.0,0.0,0.0009918212890625,0.00010187047856399904,189.0,135.57918087123215,8,3.4694469519536144e-19,9.813077866773596e-19,1.0,4.1962486042515756e-17,0.0,0.0,0.33893381060376554,0.1391733248114462,0.0,0.0,1.0,4.1962486042515756e-17,2,"max success/coverage, min regret/runtime/messages/timeout",0.0004165375139564276,0.00023817784747830187,1.324689614813729,0.4487852330222716,-1.3877787807814457e-16,2.034206983554175e-16,1.0,0.0,0.0,0.0,0.0,0.0
ALL_BLOCKS,population,HYB,distributed_global,HYB,ASYM,QR2,108032.0,0.0,,0.0,0.00020745590134380043,0.000586773898550013,1.0,0.0,0.0,0.0,0.0,0.0,0.6909086609571065,0.036050390489854194,0.3893826384436604,0.18571737667781052,1.0,0.0,0.001556396484375,0.00020374095712799808,3376.0,0.0,8,2.5931987667995872e-06,7.3346737318743234e-06,1.0000949579933174,0.0002685817640099565,0.0,0.0,0.33091321492095804,0.14417860377028427,15.5,12.839670667783611,0.18314575309191516,0.11770605293376617,3,"max success/coverage, min regret/runtime/messages/timeout",0.01941221249580849,0.0022657141079848674,1.324897070715073,0.4487116608444381,0.00020745590134380043,0.000586773898550013,1.0,0.0,6.875,2.356601669474803,1.0,0.0
ALL_BLOCKS,population,GPC,distributed_global,GPC,LIN,QR1,107776.0,0.0,,0.0,0.03835205258041417,0.06264746151734579,1.0,0.0,0.0,0.0,0.026943846235430433,0.034436317161637114,0.666727341605378,0.03220459593648653,0.4149592074308157,0.17207196436794667,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0004794006572551772,0.0007830932689668223,1.021135238652195,0.04215670754246758,0.0,0.0,0.35356321177379835,0.12819094958340288,0.0,0.0,0.1919042915291988,0.13191792477987574,4,"max success/coverage, min regret/runtime/messages/timeout",0.014604700001655146,0.0010822488358967425,1.3630416673941435,0.41464885419293124,0.03835205258041417,0.06264746151734579,1.0,0.0,7.5,3.116774889895918,1.0,0.0
ALL_BLOCKS,population,SMI,distributed_global,SMI,ASYM,QR1,107776.0,0.0,,0.0,0.03835205258041417,0.06264746151734579,1.0,0.0,0.0,0.0,0.026943846235430433,0.034436317161637114,0.6667273416053782,0.03220459593648659,0.4149592074308157,0.17207196436794667,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0004794006572551772,0.0007830932689668223,1.021135238652195,0.04215670754246758,0.0,0.0,0.35356321177379835,0.12819094958340288,12.625,10.013383900702955,0.19190429152919883,0.1319179247798757,5,"max success/coverage, min regret/runtime/messages/timeout",0.018415537488181144,0.003579865162675472,1.3630416673941435,0.41464885419293124,0.03835205258041417,0.06264746151734579,1.0,0.0,7.5,3.116774889895918,1.0,0.0
ALL_BLOCKS,population,PROJ,distributed_global,PROJ,QUAD,QR1,107776.0,0.0,,0.0,0.04079269187678654,0.06130585027522987,1.0,0.0,0.0,0.0,0.029384485531802798,0.0329120745292149,0.6195376410841683,0.03379238015703616,0.4157180984290807,0.1710321512054093,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0005302473092629348,0.0007603957779794101,1.0225044473542386,0.041545644624981,0.0,0.0,0.3560564227326295,0.1247300531837278,0.0,0.0,0.1945425293649058,0.1447258818011996,6,"max success/coverage, min regret/runtime/messages/timeout",0.026250837501720525,0.002798832047347589,1.3654823066905157,0.4107831726076431,0.04079269187678654,0.06130585027522987,1.0,0.0,8.625,4.0686080455816125,1.0,0.0
ALL_BLOCKS,population,LOG,distributed_global,LOG,SIG,REPAIR,107776.0,0.0,,0.0,0.04860459199960303,0.08638981252332503,1.0,0.0,0.012084490295545675,0.03418010014065349,0.015123867509130653,0.037692818012495063,0.791566676452896,0.03393564500418227,0.4519092044179208,0.15932836722735647,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0006126966281784349,0.0010769975962210319,1.026932019999977,0.04939457571759577,0.0,0.0,0.3761792860764466,0.11723174811228966,0.5,1.4142135623730951,0.28994929898885446,0.1383167355421655,7,"max success/coverage, min regret/runtime/messages/timeout",0.02609085002040956,0.0021212146996725753,1.3732942068133323,0.3973497912756719,0.04860459199960303,0.08638981252332503,1.0,0.0,8.25,2.9640705601780613,1.0,0.0
ALL_BLOCKS,population,REP,distributed_global,REP,LIN,QR1,107776.0,0.0,,0.0,0.05195858001494515,0.06102165549039031,1.0,0.0,0.0,0.0,0.039933666287953765,0.03644039566570908,0.8069991707028159,0.052517522487181466,0.4405836051206401,0.1547996903920237,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0006698209109899174,0.0007525165673588349,1.0276003377566716,0.04091840499112643,0.0,0.0,0.37221900208214315,0.1132409281171556,0.0,0.0,0.1996922851903512,0.07544351506819559,8,"max success/coverage, min regret/runtime/messages/timeout",0.012321025016717613,0.0011252915025500164,1.3766481948286744,0.4066072979721501,0.05195858001494515,0.06102165549039031,1.0,0.0,3.875,3.313931631332013,1.0,0.0
ALL_BLOCKS,population,BNN,distributed_global,BNN,MC,QR1,107776.0,0.0,,0.0,0.06967045657484629,0.07426907444854544,1.0,0.0,0.0,0.0,0.04706204831690751,0.03868593161671899,0.6227961116386326,0.05207231939942217,0.44587686100981105,0.16045506403844695,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0008912193679886816,0.0009143458095999715,1.0340026145634706,0.042192053056790024,0.0,0.0,0.38268380117343315,0.1264246504647685,58.5,4.242640687119285,0.09415439054634682,0.02381414302121743,9,"max success/coverage, min regret/runtime/messages/timeout",0.02087243751157075,0.00139698608208967,1.3943600713885753,0.43011839512405203,0.06967045657484629,0.07426907444854544,1.0,0.0,0.125,0.3535533905932738,1.0,0.0
ALL_BLOCKS,population,IBR,distributed_global,IBR,LIN,QR1,107776.0,0.0,,0.0,0.07254904398475413,0.11361766833516941,1.0,0.0,0.0,0.0,0.04186139740022167,0.05969109395871199,0.598133920239703,0.026266962914504022,0.4309541959505965,0.1550109093508844,1.0,0.0,0.001556396484375,0.00020374095712799808,3368.0,0.0,8,0.0012041124261050057,0.002128673055862177,1.0417341082381664,0.06883929808379152,0.0,0.0,0.3660073885194849,0.11197325132967936,26.0,0.7559289460184544,0.5927605361389665,0.20737820738637117,10,"max success/coverage, min regret/runtime/messages/timeout",0.012786925028194673,0.0012580047160225016,1.3972386587984835,0.3531504787156932,0.07254904398475413,0.11361766833516941,1.0,0.0,395.125,16.745468470177663,1.0,0.0
