alpha,alternative,ci95_high,ci95_low,class,effect,effect_name,effect_size,effect_size_name,id,methods,metric,n_blocks,n_pairs,null_hypothesis,p_value,p_value_holm,p_value_raw,profile_filter,rank_biserial,reject,reject_holm,reject_raw,statistic
0.05,Positive monotone association.,nan,nan,SpearmanCorrelationHypothesis,0.0,spearman_rho,0.0,spearman_rho,H7.1_radius_improves_coalition_connectivity,ALL,coalition_connected_time_ratio,,4,Communication radius is not positively associated with coalition connectivity.,1.0,1.0,1.0,,nan,False,False,False,0.0
0.05,ours_connectivity_wrench_game > classic_centralized_global_mpc,nan,nan,PairedSuperiorityHypothesis,nan,ours_connectivity_wrench_game-classic_centralized_global_mpc transport_network_score,0.0,cohens_dz,H7.2_ours_connectivity_beats_classic_under_harsh_profiles,ours_connectivity_wrench_game vs classic_centralized_global_mpc,transport_network_score,,0,Ours connectivity-aware wrench game does not improve harsh-profile transport-network score over classic centralized global control.,1.0,1.0,1.0,harsh,0.0,False,False,False,
0.05,At least one method differs.,nan,nan,MultiMethodFriedmanHypothesis,0.0,friedman_chi_square,nan,not_applicable,H7.3_methods_differ_under_intermittent_communication,classic_decentralized_sensor_apf sota_decentralized_cbba_relay ours_connectivity_wrench_game ours_delay_robust_repair,transport_network_score,0,,All compared methods have equal transport-network score under intermittent communication.,1.0,1.0,1.0,intermittent,nan,False,False,False,0.0
