experiment_id,distribution_split,scenario_generator,scenario_variant_id,seed,method,assigned_capacity_kg,assigned_robot_ids,assigned_robots,capacity_deficit_kg,load_id,load_index,mass_kg,required_capacity_kg,required_robots,reward,robot_deficit,robot_surplus,status
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,oracle_reference,79.35910351880747,amr-04 amr-06 amr-08,3,0.0,load-01,1,70.59970633329308,70.59970633329308,3,2.05,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,oracle_reference,52.626401616068634,amr-02 amr-03,2,0.0,load-02,2,46.728005111295154,46.728005111295154,2,1.74,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,oracle_reference,81.21024014616829,amr-01 amr-05 amr-07,3,0.0,load-03,3,72.76521214160525,72.76521214160525,3,2.13,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,mappo_with_decoder,79.35910351880747,amr-04 amr-06 amr-08,3,0.0,load-01,1,70.59970633329308,70.59970633329308,3,2.05,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,mappo_with_decoder,52.626401616068634,amr-02 amr-03,2,0.0,load-02,2,46.728005111295154,46.728005111295154,2,1.74,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,mappo_with_decoder,81.21024014616829,amr-01 amr-05 amr-07,3,0.0,load-03,3,72.76521214160525,72.76521214160525,3,2.13,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,imitation_oracle,82.80254056006936,amr-02 amr-04 amr-08,3,0.0,load-01,1,70.59970633329308,70.59970633329308,3,2.05,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,imitation_oracle,26.60022339685615,amr-03,1,20.127781714439003,load-02,2,46.728005111295154,46.728005111295154,2,1.74,1,0,UNDER
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,imitation_oracle,81.21024014616829,amr-01 amr-05 amr-07,3,0.0,load-03,3,72.76521214160525,72.76521214160525,3,2.13,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,smith_cardinality,56.77636234085688,amr-04 amr-08,2,13.823343992436207,load-01,1,70.59970633329308,70.59970633329308,3,2.05,1,0,UNDER
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,smith_cardinality,52.626401616068634,amr-02 amr-03,2,0.0,load-02,2,46.728005111295154,46.728005111295154,2,1.74,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,smith_cardinality,103.79298132411888,amr-01 amr-05 amr-06 amr-07,4,0.0,load-03,3,72.76521214160525,72.76521214160525,3,2.13,0,1,OVER
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,smith_qr_local_repair,79.35910351880747,amr-04 amr-06 amr-08,3,0.0,load-01,1,70.59970633329308,70.59970633329308,3,2.05,0,0,OK
SP7_DEBUG_smoke,ID,in_distribution_sp1,in_distribution_sp1_seed7700_v00,7700,smith_qr_local_repair,52.626401616068634,amr-02 amr-03,2,0.0,load-02,2,46.728005111295154,46.728005111295154,2,1.74,0,0,OK
