scenario_generator,method,method_label,rank,active_control_messages_mean,assigned_robots_mean,attempted_messages_mean,base_connected_time_ratio_mean,coalition_connected_time_ratio_mean,collision_rate_mean,communication_outage_count_mean,completion_time_s_mean,control_packet_ratio_mean,delay_violation_rate_mean,delivered_messages_mean,direct_clique_time_ratio_mean,disconnected_time_ratio_mean,energy_proxy_wh_mean,final_orientation_error_deg_mean,final_position_error_m_mean,formation_broken_rate_mean,formation_integrity_rate_mean,idle_robots_mean,longest_outage_s_mean,mean_active_link_count_mean,mean_algebraic_connectivity_mean,mean_component_count_mean,mean_largest_component_ratio_mean,mean_link_delay_s_mean,mean_outage_duration_s_mean,method_communication_dependency,method_communication_pattern,method_comparison_group,method_execution_model,method_family,method_ownership,method_scope,method_trainable_parameters,method_training_type,method_tuned_parameters,method_uses_decoder,method_uses_neural_policy,method_variant,min_load_clearance_m_mean,min_mobile_group_clearance_m_mean,min_obstacle_clearance_m_mean,mobile_group_detection_rate_mean,n,network_quality_score_mean,network_severity_mean,obstacle_detection_rate_mean,optimality_gap_vs_reference_mean,packet_delivery_ratio_mean,pickup_success_mean,ranking_rule,relay_success_rate_mean,runtime_ms_mean,score_value_mean,selected_task_load_mean,sensor_coverage_rate_mean,target_reached_mean,temporal_coalition_connected_rate_mean,transport_network_score_mean,transport_success_mean,travel_distance_m_mean
ALL_SCENARIOS,classic_decentralized_sensor_apf,Classic decentralized sensor APF,1,835.0,2.0,1798.0,0.21489361702127657,0.44680851063829785,0.0,58.0,42.0,0.46440489432703,0.4302959688066071,1486.0,0.19574468085106383,0.5531914893617021,474.82868645111205,0.17986678442635196,0.753622219455167,0.0,1.0,4.0,1.7999999999999998,3.5531914893617023,-0.05197961127328164,4.340425531914893,0.4,0.16332233191986298,0.40344827586206894,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.08000000179759614,0.08000000179759614,0.6098317300353429,0.5673454913880446,1,0.6649549469014879,0.47155174603174604,0.9109422492401215,0.0,0.8264738598442715,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.0,206.46469993516803,18.74631316305252,1.0,0.739143870314083,0.0,0.9787234042553191,0.3530936925662084,0.0,40.09242115322094
ALL_SCENARIOS,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,2,1499.0,4.0,3114.0,0.41702127659574467,0.574468085106383,0.0,57.0,42.0,0.4813744380218369,0.40875182146458733,2540.0,0.0,0.42553191489361697,762.846405415341,2.446162585963731,2.587173762953521,0.14492753623188404,0.855072463768116,2.0,0.8999999999999999,6.378723404255319,0.002153904700772071,3.302127659574468,0.6085106382978723,0.16133666956125856,0.3157894736842105,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.08013130857707362,0.08044571547505208,0.3024865630070302,0.616817107242639,1,0.6996335594112498,0.47155174603174604,0.899751926560437,0.0,0.8156711624919717,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.574468085106383,616.5794000262395,-22.62139457196718,1.0,0.758284516901538,0.0,1.0,0.33476029252047357,0.0,78.58929587454125
ALL_SCENARIOS,reference_full_communication,Reference full-communication controller,3,1414.0,4.0,2904.0,0.38156028368794326,0.451063829787234,0.0,51.0,42.0,0.4869146005509642,0.401446107084405,2366.0,0.0,0.548936170212766,458.68341566197563,0.32830522711480437,8.26520880022221,0.39303482587064675,0.6069651741293532,2.0,4.14,6.017021276595744,-0.002450839592625466,3.527659574468085,0.5659574468085107,0.15858265605627483,0.4552941176470588,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,0.08776426359418488,0.4793234046579249,0.4069506314685361,0.6014184397163119,1,0.6603015716713976,0.47155174603174604,0.8935511651469098,0.0,0.8147382920110193,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.451063829787234,527.5589999509975,-87.52055312985988,1.0,0.7474848024316109,0.0,0.9148936170212766,0.28955664789469215,0.0,48.266801962449684
ALL_SCENARIOS,classic_centralized_global_mpc,Classic centralized global comms,4,1736.0,4.0,3616.0,0.41489361702127653,0.548936170212766,0.0,56.0,42.0,0.48008849557522126,0.41757011906112756,2968.0,0.0,0.451063829787234,575.6557155652741,51.3367684278941,4.139811465714623,0.7524271844660194,0.24757281553398058,2.0,0.72,7.3872340425531915,0.00671126818454021,3.051063829787234,0.6432624113475176,0.163701558191559,0.3407142857142857,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,0.08001348810912279,0.08001348810912279,0.5516566807582646,0.5636903994350804,1,0.6919150708744382,0.47155174603174604,0.9013306315433975,0.07265199687228842,0.8207964601769911,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.548936170212766,406.8996000569314,-103.50399244176333,1.0,0.732510515489239,0.0,1.0,0.23647976040785826,0.0,56.829537133696334
setup,classic_decentralized_sensor_apf,Classic decentralized sensor APF,1,835.0,2.0,1798.0,0.21489361702127657,0.44680851063829785,0.0,58.0,42.0,0.46440489432703,0.4302959688066071,1486.0,0.19574468085106383,0.5531914893617021,474.82868645111205,0.17986678442635196,0.753622219455167,0.0,1.0,4.0,1.7999999999999998,3.5531914893617023,-0.05197961127328164,4.340425531914893,0.4,0.16332233191986298,0.40344827586206894,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.08000000179759614,0.08000000179759614,0.6098317300353429,0.5673454913880446,1,0.6649549469014879,0.47155174603174604,0.9109422492401215,0.0,0.8264738598442715,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.0,206.46469993516803,18.74631316305252,1.0,0.739143870314083,0.0,0.9787234042553191,0.3530936925662084,0.0,40.09242115322094
setup,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,2,1499.0,4.0,3114.0,0.41702127659574467,0.574468085106383,0.0,57.0,42.0,0.4813744380218369,0.40875182146458733,2540.0,0.0,0.42553191489361697,762.846405415341,2.446162585963731,2.587173762953521,0.14492753623188404,0.855072463768116,2.0,0.8999999999999999,6.378723404255319,0.002153904700772071,3.302127659574468,0.6085106382978723,0.16133666956125856,0.3157894736842105,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.08013130857707362,0.08044571547505208,0.3024865630070302,0.616817107242639,1,0.6996335594112498,0.47155174603174604,0.899751926560437,0.0,0.8156711624919717,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.574468085106383,616.5794000262395,-22.62139457196718,1.0,0.758284516901538,0.0,1.0,0.33476029252047357,0.0,78.58929587454125
setup,reference_full_communication,Reference full-communication controller,3,1414.0,4.0,2904.0,0.38156028368794326,0.451063829787234,0.0,51.0,42.0,0.4869146005509642,0.401446107084405,2366.0,0.0,0.548936170212766,458.68341566197563,0.32830522711480437,8.26520880022221,0.39303482587064675,0.6069651741293532,2.0,4.14,6.017021276595744,-0.002450839592625466,3.527659574468085,0.5659574468085107,0.15858265605627483,0.4552941176470588,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,0.08776426359418488,0.4793234046579249,0.4069506314685361,0.6014184397163119,1,0.6603015716713976,0.47155174603174604,0.8935511651469098,0.0,0.8147382920110193,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.451063829787234,527.5589999509975,-87.52055312985988,1.0,0.7474848024316109,0.0,0.9148936170212766,0.28955664789469215,0.0,48.266801962449684
setup,classic_centralized_global_mpc,Classic centralized global comms,4,1736.0,4.0,3616.0,0.41489361702127653,0.548936170212766,0.0,56.0,42.0,0.48008849557522126,0.41757011906112756,2968.0,0.0,0.451063829787234,575.6557155652741,51.3367684278941,4.139811465714623,0.7524271844660194,0.24757281553398058,2.0,0.72,7.3872340425531915,0.00671126818454021,3.051063829787234,0.6432624113475176,0.163701558191559,0.3407142857142857,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,0.08001348810912279,0.08001348810912279,0.5516566807582646,0.5636903994350804,1,0.6919150708744382,0.47155174603174604,0.9013306315433975,0.07265199687228842,0.8207964601769911,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.548936170212766,406.8996000569314,-103.50399244176333,1.0,0.732510515489239,0.0,1.0,0.23647976040785826,0.0,56.829537133696334
