world_key,scenario,pressure,capacity_cv,continuous_winner,atomic_winner,winner_mismatch,spearman_rho
E3:clustered:p0.7:cv0.0:r0,clustered,0.7,0.0,fii_smith_R,fii_replicator_R,True,0.10540925533894598
E3:clustered:p0.7:cv0.0:r1,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.0:r10,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.0:r11,clustered,0.7,0.0,fii_smith_R,fii_replicator_R,True,-0.19999999999999998
E3:clustered:p0.7:cv0.0:r12,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.0:r13,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.316227766016838
E3:clustered:p0.7:cv0.0:r14,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.8944271909999159
E3:clustered:p0.7:cv0.0:r15,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.9486832980505139
E3:clustered:p0.7:cv0.0:r16,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.0:r17,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.0:r18,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.7745966692414834
E3:clustered:p0.7:cv0.0:r19,clustered,0.7,0.0,fii_smith_R,fii_replicator_R,True,-0.7999999999999999
E3:clustered:p0.7:cv0.0:r2,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.0:r20,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,0.8944271909999159
E3:clustered:p0.7:cv0.0:r21,clustered,0.7,0.0,fii_smith_R,fii_replicator_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.0:r22,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,0.7378647873726218
E3:clustered:p0.7:cv0.0:r23,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.9486832980505139
E3:clustered:p0.7:cv0.0:r24,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.9486832980505139
E3:clustered:p0.7:cv0.0:r25,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.0:r26,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.316227766016838
E3:clustered:p0.7:cv0.0:r27,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.7745966692414834
E3:clustered:p0.7:cv0.0:r28,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,
E3:clustered:p0.7:cv0.0:r29,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.0:r3,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,0.9486832980505139
E3:clustered:p0.7:cv0.0:r4,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,
E3:clustered:p0.7:cv0.0:r5,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.0:r6,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,
E3:clustered:p0.7:cv0.0:r7,clustered,0.7,0.0,fii_smith_R,fii_bnn_R,True,-0.7745966692414834
E3:clustered:p0.7:cv0.0:r8,clustered,0.7,0.0,fii_smith_R,fii_logit_R,True,-0.7378647873726218
E3:clustered:p0.7:cv0.0:r9,clustered,0.7,0.0,fii_smith_R,fii_smith_R,False,0.316227766016838
E3:clustered:p0.7:cv0.35:r0,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,
E3:clustered:p0.7:cv0.35:r1,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.35:r10,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,0.8944271909999159
E3:clustered:p0.7:cv0.35:r11,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,0.7999999999999999
E3:clustered:p0.7:cv0.35:r12,clustered,0.7,0.35,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.35:r13,clustered,0.7,0.35,fii_smith_R,fii_smith_R,False,0.7999999999999999
E3:clustered:p0.7:cv0.35:r14,clustered,0.7,0.35,fii_smith_R,fii_logit_R,True,-0.8944271909999159
E3:clustered:p0.7:cv0.35:r15,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,0.8944271909999159
E3:clustered:p0.7:cv0.35:r16,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.35:r17,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,-0.316227766016838
E3:clustered:p0.7:cv0.35:r18,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,-0.7745966692414834
E3:clustered:p0.7:cv0.35:r19,clustered,0.7,0.35,fii_smith_R,fii_smith_R,False,0.316227766016838
E3:clustered:p0.7:cv0.35:r2,clustered,0.7,0.35,fii_smith_R,fii_smith_R,False,0.9486832980505139
E3:clustered:p0.7:cv0.35:r20,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,0.8944271909999159
E3:clustered:p0.7:cv0.35:r21,clustered,0.7,0.35,fii_smith_R,fii_logit_R,True,-0.9486832980505139
E3:clustered:p0.7:cv0.35:r22,clustered,0.7,0.35,fii_smith_R,fii_bnn_R,True,0.7378647873726218
