experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,method_allocator,transport_mode,scenario_transport_mode,selected_load_id,selected_load_index,n_robots,n_loads,world_size_m,obstacle_count,mobile_group_count,robot_radius_m,formation_tolerance_m,pose_tolerance_m,orientation_tolerance_rad,dt_s,horizon_s,pickup_horizon_s,communication_radius,selected_task_load,pickup_success,target_reached,transport_success,final_position_error_m,final_orientation_error_rad,final_orientation_error_deg,mean_position_error_m,formation_integrity_rate,formation_broken_rate,max_formation_error_m,mean_formation_error_m,mean_wrench_residual_norm,max_wrench_residual_norm,collision_count,collision_rate,safety_violation_count,min_robot_clearance_m,min_obstacle_clearance_m,min_mobile_group_clearance_m,min_load_clearance_m,travel_distance_m,load_travel_distance_m,path_efficiency_ratio,energy_proxy_wh,mean_speed_mps,max_speed_mps,max_speed_violation_mps,pickup_complete_time_s,completion_time_s,assigned_robots,idle_robots,communication_messages,runtime_ms,score_value,reference_score_value,signed_score_delta_vs_reference,performance_gap_vs_reference,optimality_gap_vs_reference
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,sota_centralized_cbf_cargo,SOTA centralized CBF cargo,sota,centralized,baseline,cbf_overhead_cargo,baseline_sota_centralized_cargo,none,centralized_cbf_cargo_transport,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,cargo,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,True,True,0.0010797154590537817,7.825593506538553e-10,4.4837348010964165e-08,4.921872918259655,1.0,0.0,4.442551212792486,0.31483464112074294,0.10759029884628771,1.0,0,0.0,0,0.11499999978168995,0.7128966759250821,0.08078722532102145,0.08078722532102145,94.58948448953578,20.128042338324406,0.7664808863724657,902.2405701591679,0.20829421248369795,0.8226771702478606,0.0,5.74,42.42,4,2,16290,492.6911999937147,300.32228849675596,299.38631198728194,0.9359765094740169,0.0,0.0
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,sota_decentralized_vo_cargo,SOTA decentralized VO cargo,sota,decentralized,baseline,velocity_obstacle_cargo,baseline_sota_decentralized_cargo,none,distributed_velocity_obstacle_cargo_transport,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,cargo,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,True,True,0.0012764827877694935,9.199090378331221e-10,5.2706905403778266e-08,4.856792702739046,1.0,0.0,4.442551212792486,0.35443609369205964,0.11224132880586753,1.0,0,0.0,0,0.11499999976347941,0.3758744829167489,0.08030965898033249,0.08030965898033249,94.7066905645001,20.3657635006526,0.7575340709385651,905.1003640444108,0.20843116155284327,0.7876696310883772,0.0,5.880000000000001,41.720000000000006,4,2,16290,475.5571000277996,300.79010296820877,299.38631198728194,1.4037909809268285,0.0,0.0
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,ours_primal_dual_wrench_push,Ours primal-dual wrench push,model_based,decentralized,proposed,primal_dual_wrench_formation_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_primal_dual_wrench_formation_transport,local_wrench_residual_dual_prices,0,8,False,False,support_dual_wrench_market_guarded,push_drag,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,False,False,4.263317362791562,0.04716936402642835,2.702605481030556,8.64137136458088,0.8133874239350912,0.18661257606490878,13.76633615808145,2.084163206826525,0.6132182782008194,1.009115577209447,0,0.0,0,0.11499999999999833,0.11499999999999982,0.08101344773669217,0.08101344773669217,79.54672836651318,19.79158583066666,0.7795110439566904,704.0835216986704,0.1731194441796777,0.8051734006681189,0.0,7.000000000000001,76.0,3,3,16290,1150.3785999957472,-66.71451291012252,299.38631198728194,-366.10082489740444,1.0,1.0
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,ours_tensor_game_push,Ours tensor-game push,model_based,decentralized,proposed,smooth_tensor_game_wrench_push,proposed_model_based_decentralized_push_drag,model_based_tuning_optional,distributed_tensor_game_wrench_transport,local_tensor_field_and_wrench_residual,0,9,False,False,smith_wrench_pairs_guarded,push_drag,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,False,False,0.8348858832014878,4.654379921920082e-06,0.00026667632577645034,5.884145037368445,1.0,0.0,4.585212575726429,0.3029048476791038,0.40977529506281496,1.0001396129353797,0,0.0,0,0.1149999999999991,0.41537755958156924,0.1601304233681199,0.1601304233681199,96.35906967207137,19.703667705218002,0.7829892364828994,906.6812337480565,0.21083978995175406,0.8051734006681189,0.0,4.760000000000001,76.0,4,2,16290,1310.22220000159,-22.738864073601505,299.38631198728194,-322.12517606088346,1.0,1.0
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,ours_hamiltonian_cargo,Ours Hamiltonian cargo,model_based,decentralized,proposed,hamiltonian_tensor_cargo,proposed_model_based_decentralized_cargo,model_based_tuning_optional,distributed_hamiltonian_cargo_transport,local_energy_wrench_formation_game,0,9,False,False,support_dual_wrench_market_guarded,cargo,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,True,True,0.0013987217515536263,3.3564879764469424e-09,1.9231259503681586e-07,6.620898504184666,0.8194726166328601,0.18052738336713992,13.76633615808145,2.01062898749527,0.2752262425413833,1.011241901288668,0,0.0,0,0.11499999965579788,0.11499999999999982,0.865688725502731,0.865688725502731,67.48602015125512,16.780362895012303,0.9193936882620736,592.1167211118559,0.1477158390070034,0.8226771702478606,0.0,7.000000000000001,46.2,3,3,16290,812.1148999780416,288.9344257433728,299.38631198728194,-10.451886243909144,0.034911035760222545,0.034911035760222545
SP5_DEBUG_smoke,formation_corridor_push,formation_corridor_push_v00,6101,reference_centralized_mpc_cbf_cargo,Reference centralized MPC-CBF cargo,model_based_reference,centralized,reference,time_expanded_mpc_cbf_cargo,reference_model_based_reference_centralized_cargo,none,centralized_reference_mpc_cbf_cargo,global_state_and_time_expanded_constraints,0,10,False,False,wrench_oracle,cargo,push_drag,load-01,1,6,2,24.0,2,2,0.3,0.85,0.2,0.08726646259971647,0.14,76.0,7.0,inf,True,True,True,True,0.00018668600440984774,6.3011817985625385e-12,3.610311230022867e-10,4.691915470758994,1.0,0.0,3.5969042743066857,0.18674517503157062,0.07933160932075356,1.0,0,0.0,0,0.2996133742985816,0.7037065888595617,0.08003840889804281,0.08003840889804281,97.21631372303857,21.195300539980927,0.727885868064001,924.0059473681694,0.21274578458298024,0.8401809398276023,0.0,3.3600000000000003,42.7,4,2,16290,1518.8612000783905,299.38631198728194,299.38631198728194,0.0,0.0,0.0
SP5_DEBUG_smoke,cargo_overhead_delivery,cargo_overhead_delivery_v00,6100,classic_centralized_shortest_push,Classic centralized shortest push,classic,centralized,baseline,shortest_path_push_drag,baseline_classic_centralized_push_drag,none,centralized_slot_assignment_plus_direct_payload_tracking,global_robot_slot_cost,0,2,False,False,hungarian_slots,push_drag,cargo,load-01,1,5,2,24.0,2,0,0.3,0.85,0.2,0.08726646259971647,0.14,74.0,7.0,inf,True,True,False,False,5.596985118971533,0.009916423162643184,0.5681691950852263,7.977839334096871,0.9249492900608519,0.07505070993914809,3.4975352412745853,0.28111350379593336,0.42895192134124577,1.0,0,0.0,0,0.11499999999999855,0.4548667691932154,inf,0.27696184463878604,96.1860389163359,20.69301562667929,0.7827064286899978,985.4117137659919,0.2592475308581731,0.7705692255573268,0.0,4.48,74.0,4,1,10580,944.2739000078291,-72.31960670202281,298.1356791666779,-370.4552858687007,1.0,1.0
SP5_DEBUG_smoke,cargo_overhead_delivery,cargo_overhead_delivery_v00,6100,classic_decentralized_apf_push,Classic decentralized APF push,classic,decentralized,baseline,apf_push_drag,baseline_classic_decentralized_push_drag,none,distributed_apf_payload_tracking,local_obstacle_and_slot_state,0,3,False,False,greedy_capacity,push_drag,cargo,load-01,1,5,2,24.0,2,0,0.3,0.85,0.2,0.08726646259971647,0.14,74.0,7.0,inf,True,True,False,False,4.3543189072073725,0.0379290935655785,2.173176982064455,5.938012593115156,1.0,0.0,1.8701837990490298,0.13042444484482899,0.33776594514319297,1.000008762314785,0,0.0,0,0.11499999999999921,0.5883173479935309,inf,0.08001111423449636,47.07286131739549,21.57690852122251,0.7506430471285512,595.270277905631,0.12616440435238346,0.7370662157504865,0.0,1.6800000000000002,74.0,2,3,10580,546.1022999370471,-40.98795222104553,298.1356791666779,-339.12363138772344,1.0,1.0
SP5_DEBUG_smoke,cargo_overhead_delivery,cargo_overhead_delivery_v00,6100,sota_centralized_cbf_push,SOTA centralized CBF push,sota,centralized,baseline,cbf_payload_push_drag,baseline_sota_centralized_push_drag,none,centralized_cbf_payload_velocity_projection,global_payload_robot_traffic_state,0,6,False,False,wrench_greedy,push_drag,cargo,load-01,1,5,2,24.0,2,0,0.3,0.85,0.2,0.08726646259971647,0.14,74.0,7.0,inf,True,True,False,False,5.979010403727857,0.0012583978099836024,0.07210088346056615,10.298294598280908,0.8183716075156576,0.18162839248434237,15.723537458063904,2.3549605579110815,0.5813553631590482,1.0062939658126349,0,0.0,2,0.11499999999999932,0.14235619456965926,inf,0.07999999999999985,113.12956384543325,21.239673030844635,0.7625614733552412,1123.7526943164085,0.30451979926778644,0.7705692255573269,0.0,7.000000000000001,74.0,4,1,10580,1071.1748000467196,-90.43679590411783,298.1356791666779,-388.57247507079575,1.0,1.0
SP5_DEBUG_smoke,cargo_overhead_delivery,cargo_overhead_delivery_v00,6100,sota_decentralized_vo_push,SOTA decentralized VO push,sota,decentralized,baseline,velocity_obstacle_push_drag,baseline_sota_decentralized_push_drag,none,distributed_velocity_obstacle_payload_tracking,local_relative_traffic_state,0,6,False,False,cbba_wrench_score,push_drag,cargo,load-01,1,5,2,24.0,2,0,0.3,0.85,0.2,0.08726646259971647,0.14,74.0,7.0,inf,True,True,False,False,6.0358344862022255,0.003700800806247795,0.21204026701661094,10.442915263051287,0.8058455114822547,0.1941544885177453,15.723537458063904,2.410465472918867,0.5810449473029927,1.005895623448822,0,0.0,0,0.11499999969858288,0.13612482262998876,inf,0.0800000000000003,114.6397244756532,21.191950828776505,0.764278687264185,1138.8679575772996,0.309028092209957,0.7370662157504865,0.0,7.000000000000001,74.0,4,1,10580,1018.4685999993235,-92.63536709606348,298.1356791666779,-390.7710462627414,1.0,1.0
