scenario_generator,scenario_variant_id,method,method_label,seed,transport_mode,n_robots,n_loads,objective,key_metrics,snapshot,video
cargo_overhead_delivery,cargo_overhead_delivery_v00,reference_centralized_mpc_cbf_cargo,Reference centralized MPC-CBF cargo,6100,cargo,5,2,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=0.00019; orientation_error_deg=4.33e-13; formation_break=0.0645; wrench_residual=0.0910; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_cargo-overhead-delivery_reference_model-based-reference_centralized_cargo_time-expanded-mpc-cbf-cargo_reference-centralized-mpc-cbf-cargo_seed6100.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_cargo-overhead-delivery_reference_model-based-reference_centralized_cargo_time-expanded-mpc-cbf-cargo_reference-centralized-mpc-cbf-cargo_seed6100.mp4
cargo_overhead_delivery,cargo_overhead_delivery_v00,ours_hamiltonian_cargo,Ours Hamiltonian cargo,6101,cargo,5,2,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=0.0038; orientation_error_deg=2.37e-08; formation_break=0.2067; wrench_residual=0.3037; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_cargo-overhead-delivery_proposed_model-based_decentralized_cargo_hamiltonian-tensor-cargo_ours-hamiltonian-cargo_seed6101.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_cargo-overhead-delivery_proposed_model-based_decentralized_cargo_hamiltonian-tensor-cargo_ours-hamiltonian-cargo_seed6101.mp4
formation_corridor_push,formation_corridor_push_v00,sota_decentralized_vo_cargo,SOTA decentralized VO cargo,6100,cargo,6,2,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=7.43e-05; orientation_error_deg=4.95e-07; formation_break=0.0832; wrench_residual=0.1857; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_formation-corridor-push_baseline_sota_decentralized_cargo_velocity-obstacle-cargo_sota-decentralized-vo-cargo_seed6100.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_formation-corridor-push_baseline_sota_decentralized_cargo_velocity-obstacle-cargo_sota-decentralized-vo-cargo_seed6100.mp4
formation_corridor_push,formation_corridor_push_v00,sota_centralized_cbf_cargo,SOTA centralized CBF cargo,6100,cargo,6,2,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=0.00012; orientation_error_deg=1.29e-07; formation_break=0.0771; wrench_residual=0.1791; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_formation-corridor-push_baseline_sota_centralized_cargo_cbf-overhead-cargo_sota-centralized-cbf-cargo_seed6100.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_formation-corridor-push_baseline_sota_centralized_cargo_cbf-overhead-cargo_sota-centralized-cbf-cargo_seed6100.mp4
multi_group_crossing_push,multi_group_crossing_push_v00,ours_hamiltonian_cargo,Ours Hamiltonian cargo,6100,cargo,8,3,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=0.000171; orientation_error_deg=1.1e-08; formation_break=0.1303; wrench_residual=0.2224; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_multi-group-crossing-push_proposed_model-based_decentralized_cargo_hamiltonian-tensor-cargo_ours-hamiltonian-cargo_seed6100.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_multi-group-crossing-push_proposed_model-based_decentralized_cargo_hamiltonian-tensor-cargo_ours-hamiltonian-cargo_seed6100.mp4
multi_group_crossing_push,multi_group_crossing_push_v00,reference_centralized_mpc_cbf_cargo,Reference centralized MPC-CBF cargo,6100,cargo,8,3,"Move the selected payload from initial pose to target pose while preserving slot formation, wrench feasibility and obstacle/traffic clearance.",transport_success=1.0000; target_reached=1.0000; pose_error_m=0.0038; orientation_error_deg=9.85e-11; formation_break=0.0000; wrench_residual=0.1035; collision_rate=0.0000,results\sp5\SP5_DEBUG_smoke\figures\sp5_multi-group-crossing-push_reference_model-based-reference_centralized_cargo_time-expanded-mpc-cbf-cargo_reference-centralized-mpc-cbf-cargo_seed6100.png,results\sp5\SP5_DEBUG_smoke\videos\sp5_multi-group-crossing-push_reference_model-based-reference_centralized_cargo_time-expanded-mpc-cbf-cargo_reference-centralized-mpc-cbf-cargo_seed6100.mp4
