experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,event_kind,event_time_s,event_observation_delay_s,event_observed_time_s,n_robots,n_loads,world_size_m,obstacle_count_initial,obstacle_count_post_event,robot_radius_m,target_tolerance_m,safety_margin_m,dt_s,horizon_s,communication_radius_initial,communication_radius_post_event,feasible_load_count,completed_load_count,task_completion_rate,recovery_success,recovery_time_s,load_target_reached_rate,mean_final_pose_error_m,max_final_pose_error_m,mean_final_orientation_error_deg,max_final_orientation_error_deg,lost_load_rate,infeasible_load_count,infeasible_load_detection_rate,post_event_wrench_feasible_rate,mean_wrench_residual_norm,min_wrench_margin,unsupported_time_s,load_pause_time_s,degraded_speed_time_s,replacement_arrival_time_s,final_assigned_loads,final_idle_robots,reassignment_count,final_active_robot_rate,failed_robot_count,battery_margin_final,min_battery_fraction,communication_coverage_ratio,communication_messages,collision_count,collision_rate,safety_violation_count,min_robot_clearance_m,min_obstacle_clearance_m,min_load_clearance_m,travel_distance_m,mean_path_length_m,path_efficiency_ratio,energy_proxy_wh,mean_speed_mps,max_speed_mps,max_speed_violation_mps,runtime_ms,score_value,reference_score_value,signed_score_delta_vs_reference,performance_gap_vs_reference,optimality_gap_vs_reference
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,11.070616285434367,11.070616285434367,37.24423966618022,37.24423966618022,1.0,2,0.5,0.8780487804878049,5.329277779816427,-0.07839557707571387,0.0,33.6,0.8400000000000001,0.10000000000000142,2,0,72,1.0,0,0.20032206747615935,0.35032206747615935,1.0,20832,482,0.046150900038299504,678,-0.5924684835280767,inf,inf,242.33292620004994,30.291615775006242,0.14016050381751072,2069.4444153793875,0.5800769010916541,0.722047747568026,0.0,228.21630001999438,-228.77648682707846,-102.46734924438059,-126.30913758269787,0.5741324435577176,0.5741324435577176
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,10.49442438032341,10.49442438032341,12.80618634853513,12.80618634853513,1.0,2,0.5,0.9349593495934959,4.325783975026753,-0.06908296805722358,0.0,32.480000000000004,1.6800000000000002,0.10000000000000142,2,0,64,1.0,0,0.16890220324674057,0.31890220324674057,0.8485023041474653,17676,531,0.050842589046342396,800,-0.5583009685804491,inf,inf,244.49348711414856,30.56168588926857,0.1554558886686707,2100.6698063255503,0.5852486765466993,0.6899567365650024,0.0,231.00359993986785,-228.00802015302975,-102.46734924438059,-125.54067090864916,0.5706394132211325,0.5706394132211325
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,11.290340132840338,11.290340132840338,44.000000000000014,44.000000000000014,1.0,2,0.5,0.9878048780487805,6.058549399782185,-0.03719124802328588,0.0,34.440000000000005,0.0,0.10000000000000142,2,0,89,1.0,0,0.18596332875365987,0.33596332875365986,0.7867703533026114,16390,868,0.08310991957104558,1066,-0.5800947699138633,inf,inf,236.8291530944025,29.603644136800312,0.13783082882348607,2035.7479150112076,0.5669024154883259,0.7060022420665142,0.0,254.36300004366785,-265.25105604604073,-102.46734924438059,-162.78370680166014,0.7399259400075461,0.7399259400075461
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,2,0,0.0,False,52.0,0.0,7.521297598945262,11.016036953562574,20.21337418773562,39.02956151776477,1.0,1,1.0,0.967479674796748,7.08290187595526,-1.0,1.8200000000000003,62.02,6.86,0.10000000000000142,1,4,112,1.0,0,0.21943329174617496,0.36943329174617495,1.0,20832,436,0.04174645729605515,546,-0.5680146903896668,inf,inf,214.6714424447709,26.83393030559636,0.1585126463390635,1836.996096487199,0.5138630851320645,0.7060022420665143,0.0,220.31900007277727,-202.97349572515802,-102.46734924438059,-100.50614648077743,0.45684612036717015,0.45684612036717015
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,11.117426115108428,11.117426115108428,41.01402144709835,41.01402144709835,1.0,2,0.5,0.9796747967479674,5.866543558675698,-0.03873937273274353,0.0,34.440000000000005,0.0,0.10000000000000142,2,0,115,1.0,0,0.1957794416105438,0.3457794416105438,0.7269585253456221,15144,493,0.0472041363462275,614,-0.5717881539534102,inf,inf,225.65827859097777,28.20728482387222,0.15133394946901618,1924.3718005818332,0.5401624822648824,0.722047747568026,0.0,214.08489998430014,-230.25676025357484,-102.46734924438059,-127.78941100919425,0.5808609591327012,0.5808609591327012
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,11.020518895751723,11.020518895751723,38.36379568419922,38.36379568419922,1.0,2,0.5,0.991869918699187,5.158709503953016,-0.03516280382052661,0.0,33.88,0.56,0.10000000000000142,2,0,135,1.0,0,0.18809616185314162,0.3380961618531416,0.7304147465437787,15216,567,0.054289544235924934,702,-0.5843697330714388,inf,inf,228.4163245314575,28.552040566432186,0.13751922148979429,1966.6754741690486,0.5467644689090796,0.722047747568026,0.0,251.54559989459813,-245.64779784061625,-102.46734924438059,-143.18044859623566,0.6508202208919803,0.6508202208919803
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,10.663528266139846,10.663528266139846,25.40940716226693,25.40940716226693,1.0,2,0.5,0.991869918699187,4.893828930131653,-0.03646295445258518,0.0,32.900000000000006,1.54,0.10000000000000142,2,0,140,1.0,0,0.2081498023385802,0.3581498023385802,0.7303187403993855,15214,580,0.055534278054385294,705,-0.5798060738910334,inf,inf,221.44779608415053,27.680974510518816,0.13471408717723887,1898.1383635279524,0.5300837707874141,0.722047747568026,0.0,253.97469999734312,-246.70273368244136,-102.46734924438059,-144.23538443806078,0.6556153838093671,0.6556153838093671
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,11.290340132840338,11.290340132840338,44.000000000000014,44.000000000000014,1.0,2,0.5,1.0,5.415044921487495,-0.007835522627700708,0.0,34.440000000000005,0.0,0.10000000000000142,2,0,137,1.0,0,0.23905436046257358,0.3890543604625736,0.720526113671275,15010,492,0.047108387590961316,654,-0.5893799268659305,inf,inf,217.8720821347237,27.234010266840464,0.14308646253791177,1858.1426100869228,0.5215245167912759,0.722047747568026,0.0,231.64160002488643,-235.6060724731168,-102.46734924438059,-133.1387232287362,0.6051760146760737,0.6051760146760737
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,1,0,0.0,False,52.0,0.0,9.808499532628186,9.808499532628186,11.148229575939995,11.148229575939995,1.0,2,0.5,1.0,4.528956351473352,-0.027850788423135486,0.0,34.440000000000005,0.0,0.10000000000000142,2,0,164,1.0,0,0.18912365215649193,0.33912365215649193,0.7017089093701998,14618,543,0.05199157410953657,646,-0.5555259986173354,inf,inf,224.44281739656253,28.055352174570316,0.12901393515995463,1925.9054256721945,0.537253009853893,0.7380932530695377,0.0,251.8855999223888,-250.7921044161336,-102.46734924438059,-148.32475517175303,0.6742034325988774,0.6742034325988774
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,communication_radius_decay,17.68,0.0,17.68,8,3,24.0,0,0,0.3,0.45,0.08,0.14,52.0,inf,3.2,2,1,0.5,False,52.0,0.5,0.4085395744781876,0.8170791489563752,0.01925292367892309,0.03850584735784618,0.5,1,0.0,0.991869918699187,2.073029466609295,-0.031979024525841115,0.0,29.820000000000004,20.160000000000004,0.10000000000000142,2,0,59,1.0,0,0.245922494811638,0.395922494811638,1.0,20832,360,0.03446955189582535,470,-0.5693932052106564,inf,inf,173.144518482388,21.6430648102985,0.29008464694785147,1485.9684256035807,0.4144593031462751,0.7380932530695377,0.0,213.3026000810787,-102.46734924438059,-102.46734924438059,0.0,0.0,0.0
