experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,rates_valid,finite_metrics,shape_valid,speed_valid,event_valid,clearance_evaluated,battery_valid,message
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_centralized_replan,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbba_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbf_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,replicator_repair_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,smith_qr_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,primal_dual_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,tensor_flow_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,reference_resilient_oracle,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,classic_centralized_replan,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,cbba_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,cbf_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,replicator_repair_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,smith_qr_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,primal_dual_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,tensor_flow_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,ours_guarded_wrench_market_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7102,reference_resilient_oracle,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,classic_centralized_replan,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,classic_decentralized_greedy_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,cbba_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,cbf_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,replicator_repair_recovery,True,True,True,True,True,True,True,True,
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7103,smith_qr_recovery,True,True,True,True,True,True,True,True,
