scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,assignment_cost_mean,assignment_cost_std,coalition_success_rate_mean,coalition_success_rate_std,communication_messages_mean,communication_messages_std,demand_satisfaction_ratio_mean,demand_satisfaction_ratio_std,energy_proxy_wh_mean,energy_proxy_wh_std,estimated_arrival_time_s_mean,estimated_arrival_time_s_std,max_assigned_travel_distance_m_mean,max_assigned_travel_distance_m_std,mean_assigned_travel_distance_m_mean,mean_assigned_travel_distance_m_std,optimality_gap_vs_oracle_mean,optimality_gap_vs_oracle_std,priority_regret_mean,priority_regret_std,robots_overassigned_mean,robots_overassigned_std,robots_underassigned_mean,robots_underassigned_std,runtime_ms_mean,runtime_ms_std,served_load_rate_mean,served_load_rate_std,travel_distance_m_mean,travel_distance_m_std
balanced_demand,bnn_cardinality,BNN cardinality,model_based,decentralized,baseline,bnn_cardinality,model_based_decentralized_baseline,model_based_tuning_optional,distributed_nonlinear_utility_rule,local_deficit_scores,0,0,5,0,0,0,0,False,False,,none,400,37.09069299925328,9.835379118062997,0.6833333333333332,0.24468735557270863,21.0,3.0037570459305534,0.89375,0.09208910030441213,185.4534649962664,49.17689559031498,15.298803216796417,3.489911691598278,9.944222090917672,2.2684425995388806,5.727054550126209,1.264026257879588,0.4076163304426428,0.40692542925802067,1.216925,1.119953809634257,0.24,0.43918356698968647,0.7125,0.5922166422673768,0.15711675281636417,0.06246762280719422,0.6833333333333332,0.24468735557270863,37.09069299925328,9.835379118062997
balanced_demand,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,400,42.73097290195898,11.336402492878424,0.8733333333333334,0.20991836474018546,21.0,3.0037570459305534,1.0,0.0,213.65486450979486,56.68201246439212,19.183123601979148,4.680524477826752,12.469030341286446,3.0423409105873884,6.140511243509868,1.5301336806259807,0.1845201423856335,0.35681357050533263,0.28009999999999996,0.6450742530747525,0.0,0.0,0.0,0.0,0.4298697513877414,0.18113763602432617,0.8733333333333334,0.20991836474018546,42.73097290195898,11.336402492878424
balanced_demand,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,400,39.151021633138896,11.267731105051999,0.9,0.15294382258037453,21.0,3.0037570459305534,0.93,0.11204132338277431,195.75510816569448,56.338655525259995,15.837209235955086,4.294204947491126,10.294186003370806,2.791233215869232,5.833683441796686,1.4952965065504555,8.092080101479046e-18,3.283269114758315e-17,0.0,0.0,0.225,0.47953089023202333,0.4925,0.8040896407590015,1.3461790001019835,0.5027536406748617,0.9,0.15294382258037453,39.151021633138896,11.267731105051999
balanced_demand,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,400,43.11641387017422,11.438518243153975,0.8766666666666666,0.2038613602206979,21.0,3.0037570459305534,1.0,0.0,215.5820693508711,57.19259121576988,19.21466805242241,4.651535294777888,12.489534234074567,3.0234979416056276,6.1968708263036225,1.5475433287053622,0.1823245120292934,0.35292080817606747,0.2613,0.6196302640772164,0.0,0.0,0.0,0.0,0.1313172493246384,0.04592933860858489,0.8766666666666666,0.2038613602206979,43.11641387017422,11.438518243153975
balanced_demand,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,400,40.73238353634988,10.821406893583545,0.8716666666666666,0.2154632087367381,21.0,3.0037570459305534,1.0,0.0,203.66191768174943,54.10703446791773,16.136798342146758,4.218999213231235,10.488918922395392,2.7423494886003024,5.8531026670168504,1.4577244035840575,0.15228815274295343,0.37028136814558427,0.2261,0.6077653633122779,0.0,0.0,0.0,0.0,0.06455075315898284,0.024860654726454295,0.8716666666666666,0.2154632087367381,40.73238353634988,10.821406893583545
balanced_demand,imitation_oracle,Data-driven imitation oracle,data_driven,decentralized,baseline,oracle_imitation_linear,data_driven_baseline,supervised_oracle_imitation,distributed_linear_score_policy,local_robot_load_features,7,7,1,0,1000,200,200,False,False,sp1-imitation-linear-v1,supervised_or_static,400,34.537894897485586,9.702786306435966,0.7241666666666666,0.2436023506930052,21.0,3.0037570459305534,0.9173958333333334,0.09665090894741764,172.6894744874279,48.51393153217983,15.703632464233666,3.416865026442328,10.207361101751882,2.2209622671875136,5.3861764501301606,1.2306344535978484,0.31864543321655575,0.35988425156430026,1.06785,1.0946744529286945,0.0,0.0,0.56,0.6382934641416241,0.6830887479009107,0.21288406733247897,0.7241666666666666,0.2436023506930052,34.537894897485586,9.702786306435966
balanced_demand,local_primal_dual_wrench_market,Local primal-dual wrench market,model_based,decentralized_local,proposed,local_primal_dual_wrench_proxy,proposed_local_variation,model_based_tuning_optional,local_primal_dual_wrench_rule,radius_limited_local_scores,0,0,5,0,0,0,0,False,False,,none,400,42.821891197097486,11.419096830780962,0.8758333333333335,0.20809133814873537,21.0,3.0037570459305534,0.9989583333333333,0.012118230223898145,214.10945598548736,57.095484153904806,18.871733511796595,4.641353079884142,12.266626782667789,3.0168795019246923,6.15469901407572,1.547666293878462,0.1869617076351336,0.37495139569575614,0.28045,0.6548070158987115,0.0075,0.08638521873004427,0.0075,0.08638521873004427,0.6400734969065525,0.3002755711054365,0.8758333333333335,0.20809133814873537,42.821891197097486,11.419096830780962
balanced_demand,mappo_recruitment,MAPPO recruitment checkpoint,data_driven,decentralized,proposed,mappo_ctde_quorum_decoder,proposed_data_driven_variation,ctde_ppo_with_bc_warm_start,decentralized_neural_actor_with_quorum_decoder,local_features_plus_centralized_training,4674,9411,12,768,1000,200,200,True,True,sp1-mappo-v5,sampled_policy,400,39.184827263991004,11.18418056527024,0.8983333333333334,0.15366133962717438,21.0,3.0037570459305534,0.9291666666666667,0.11155404612770933,195.92413631995498,55.9209028263512,15.975182371775379,4.313583698786437,10.383868541653996,2.8038294042111844,5.846528646951907,1.5136127673044772,0.00954918048387246,0.05796701333969076,0.0261,0.21178508518251335,0.225,0.47953089023202333,0.5,0.8010018789148142,8.06640324939508,2.4433569725407938,0.8983333333333334,0.15366133962717438,39.184827263991004,11.18418056527024
balanced_demand,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,400,39.151021633138896,11.267731105051999,0.9,0.15294382258037453,21.0,3.0037570459305534,0.93,0.11204132338277431,195.75510816569448,56.338655525259995,15.837209235955086,4.294204947491126,10.294186003370806,2.791233215869232,5.833683441796686,1.4952965065504555,8.092080101479046e-18,3.283269114758315e-17,0.0,0.0,0.225,0.47953089023202333,0.4925,0.8040896407590015,1.4145730005111545,0.5690613569522359,0.9,0.15294382258037453,39.151021633138896,11.267731105051999
balanced_demand,primal_dual_cardinality_capacity,Primal-dual cardinality capacity,model_based,decentralized,proposed,primal_dual_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_deficit_capacity_prices,0,0,4,0,0,0,0,False,False,,none,400,42.506909131704035,11.304860201512328,0.8691666666666665,0.20801102888310802,21.0,3.0037570459305534,0.9942708333333333,0.028405411966545027,212.53454565852016,56.52430100756165,18.604691100161777,4.634911519676373,12.093049215105152,3.012692487789643,6.108691477833301,1.5342383182540773,0.1900184372358738,0.3602008021712524,0.3134,0.6841663899394701,0.04,0.19620458863518908,0.04,0.19620458863518908,0.6330432498361915,0.27249314884986076,0.8691666666666665,0.20801102888310802,42.506909131704035,11.304860201512328
balanced_demand,primal_dual_wrench_market,Primal-dual wrench market,model_based,decentralized,proposed,primal_dual_wrench_proxy,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_wrench_rule,local_deficit_capacity_wrench_prices,0,0,5,0,0,0,0,False,False,,none,400,42.821891197097486,11.419096830780962,0.8758333333333335,0.20809133814873537,21.0,3.0037570459305534,0.9989583333333333,0.012118230223898145,214.10945598548736,57.095484153904806,18.871733511796595,4.641353079884142,12.266626782667789,3.0168795019246923,6.15469901407572,1.547666293878462,0.1869617076351336,0.37495139569575614,0.28045,0.6548070158987115,0.0075,0.08638521873004427,0.0075,0.08638521873004427,0.613431501260493,0.2652976357204211,0.8758333333333335,0.20809133814873537,42.821891197097486,11.419096830780962
