family,n_robots,n_loads,proposal_method,baseline_method,baseline_selection_rule,n_pairs,feasibility_effect,coverage_effect,distance_reduction,excess_capacity_reduction,certified_gap_n,certified_gap_median,runtime_ratio,bytes_ratio,feasibility_gate,coverage_gate,quality_gate,gap_gate,runtime_gate,bytes_gate,gate_passed
F1_heterogeneous_critical,12,3,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0455357403400838,0.4398639742849022,13,0.0137284765944483,3.1168123208548004,62.25601554907678,True,True,True,True,True,False,False
F1_heterogeneous_critical,32,8,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0025,-0.0239411753800326,0.339405201463707,30,0.0068373035138116,2.168329543980809,41.53458357660253,True,True,True,True,True,False,False
F1_heterogeneous_critical,64,16,geo_qpg_logit_physical,weighted_grape_scalar,highest median recovered physical_welfare in regime,50,0.0,-0.00125,0.0299005266116066,0.3296007208631547,0,,1.1432343801336773,271.0320404071561,True,True,True,True,True,False,False
F2_scarce_priority,12,3,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0176685246705428,0.2561001886723137,3,0.0070751245318147,4.259765671143049,63.89061321690812,True,True,True,True,True,False,False
F2_scarce_priority,32,8,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0580474994826413,0.6151778368737081,18,0.0125122616720893,2.9478761968647875,37.18831809206535,True,True,True,True,True,False,False
F2_scarce_priority,64,16,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0259041859810375,0.3144483005396887,0,,2.325281784236934,33.43816328217913,True,True,True,True,True,False,False
F3_torque_complementarity,12,3,geo_qpg_logit_physical,role_grape_s_physical,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0171329845325288,0.0370580001469541,36,0.0,2.560257784825555,64.82497765499309,True,True,False,True,True,False,False
F3_torque_complementarity,32,8,geo_qpg_logit_physical,weighted_grape_scalar,highest median recovered physical_welfare in regime,50,0.0,-0.025,0.1108404733736204,0.3134078038644034,45,0.0,1.5686357210372486,135.72710096735187,True,False,True,True,True,False,False
F3_torque_complementarity,64,16,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,-0.02,0.1137634316405482,0.3498492328893032,0,,2.5238549660002607,34.39783425720095,True,False,True,True,True,False,False
F4_mixed_geometry_route,12,3,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0325656190110182,0.4005412158389846,9,0.0173364542286966,3.71782556448452,62.75345682233238,True,True,True,True,True,False,False
F4_mixed_geometry_route,32,8,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.04118698045891,0.5248859124887183,28,0.0007132904263527,2.3302196612935013,37.97780629061116,True,True,True,True,True,False,False
F4_mixed_geometry_route,64,16,geo_qpg_logit_physical,pair_role_grape_s_physical,highest median recovered physical_welfare in regime,50,0.0,-0.00125,0.0293832530599434,0.2113201812201512,0,,1.2996002339904127,270.75,True,True,True,True,True,False,False
F5_network_failure,12,3,geo_qpg_logit_physical,capacity_cbba_scalar,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0022369706261271,-0.120646739976314,7,0.0,2.9177014773468795,21.844793833353727,True,True,False,True,True,False,False
F5_network_failure,32,8,geo_qpg_logit_physical,pair_role_grape_s_physical,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0037537225834606,0.056979569471401,26,0.0,1.6057105164081442,136.69130546955626,True,True,False,True,True,False,False
F5_network_failure,64,16,geo_qpg_logit_physical,pair_role_grape_s_physical,highest median recovered physical_welfare in regime,50,0.0,0.0,0.0186427161012772,0.1320074512548647,0,,1.3810824251181342,270.75,True,True,True,True,True,False,False
