N,milp_to_hungarian_distance_ratio_n,milp_to_hungarian_distance_ratio_mean,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_n,milp_to_hungarian_solver_ratio_mean,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,milp_minus_hungarian_assigned_robots_n,milp_minus_hungarian_assigned_robots_mean,milp_minus_hungarian_assigned_robots_median,milp_minus_hungarian_assigned_robots_p05,milp_minus_hungarian_assigned_robots_p95
10,2,1.0,1.0,1.0,1.0,2,3402.240601503759,3402.240601503759,551.6834586466166,6252.797744360902,2,0.0,0.0,0.0,0.0
15,2,1.0,1.0,1.0,1.0,2,213.06109090909092,213.06109090909092,208.34247272727274,217.77970909090908,2,0.0,0.0,0.0,0.0
20,8,1.0,1.0,1.0,1.0,8,202.1980565631231,203.66180173992672,149.56757032205462,241.73626853180295,8,0.0,0.0,0.0,0.0
21,2,1.0,1.0,1.0,1.0,2,266.1725966472802,266.1725966472802,260.8792849811837,271.4659083133767,2,0.0,0.0,0.0,0.0
24,2,1.0,1.0,1.0,1.0,2,136.3607808857809,136.3607808857809,133.37971445221447,139.34184731934732,2,0.0,0.0,0.0,0.0
27,2,1.0,1.0,1.0,1.0,2,150.50222132858428,150.50222132858428,142.80761858256255,158.19682407460598,2,0.0,0.0,0.0,0.0
28,4,1.0,1.0,1.0,1.0,4,176.0385755267539,170.6240540437242,148.83752600855394,210.81995512119553,4,0.0,0.0,0.0,0.0
29,6,1.0,1.0,1.0,1.0,6,154.60477842576526,162.75089285714284,92.63010290148449,202.12067813765182,6,0.0,0.0,0.0,0.0
30,54,1.0,1.0,1.0,1.0,54,171.84155429126,168.5856132022409,105.16182573347474,248.74410361281522,54,0.0,0.0,0.0,0.0
32,2,1.0,1.0,1.0,1.0,2,206.9130804686827,206.9130804686827,198.49649672611355,215.32966421125184,2,0.0,0.0,0.0,0.0
36,2,1.0,1.0,1.0,1.0,2,242.9427947437968,242.9427947437968,212.6927488621348,273.19284062545887,2,0.0,0.0,0.0,0.0
38,2,1.0,1.0,1.0,1.0,2,183.47549019607843,183.47549019607843,153.79754901960786,213.153431372549,2,0.0,0.0,0.0,0.0
39,6,1.0,1.0,1.0,1.0,6,241.86911525998804,222.20773152081563,203.64997502497502,299.41179339171975,6,0.0,0.0,0.0,0.0
40,4,1.0,1.0,1.0,1.0,4,221.21663487105704,228.46102875112308,145.08727902430732,287.20383928571425,4,0.0,0.0,0.0,0.0
60,2,1.0,1.0,1.0,1.0,2,302.9152719665272,302.9152719665272,302.54152719665274,303.28901673640166,2,0.0,0.0,0.0,0.0
780,2,1.0,1.0,1.0,1.0,2,2451.4411805514874,2451.4411805514874,2098.0294737036843,2804.8528873992905,2,0.0,0.0,0.0,0.0
