experiment_id,scenario_generator,scenario_variant_id,communication_profile,seed,method,active_link_count,algebraic_connectivity,attempted_link_count,base_connected_ratio,coalition_connected,coalition_direct_clique,coalition_relay_connected,component_count,delay_violation_rate,delivered_link_count,largest_component_ratio,mean_delay_s,mobile_group_detection_rate,obstacle_detection_rate,packet_delivery_ratio,temporal_coalition_connected,time_s
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.022026710235782444,1.0,1.0,1.0,True,9.719999999999999
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.02003725969230111,1.0,1.0,1.0,True,10.26
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.020524864080311192,1.0,1.0,1.0,True,10.799999999999999
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.022017475398815704,1.0,0.9090909090909091,1.0,True,11.34
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018921501059912967,1.0,1.0,1.0,True,11.879999999999999
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.01427934478649478,1.0,1.0,1.0,True,12.42
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.017750414585037236,1.0,1.0,1.0,True,12.959999999999999
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.020136876218829224,1.0,1.0,1.0,True,13.5
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.018894346536181144,1.0,1.0,1.0,True,14.04
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.0229712062232532,1.0,0.9090909090909091,1.0,True,14.58
SP7_MC_communication_robustness,radius_sweep_balanced_push,radius_sweep_balanced_push_nominal_full_mesh_seed8800,nominal_full_mesh,8800,classic_centralized_global_mpc,30,5.9999999999999964,30,1.0,True,True,False,1,0.0,30,1.0,0.021656425126712467,1.0,1.0,1.0,True,15.12
